Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13
1,6.6,7.3,7.9,8.7,9.2,9.8,10.5,11.1,,,,,
2,12.3,13,13.6,14.2,14.9,15.6,16.1,16.8,17.5,18.1,,,
3,19.7,22.1,23,23.4,24.1,24.6,25.2,25.7,,,,,
4,26.8,27.7,28.4,28.9,29.7,30.2,30.6,,,,,,
5,32.1,33,33.5,34,34.6,35.2,35.7,36.4,,,,,
6,38.2,38.9,39.4,40,40.5,41,41.8,,,,,,
7,43,43.6,44.3,44.8,45.3,45.9,46.6,47.2,48.3,,,,
8,49.7,50.3,51.1,51.6,52.4,52.9,53.5,54,54.8,55.6,,,
9,56.6,57.2,57.8,58.4,58.9,59.5,60.3,,,,,,
10,62.1,63,63.5,64,64.7,65.3,65.9,,,,,,
11,67.1,67.7,68.2,68.9,69.6,70.3,,,,,,,
12,71.4,72,72.5,72.9,73.5,74.1,74.6,75.3,76,76.9,77.5,78.3,
13,79.9,80.6,81.1,81.7,82.2,82.9,83.5,84.2,84.9,85.4,86.1,86.6,87.1
14,88.5,89.6,90.1,90.6,91.2,91.9,92.4,93.2,93.9,94.5,95,95.8,
15,97.1,97.8,98.5,99.3,99.9,100.7,,,,,,,
16,105.4,106.4,106.8,107.3,107.9,108.4,,,,,,,
17,109.3,110.1,110.6,111.1,111.6,112.1,112.9,,,,,,
18,114.4,115.3,115.9,116.4,117.2,118,118.6,119.2,119.9,120.5,121.4,122,
19,124.5,125.6,126.2,127,127.6,128.4,129.2,129.7,,,,,
20,132.4,132.9,133.4,134,135,135.5,136,,,,,,
21,137.9,138.4,139.1,139.9,140.5,141.2,142.1,,,,,,
22,145.4,146.3,146.8,147.5,147.9,148.6,149.2,149.8,150.5,151.2,,,
23,152.2,152.9,153.4,154,154.7,155.3,155.8,156.5,157.3,158.7,,,
24,159.3,160.2,161,161.5,162.1,163.5,164.2,165.3,166.2,167.1,,,
25,169.3,169.7,170.3,170.9,171.4,171.9,172.9,173.3,174.1,174.7,175.4,,
26,176.6,177,177.7,178.3,179.1,179.6,,,,,,,
