Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24,Chew_25
1,14.6,16.8,17.5,18.3,19.2,20,20.5,21.2,22.2,,,,,,,,,,,,,,,,
2,24,24.6,25.6,27.5,28.2,28.9,29.7,30.3,31.2,,,,,,,,,,,,,,,,
3,32.6,33.6,34.1,34.6,35.2,35.7,36.2,36.7,37.3,38.2,,,,,,,,,,,,,,,
4,40.3,40.8,42.2,43.6,45.2,,,,,,,,,,,,,,,,,,,,
5,46.8,47.5,48.1,49,49.6,,,,,,,,,,,,,,,,,,,,
6,51.1,52.9,53.4,53.8,54.3,55.1,55.6,56.2,56.7,,,,,,,,,,,,,,,,
7,58.3,58.8,59.4,60,60.6,61.1,61.7,62.5,63.5,64,64.7,,,,,,,,,,,,,,
8,67.2,67.5,68,68.7,69.4,70.7,,,,,,,,,,,,,,,,,,,
9,72.3,72.9,73.5,74.1,74.4,75.1,76.5,,,,,,,,,,,,,,,,,,
10,78.6,79.2,79.2,79.6,80.4,81.2,82,83.2,,,,,,,,,,,,,,,,,
11,84.6,85.3,85.9,86.5,87.2,87.9,88.5,89,89.6,90.3,90.9,91.7,92.6,93.3,93.8,94.6,95.7,96.4,97.6,98.2,99.2,102.3,104.3,,
12,107.1,107.7,108.2,108.9,109.5,110,110.6,111.4,112,112.6,113.3,,,,,,,,,,,,,,
13,116.6,117.2,117.8,118.2,118.8,119.4,,,,,,,,,,,,,,,,,,,
14,120.9,121.8,122.4,123,123.6,124.1,124.8,125.3,125.8,126.5,127.3,127.9,128.7,129.5,131.6,132.4,133.2,134.5,135.4,139,139.6,142.2,143.2,144,144.9
15,146.9,147.8,148.3,148.7,149.1,149.7,150.5,151,151.5,152.1,152.6,153.8,154.8,155.7,156.2,156.8,157.8,158.4,159.1,160.1,,,,,
16,166,166.5,166.9,167.6,,,,,,,,,,,,,,,,,,,,,
17,169.2,170.1,170.6,171,171.6,172.4,173.3,174.7,175.2,176.4,,,,,,,,,,,,,,,
18,178.4,179.4,179.9,,,,,,,,,,,,,,,,,,,,,,
