Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24
1,5,6.4,7,7.6,8.1,8.7,9.2,,,,,,,,,,,,,,,,,
2,9.8,10.4,10.9,11.3,12,12.4,13.1,13.6,14.1,14.5,15.1,15.6,16.1,,,,,,,,,,,
3,17,17.8,18.3,18.9,19.4,19.9,20.4,21,,,,,,,,,,,,,,,,
4,21.7,22.3,22.8,23.3,23.7,24.3,24.8,25.3,25.9,,,,,,,,,,,,,,,
5,27.1,27.7,28.4,29,29.7,30.1,30.6,31.3,31.7,32.3,32.8,33.4,34,,,,,,,,,,,
6,35.2,35.8,36.5,36.9,37.5,38,38.6,39,,,,,,,,,,,,,,,,
7,39.5,40.1,40.7,41.4,42,42.5,43.2,43.8,,,,,,,,,,,,,,,,
8,44.8,45.5,46.2,46.7,47.2,47.8,48.5,49,49.6,50.3,50.9,,,,,,,,,,,,,
9,51.6,52.5,53.3,53.7,54.3,54.9,55.4,56,56.7,57.1,57.7,58.2,58.7,59.4,59.9,60.7,61.5,,,,,,,
10,62.4,63.7,64.3,65,65.7,66.2,66.7,67.4,68.1,68.6,69.1,69.7,70.5,71.1,71.7,72.5,73.7,74.4,75.5,,,,,
11,77.2,78.2,78.9,79.7,80.3,80.9,81.5,82.1,82.7,83.4,,,,,,,,,,,,,,
12,84.1,85.2,86.2,86.7,87.3,87.9,88.3,88.9,89.4,89.9,90.5,91,91.5,92,92.5,93,,,,,,,,
13,95.3,96.1,97.3,98.1,98.6,99.2,99.7,100.2,101.2,101.7,102.1,102.7,103.2,103.7,104.3,,,,,,,,,
14,104.8,105.6,106.2,106.7,107.2,107.7,108.3,108.9,,,,,,,,,,,,,,,,
15,110.1,110.6,111.2,111.7,112.2,112.9,113.3,113.9,114.3,,,,,,,,,,,,,,,
16,115.5,116.4,117.1,118,118.7,119.2,119.8,120.5,120.9,121.8,,,,,,,,,,,,,,
17,122.6,123.5,124.1,126.3,127,127.6,128.1,128.8,129.4,130.2,130.8,131.5,132,132.6,133.3,133.9,134.7,,,,,,,
18,135.2,135.9,136.5,137.2,137.8,138.7,139.2,139.7,140.3,141,141.5,142.1,142.6,143.2,143.9,144.5,145.2,,,,,,,
19,147.3,148.7,149.4,150.6,151.3,151.8,152.6,153.1,153.7,154.2,154.7,155.3,155.9,156.5,157,157.5,158.1,158.7,159.4,160,160.6,161.2,162,163.4
20,167.1,168.5,169.1,169.6,170.2,170.9,171.5,172.1,172.8,173.4,173.9,174.5,175.2,175.7,176.5,,,,,,,,,
21,177.4,177.8,178.4,179,179.6,,,,,,,,,,,,,,,,,,,
