Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18
1,,,,,,,,,,,,,,,,,,
2,2.7,3.4,4.3,4.9,5.5,6,6.7,7.3,7.9,,,,,,,,,
3,8.4,9.2,9.8,10.5,11,11.5,12.2,12.9,13.8,14.6,15.3,15.9,16.6,17.2,17.8,,,
4,18.7,19.4,20.1,20.7,21.3,22,22.6,23.1,23.8,24.5,25.2,26.2,26.9,,,,,
5,28.2,28.9,29.8,30.5,31.2,32,32.6,33.3,34,,,,,,,,,
6,35.5,36.3,37,37.6,38.3,38.9,39.7,40.3,,,,,,,,,,
7,41.6,42.2,42.7,43.1,43.7,44.1,44.6,45.3,45.9,46.5,,,,,,,,
8,48.1,48.5,49,49.6,50.2,50.7,51.5,52.3,53,55.3,,,,,,,,
9,55.3,55.8,56.4,57.1,57.8,58.5,59.1,59.9,60.6,61.8,62.3,63.4,64.1,65.5,,,,
10,66.2,66.9,67.5,68.1,68.5,69,69.7,70.1,70.9,71.4,72.3,,,,,,,
11,74.5,75,75.6,76.1,76.7,77.3,78.1,78.6,79.1,79.4,80.4,81.2,81.9,82.6,,,,
12,83.6,84.3,85.2,86.1,86.8,87.6,88.2,88.8,89.4,90.1,90.7,91.5,,,,,,
13,93.3,93.8,94.3,94.8,95.5,96.1,96.7,97.2,97.8,98.4,99.3,99.8,100.2,100.8,101.1,102,102.6,
14,102.8,103.6,104,104.5,105.1,105.7,106.2,106.9,107.6,108.2,108.8,109.5,110.1,,,,,
15,111.4,112,112.6,113.3,113.8,114.4,115.1,115.7,116.5,117.2,117.8,118.6,119.2,119.8,,,,
16,121.5,122.1,122.9,123.4,124,124.5,125,125.7,126.4,127.1,127.7,128.4,,,,,,
17,130.9,131.9,133,134.2,135.1,136,136.7,137.3,138,138.6,139.3,139.9,140.6,141.2,142,,,
18,142.7,143.8,144.4,145,145.7,146.4,147,147.7,148.4,149,149.5,150.3,150.8,151.5,152.2,153.3,154.3,155
19,158.2,159.1,159.7,160.5,161.2,161.9,162.5,163.1,163.8,164.4,165,165.6,166.4,167.1,167.7,168.5,169.1,
20,170.5,171.2,171.9,172.4,173,173.7,174.3,174.8,175.9,176.8,,,,,,,,
21,178.2,178.7,179.2,179.7,,,,,,,,,,,,,,
