Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16
1,3.9,4.4,4.9,5.4,6,6.4,7,7.5,,,,,,,,
2,8.7,9.3,9.7,10.2,10.7,11.1,11.6,12.1,,,,,,,,
3,13.2,13.8,14.3,14.8,15.2,15.6,16.1,16.7,17.3,,,,,,,
4,18.5,19,19.6,20.1,20.7,21.2,21.8,22.5,22.9,23.4,24,25.2,25.7,,,
5,27.2,27.8,28.3,28.9,29.5,,,,,,,,,,,
6,30.8,31.5,32,32.5,33.1,33.7,34.3,34.9,35.6,,,,,,,
7,37,37.8,38.4,39,39.5,40.2,40.8,41.3,42,42.6,43.1,,,,,
8,44.6,45.1,45.8,46.3,46.9,47.8,48.3,,,,,,,,,
9,49.7,50.4,50.9,51.3,51.8,52.4,52.9,53.3,53.7,54.2,55.2,55.8,,,,
10,57.6,58.2,58.7,59.2,59.7,60.2,60.8,61.3,62.2,,,,,,,
11,63.1,63.6,64.2,64.7,65.1,65.6,66.2,66.7,67.5,68.1,69.2,70.1,,,,
12,71.5,72,72.7,73.1,,,,,,,,,,,,
13,74,74.9,75.7,76.4,77.1,77.8,78.5,79.1,79.8,80.4,81,,,,,
14,82.3,83.5,84,84.6,85.1,85.6,86.2,86.7,87.5,88,88.7,89.3,89.8,90.5,91.5,
15,93.4,94,94.4,95,,,,,,,,,,,,
16,96.9,97.6,98.2,98.7,99.2,99.9,100.6,101.3,,,,,,,,
17,102.6,103.2,103.8,104.4,105,105.7,106.3,106.9,107.6,108.1,108.6,109.3,110.2,110.6,111.5,
18,112.8,113.5,114.1,114.6,,,,,,,,,,,,
19,115.3,116.1,116.6,117.2,118.4,,,,,,,,,,,
20,119.7,120.5,121.1,121.7,122.2,122.7,123.2,123.7,124.2,124.7,125.4,125.9,126.5,127.3,127.8,128.6
21,129.8,130.4,131.1,131.7,132.4,133.1,133.8,134.4,135.1,,,,,,,
22,137.3,137.8,138.5,139.1,139.7,140.3,140.8,141.4,141.9,142.5,,,,,,
23,145,145.6,146.1,146.7,147.5,148.8,150,150.9,,,,,,,,
24,153.1,153.7,154.3,154.8,155.4,156.4,157.1,158,158.9,,,,,,,
25,161.3,162,162.6,163.4,164,164.9,165.7,166.3,167.1,167.8,168.5,169.1,169.9,,,
26,172.1,172.9,173.4,174,174.7,175.4,175.9,176.4,176.9,177.4,178.2,178.9,179.5,,,
