Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19
1,4.5,5.1,5.8,6.2,6.7,7.7,8.2,8.9,9.5,10,10.7,11.2,12,12.6,,,,,
2,14.5,15,16,16.7,17.3,17.8,18.2,18.8,19.3,19.8,20.5,21.1,21.8,22.6,23.9,24.4,,,
3,25.9,26.7,27.5,28.2,28.9,29.6,30.1,30.7,31.4,31.9,32.5,32.9,33.5,34.2,34.6,35.1,35.6,36.2,
4,39.6,40.3,40.7,41.2,41.7,42.4,43.1,43.7,44.8,45.4,,,,,,,,,
5,48.1,49,50.1,51.1,51.9,52.5,53,53.9,54.3,55.1,55.6,56.4,56.9,57.7,59.6,,,,
6,61.4,62,62.8,63.8,64.4,65.3,65.9,66.5,67.1,67.9,68.5,69.4,70,70.6,,,,,
7,73,74,74.8,75.3,76,76.7,77.3,77.9,78.5,79.3,80,80.5,81.1,82,,,,,
8,85.8,86.4,87.1,87.9,88.5,89,89.5,90.7,91.8,92.4,93.1,93.7,94.6,,,,,,
9,99.8,100.4,101.3,101.8,102.9,103.4,104.1,104.7,105.3,106,106.5,107.1,107.7,108.9,109.7,,,,
10,115.4,116.2,117,117.9,118.7,119.8,120.5,121.2,122.2,122.7,123.5,124.4,125.1,,,,,,
11,127.8,128.8,129.6,130.4,131,132.1,133.1,133.6,134.4,135.5,,,,,,,,,
12,139.2,140.5,141.4,142.2,143.1,144,145.3,145.9,146.5,147.1,148.1,148.6,,,,,,,
13,149.9,150.7,151.3,152,152.9,153.5,154,154.5,155,155.7,156.2,156.9,157.4,158,158.8,159.5,,,
14,162.5,163.3,164,164.8,165.4,166,166.6,167.3,167.9,168.5,169.2,169.8,170.3,171.1,171.9,172.5,173.2,173.8,174.6
15,177,177.8,178.5,179.3,179.9,,,,,,,,,,,,,,
