Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24,Chew_25,Chew_26,Chew_27,Chew_28,Chew_29,Chew_30,Chew_31,Chew_32,Chew_33,Chew_34
1,9,9.9,10.6,11,11.5,11.9,12.2,12.6,13.1,13.6,14.1,14.6,15.1,16.2,17.1,,,,,,,,,,,,,,,,,,,
2,17.8,18.3,18.9,19.3,19.6,20,20.5,21,21.3,21.9,23,23.4,23.9,24.4,,,,,,,,,,,,,,,,,,,,
3,25.6,26.1,26.6,27.2,27.6,28,28.5,29,29.6,30.1,30.5,31.1,31.5,32.1,32.5,33,,,,,,,,,,,,,,,,,,
4,35,36.1,37,37.9,38.4,38.8,39.3,39.7,40.2,40.6,41.2,41.8,42.2,42.8,43.4,44.1,,,,,,,,,,,,,,,,,,
5,45.2,45.7,46.2,46.5,47,47.6,48.2,49,49.4,50,50.7,,,,,,,,,,,,,,,,,,,,,,,
6,52.3,53.2,53.8,54.3,54.7,55.1,55.6,56.1,56.7,57.3,57.8,58.3,58.9,60.2,60.7,61.5,62.7,63.3,,,,,,,,,,,,,,,,
7,64.6,65.3,65.7,66.2,66.6,67.1,67.6,68.2,68.6,69,,,,,,,,,,,,,,,,,,,,,,,,
8,69.7,70.2,70.6,71.1,71.6,72.2,72.6,73.1,73.7,74.2,74.8,75.3,75.8,76.3,76.9,,,,,,,,,,,,,,,,,,,
9,78.7,79.3,79.9,80.4,80.9,81.4,81.9,82.4,82.9,,,,,,,,,,,,,,,,,,,,,,,,,
10,83.7,84.3,84.8,85.3,85.9,86.5,86.9,87.4,87.9,88.6,89.1,89.6,90.2,90.6,,,,,,,,,,,,,,,,,,,,
11,91.5,92.1,92.6,93.1,93.7,94.1,94.6,95.1,95.7,96.2,96.8,97.5,,,,,,,,,,,,,,,,,,,,,,
12,98.3,99,99.3,99.8,100.3,100.7,101.1,101.6,102.1,103,103.5,104.1,104.7,105.4,106.1,106.6,107.3,108.1,109.3,109.9,110.7,,,,,,,,,,,,,
13,112,112.6,113.1,113.6,114.1,114.5,115,115.6,116.1,,,,,,,,,,,,,,,,,,,,,,,,,
14,117,117.7,118.2,118.7,119.2,119.8,120.3,120.9,121.4,122,122.5,,,,,,,,,,,,,,,,,,,,,,,
15,123.6,124.2,124.7,125.1,125.6,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,126.7,127.2,127.6,128.2,128.6,129.4,130,130.5,,,,,,,,,,,,,,,,,,,,,,,,,,
17,130.9,131.4,132,132.4,133,133.5,134.1,134.8,135.8,,,,,,,,,,,,,,,,,,,,,,,,,
18,137.2,138.3,138.9,139.4,139.9,140.4,140.9,141.4,141.9,142.5,142.9,,,,,,,,,,,,,,,,,,,,,,,
19,143.6,144.3,144.9,145.5,146,146.5,147.1,147.5,148.1,148.6,149.1,149.9,150.8,151.5,152.2,,,,,,,,,,,,,,,,,,,
20,152.8,153.5,153.9,154.5,155,155.5,156.1,156.6,157.2,157.7,158.4,159,159.5,,,,,,,,,,,,,,,,,,,,,
21,160.2,161.4,162.1,162.8,163.2,163.7,164.2,164.7,165.3,165.8,166.4,166.9,167.4,167.9,168.4,168.9,169.5,170,170.6,171,171.6,172.2,172.8,173.5,174.1,174.6,175.2,176,176.7,177.4,178.2,178.9,179.5,179.9
