Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24
1,5,6,6.7,7.4,8.1,8.8,9.3,9.9,10.4,11,11.5,12.3,12.7,13.2,14,14.6,15.3,16.6,,,,,,
2,17.9,18.5,19.3,19.9,20.3,20.8,21.2,21.7,22.2,22.6,23.5,23.9,24.5,25.1,25.7,26.3,26.9,27.4,27.9,28.6,29.3,30,31.1,31.7
3,33.1,33.7,34.4,34.9,35.5,36.1,36.6,37.1,37.7,38.4,39,39.5,40.1,40.8,41.3,42.1,42.7,43.8,44.4,45.1,,,,
4,48.2,49.2,50,50.5,51.1,51.6,52.1,52.7,53.2,53.9,54.4,54.9,55.5,56.1,57.1,57.4,58,58.8,59.4,60.3,61.3,,,
5,63.5,64.4,65,65.8,66.3,66.9,67.5,68,68.5,69,69.5,69.9,70.4,71.3,72,72.4,73.2,73.9,74.6,75.2,,,,
6,77.8,78.8,79.6,80.3,80.9,81.6,82.2,83,83.4,83.9,84.5,85.1,85.9,86.4,87,87.5,88.2,89,89.8,,,,,
7,93,93.5,93.9,94.5,95,95.6,96.4,96.9,97.5,97.9,98.5,99.1,99.8,100.4,100.9,101.7,102.4,103,103.8,104.5,,,,
8,105.8,106.5,107,107.4,107.9,108.5,109,109.4,109.9,110.5,110.9,111.5,112,112.8,113.3,113.8,114.3,114.9,115.7,116.3,116.8,117.4,,
9,119.6,120.3,120.9,121.4,121.8,122.4,122.8,123.4,123.9,124.4,124.9,125.4,126.2,126.7,127.3,128.3,128.9,,,,,,,
10,130.3,131.2,132,132.7,133.2,133.6,134.1,134.7,135.3,135.8,136.4,137,137.5,138.1,138.6,139.3,139.8,140.3,140.9,141.7,,,,
11,143,143.9,144.7,145.3,145.9,146.4,147,147.5,148.3,148.9,149.5,150,150.4,151.1,151.8,152.5,153.2,153.7,154.2,155.1,,,,
12,156.8,157.8,158.3,159,159.6,160.2,160.8,161.4,162,162.6,163.2,163.8,164.3,164.9,165.8,167.1,168.1,168.9,170.2,171,,,,
13,175.3,175.9,176.7,177.5,178,178.8,179.5,,,,,,,,,,,,,,,,,
