Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21
1,5.2,5.7,6.2,6.6,7.1,7.6,8.1,8.6,9.1,9.5,10,10.4,10.8,11.3,11.7,12.2,12.7,13.3,13.8,14.3,15
2,16,16.6,17.4,17.9,18.3,18.8,19.3,19.9,20.3,20.9,21.4,22,22.5,23.2,,,,,,,
3,24.6,25.4,26.2,26.8,27.4,28.1,28.4,29,29.5,30,30.4,30.9,31.5,32,32.5,33.1,33.6,,,,
4,35.9,36.5,37,37.5,38,38.4,38.8,39.3,39.7,40.3,40.9,41.5,42,42.5,43.1,43.7,,,,,
5,45.4,46,46.6,47.2,47.6,48.1,48.6,49.1,49.8,50.5,51.3,51.7,52.2,52.8,53.3,53.7,54.5,55.1,55.7,,
6,57.4,57.9,58.5,59.1,59.6,60.2,60.6,61.2,61.8,62.5,63.1,63.8,64.3,65.1,65.8,66.3,,,,,
7,67.4,68,68.5,69,69.6,70.3,70.8,71.3,71.9,72.4,,,,,,,,,,,
8,73.9,74.4,75,75.5,75.9,76.4,76.9,77.5,78.3,,,,,,,,,,,,
9,79.9,80.8,81.3,81.8,82.3,82.8,83.3,83.8,84.3,84.8,85.3,85.8,86.4,,,,,,,,
10,87.2,87.8,88.3,88.8,89.3,89.9,90.4,90.9,92,,,,,,,,,,,,
11,92.8,93.6,94.1,94.6,95.2,95.7,96.1,96.9,97.3,97.9,,,,,,,,,,,
12,98.9,99.4,100.2,100.8,101.4,102,102.5,103,103.5,104,104.5,105.1,,,,,,,,,
13,106.4,107.2,107.7,108.5,109,109.5,110,110.5,111,111.8,112.6,113.2,113.8,,,,,,,,
14,115.1,115.8,116.4,116.8,117.4,117.8,118.3,118.8,119.4,119.8,120.3,120.9,121.4,121.9,122.9,,,,,,
15,124.5,125.1,125.5,125.9,126.3,126.8,127.4,127.9,128.5,128.9,129.5,130.2,,,,,,,,,
16,131.7,132.2,132.7,133.1,133.5,133.9,134.5,135.1,135.5,136.1,136.7,137.4,138,,,,,,,,
17,141.5,142,142.4,143.1,143.5,144.3,144.6,145.1,145.7,146.2,146.6,147,147.5,148,148.6,,,,,,
18,150.2,150.9,151.4,151.9,152.4,152.7,153.2,153.6,154,154.4,154.9,155.2,155.7,156,156.6,157.2,157.8,158.2,158.7,,
19,160.1,160.7,161.1,161.5,161.9,162.6,163,163.6,164,164.5,165,165.5,166,166.5,167.1,167.6,168.1,,,,
20,169.2,169.7,170.3,170.9,171.4,171.9,172.4,173.1,173.5,174.1,174.5,175,175.5,,,,,,,,
21,176.9,177.6,178,178.6,179.1,179.8,,,,,,,,,,,,,,,
