回數,1噛み目,2噛み目,3噛み目,4噛み目,5噛み目,6噛み目,7噛み目,8噛み目,9噛み目,10噛み目,11噛み目,12噛み目,13噛み目,14噛み目,15噛み目,16噛み目,17噛み目,18噛み目,19噛み目,20噛み目,21噛み目,22噛み目,23噛み目,24噛み目,25噛み目,26噛み目,27噛み目,28噛み目,29噛み目,30噛み目,31噛み目
1,6.4,7.5,8.5,9.3,10.2,11,11.4,12.6,13.5,14.4,15,,,,,,,,,,,,,,,,,,,,
2,16.5,17.5,18.1,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,19.8,20.7,21.6,22.3,23.8,24.6,,,,,,,,,,,,,,,,,,,,,,,,,
4,26.8,28.4,29.6,31.3,32.1,33,33.7,34.4,35.2,36.5,38.2,39,39.8,41.1,41.9,42.6,43.4,44.5,45.7,46.8,47.6,48.7,49.9,51.9,53.8,55,58.4,,,,
5,59.8,61.4,61.9,62.5,63.1,63.7,64.2,64.7,65.4,66.1,66.7,67.3,68,69.7,,,,,,,,,,,,,,,,,
6,72.8,73.8,74.6,76.1,77.1,78.1,79.3,80.3,81.2,82.7,83.3,83.8,,,,,,,,,,,,,,,,,,,
7,85,85.6,86.3,87,87.8,88.4,89.1,89.7,90.8,92.1,92.9,93.4,94.9,96,,,,,,,,,,,,,,,,,
8,98.1,99.9,100.7,101.4,102.2,102.8,103.5,104,105,106.7,107.3,108.4,109.8,110.8,111.7,113.1,,,,,,,,,,,,,,,
9,115.7,116.3,117.4,118,118.5,119,119.4,120,120.6,,,,,,,,,,,,,,,,,,,,,,
10,122.8,123.5,124.4,125,125.5,126.1,126.6,127.3,128.4,129.1,129.8,130.7,131.9,132.5,133.2,133.8,134.5,135.4,137.2,137.9,138.8,139.4,140.2,141.7,144.6,145.4,146.2,147.7,151,152.2,154.8
11,158.2,160,161.1,162.1,163.7,164.3,165.3,166.2,,,,,,,,,,,,,,,,,,,,,,,
12,169.5,171,171.8,172.8,174.4,175,175.7,176.3,177.1,178.1,179,,,,,,,,,,,,,,,,,,,,
