Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20
1,6.9,8,9.1,9.8,10.5,11.3,12,12.5,13.1,13.9,14.7,15.8,17.5,,,,,,,
2,20.4,21.4,22.3,23.3,24.3,25.1,25.5,26.5,27.2,27.9,,,,,,,,,,
3,30.5,31.9,32.9,33.7,34.6,35.4,36.7,37.5,38.2,38.9,39.9,41,42.7,,,,,,,
4,44.6,45.4,46.3,47.1,47.7,48.5,49.2,50.2,50.8,52.3,52.9,53.5,54.3,55,56,,,,,
5,60.9,62,62.8,64.2,65.8,66.5,67.2,68,69.3,70.1,71.5,,,,,,,,,
6,74.7,75.8,76.6,78,78.9,79.7,80.5,81.1,82.2,82.9,83.7,84.5,87.1,88.1,89.8,,,,,
7,94.8,96.1,97.6,98.6,99.5,100.3,101.1,101.9,102.7,103.6,105.1,106.2,107.3,,,,,,,
8,112.5,113.3,113.8,114.7,115.7,116.4,117.3,118.7,119.8,120.8,121.6,122.3,123.5,124.5,,,,,,
9,129.4,131.5,132.3,133.1,133.9,134.5,135.2,136.3,137.5,,,,,,,,,,,
10,142.6,143.9,144.9,145.6,146.2,146.9,147.6,148.3,149,149.8,150.8,151.5,152.4,153.1,154.1,154.8,155.7,,,
11,160.7,162,163.2,164.1,165,166,166.6,167.2,167.9,168.6,169.2,170.2,171.9,172.9,173.7,175,176.2,177.6,178.8,179.8
