Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24,Chew_25,Chew_26,Chew_27
1,5,6,7.6,9.2,10.1,10.7,12,12.8,13.7,14.8,15.9,17.2,18.1,18.6,19.2,20,22.1,24,24.9,27.8,,,,,,,
2,31.7,33.7,34.3,35.6,36,36.7,37.1,38,38.4,39.5,40,40.5,41.1,41.6,42.2,42.8,43.6,44.4,45.1,46.2,48.4,49.3,49.8,50.8,51.8,,
3,54.3,55.5,56.3,57.7,58.6,59.7,60.5,61,61.8,62.4,63.4,64.1,65.1,65.7,66.5,74.9,,,,,,,,,,,
4,77.8,78.7,79.3,79.9,80.6,81.4,82.2,83.3,84.6,,,,,,,,,,,,,,,,,,
5,86.6,87.5,88.3,,,,,,,,,,,,,,,,,,,,,,,,
6,89.6,90.1,90.7,91.2,91.7,92.5,92.9,93.7,94.3,,,,,,,,,,,,,,,,,,
7,97,97.7,98.3,,,,,,,,,,,,,,,,,,,,,,,,
8,99.3,100.3,100.9,101.5,102.1,,,,,,,,,,,,,,,,,,,,,,
9,103.4,105,105.6,106.1,,,,,,,,,,,,,,,,,,,,,,,
10,107.5,108.2,108.7,109.4,,,,,,,,,,,,,,,,,,,,,,,
11,110.5,111.5,112.1,,,,,,,,,,,,,,,,,,,,,,,,
12,112.9,113.8,114.5,115.2,115.8,116.4,117.2,118,118.7,119.4,120.1,120.8,122.5,123.3,124.4,,,,,,,,,,,,
13,129.8,130.4,131.5,133.1,134.4,135.1,136.2,136.8,137.8,,,,,,,,,,,,,,,,,,
14,141.3,142.2,143.4,144.8,145.7,146.6,147.4,148,148.8,149.7,150.6,151.8,152.7,153.7,154.5,155.2,156,157.1,157.8,158.3,159.4,160.3,163.9,165.4,166.5,167.2,168.5
15,170.5,172.1,172.9,173.8,174.6,175.8,176.7,177.3,178.3,179,179.6,,,,,,,,,,,,,,,,
