Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24
1,12,13.1,13.9,14.3,14.8,15.4,15.9,16.9,17.5,17.9,18.5,19,19.6,20.5,21,21.6,22.1,23,23.6,24.6,25.2,26,,
2,27.9,28.9,29.3,29.8,30.3,30.8,,,,,,,,,,,,,,,,,,
3,32.3,33.1,33.6,34.2,34.7,35.2,35.7,36.3,37.2,37.6,,,,,,,,,,,,,,
4,39.2,39.8,40.3,41.3,41.8,42.7,43.2,43.8,44.5,45.2,46.1,46.6,47.1,47.6,49.6,50.7,,,,,,,,
5,52.3,53.4,54.6,55.3,55.9,56.3,57.1,57.6,58.2,58.7,59.7,60.3,60.9,61.6,,,,,,,,,,
6,62.8,63.6,64.6,65.2,66.1,66.7,67.5,68.1,68.6,69.3,69.9,70.5,71.9,,,,,,,,,,,
7,72.7,73.5,74.3,75,75.7,76.5,77.8,78.4,79.1,79.9,80.5,81.3,82.4,,,,,,,,,,,
8,83.5,84.4,85.1,85.7,86.2,86.8,87.4,88,88.6,89.2,89.9,91,91.6,92.3,,,,,,,,,,
9,96,96.8,97.5,98.6,99.2,99.8,100.5,101.1,101.7,102.4,103,103.9,104.5,105.3,106,106.6,107.4,108.1,108.7,109.3,110,110.7,111.9,112.7
10,115.9,116.5,117.4,118,118.6,119.2,119.9,120.5,121.6,122.1,122.5,123,123.7,124.6,125.1,125.9,127.4,127.9,128.7,129.4,,,,
11,131.1,131.8,132.6,133.4,134.2,134.9,135.7,136.3,137,137.7,138.7,139.6,140.1,,,,,,,,,,,
12,142.3,143.2,143.7,144.2,144.8,145.6,146.1,146.7,147.2,147.7,148.6,149.1,149.6,150.9,151.5,152.1,153.5,,,,,,,
13,167.3,168,168.6,169.1,169.4,170,170.6,,,,,,,,,,,,,,,,,
14,171.3,172,172.6,173.1,173.6,174.1,174.8,175.3,176.1,176.6,177.3,178,179.2,179.8,,,,,,,,,,
