Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21
1,3.7,4.6,5.3,5.8,6.5,7,7.4,8.1,8.6,9.2,10.1,10.7,11.8,12.6,13.2,14,14.9,15.7,,,
2,16.9,17.5,18.1,18.6,19.1,19.6,20.5,20.9,21.4,22.6,23.1,23.8,24.3,25.1,26.3,,,,,,
3,28.1,28.7,29.6,30.1,30.6,31.4,31.9,32.5,33.1,33.8,34.5,35.1,35.7,36.4,37.1,37.9,38.8,39.7,40.9,,
4,42.7,43.3,44.1,44.8,45.5,46,46.6,47.1,47.8,48.3,48.9,49.7,50.8,,,,,,,,
5,51.4,51.9,52.7,53.3,53.8,54.7,55.2,55.9,56.6,57.3,,,,,,,,,,,
6,58.7,59.7,60.2,60.7,61.2,61.8,62.3,63,63.7,64.3,65.2,65.7,66.4,67,67.6,,,,,,
7,68.7,69.2,69.9,70.6,71.1,71.8,72.3,73.1,73.7,,,,,,,,,,,,
8,75.3,75.8,76.5,77.2,77.9,78.5,79.3,79.9,80.6,,,,,,,,,,,,
9,81.3,81.8,82.3,83.2,83.8,84.5,85,85.8,86.6,87.8,88.5,89.4,90.2,,,,,,,,
10,91.7,92.5,93.4,94.3,94.8,95.4,96.1,96.9,97.7,98.3,98.9,99.5,100.1,100.8,101.4,102,102.7,103.3,104.2,104.8,105.5
11,106.7,107.5,108.1,108.6,109.4,110.4,111,111.6,112.3,112.8,,,,,,,,,,,
12,114.4,115.4,116,117,117.7,118.3,118.9,119.5,120.1,120.7,121.4,122.3,,,,,,,,,
13,123.3,124,124.5,125.2,125.9,126.6,127.6,128.1,128.6,129.3,129.8,130.7,131.4,131.9,,,,,,,
14,132.8,133.6,134,134.6,135.1,135.8,136.4,136.9,137.6,138.3,139,139.7,140.5,141.2,,,,,,,
15,143.1,143.9,144.9,145.5,146.1,146.6,147.3,148.1,148.9,149.6,,,,,,,,,,,
16,151.2,152,152.7,153.4,154.3,154.8,155.3,156,,,,,,,,,,,,,
17,156.8,157.4,158.2,159.3,160.2,160.8,161.4,161.9,162.6,163.3,163.9,164.5,165.2,165.9,166.4,167.2,167.7,168.2,169.2,,
18,171.2,172,172.6,173.2,173.9,174.4,175.1,176,177.2,178.1,,,,,,,,,,,
19,179.3,,,,,,,,,,,,,,,,,,,,
