Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15
1,6.4,7.3,8,8.6,9.4,10.7,11.5,12.3,13,13.7,,,,,
2,15,15.6,16.1,16.8,17.6,18.4,19.1,20.2,20.8,22,,,,,
3,25,25.8,26.7,27.6,28.4,29.1,,,,,,,,,
4,30.6,31.4,32.4,33.1,33.9,,,,,,,,,,
5,35.8,36.7,37.5,38.1,39.3,40.8,41.5,42.2,43.2,45.2,,,,,
6,46.6,47.4,48.6,49.7,50.5,51.4,52.4,53.2,54.1,55.2,56.1,,,,
7,59.5,60.9,61.8,62.5,64,64.8,65.9,66.9,67.6,68.3,69.2,69.8,72.4,,
8,74.9,76.9,77.7,78.4,79.4,80.6,81.4,82.3,83,,,,,,
9,84.3,85.5,86.2,87.1,87.9,89,,,,,,,,,
10,92,92.8,93.3,94,94.8,95.6,,,,,,,,,
11,96.4,97.2,98.1,98.9,100,101.7,102.4,103.4,,,,,,,
12,105.5,107.5,108.4,109.8,110.6,111.5,112.5,113.4,114.3,,,,,,
13,116.6,117.4,118.5,119.4,120.2,121.1,121.7,122.3,123.1,124.1,124.7,125.5,126.4,127.2,130.5
14,132.4,133.4,134.3,135.1,,,,,,,,,,,
15,136.5,137.5,138.4,139.1,140,140.6,141.3,142.1,143,143.9,145.1,146.6,,,
16,150.2,151.3,152.3,153,153.7,154.7,155.5,156.4,157.2,157.8,158.5,159.4,,,
17,161.7,162.6,163.3,164.2,165.2,166.8,168,168.8,169.8,,,,,,
18,171.9,172.9,173.8,174.8,175.6,176.7,177.6,178.7,,,,,,,
