Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24,Chew_25,Chew_26,Chew_27,Chew_28,Chew_29,Chew_30,Chew_31,Chew_32,Chew_33
1,6.1,6.9,8.1,8.7,9.7,10.5,11.3,11.9,12.8,13.5,14.3,15,15.8,,,,,,,,,,,,,,,,,,,,
2,19.1,19.6,20.1,20.9,21.5,22,22.5,23,23.8,24.3,24.9,25.7,26.4,27.2,,,,,,,,,,,,,,,,,,,
3,28.7,29.6,30.2,30.7,31.2,31.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,34.1,34.6,35.2,35.9,36.7,38.9,39.6,40.5,41.4,43.3,45.1,45.9,,,,,,,,,,,,,,,,,,,,,
5,47.7,48.8,49.9,50.8,52.1,53,54,54.9,55.8,56.9,57.8,58.6,59.4,60.2,61.1,61.8,63.7,65.7,66.6,67.5,68.4,70.2,,,,,,,,,,,
6,73.1,74.5,76.4,77.6,78.3,79.1,79.9,80.7,81.5,82.2,82.8,83.4,84.2,84.9,85.8,86.7,87.6,88.4,89.5,90.6,91.4,92.4,93.4,94.4,95.7,96.8,,,,,,,
7,103,104.2,104.6,105.1,106.2,107.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,108.4,109,109.8,110.6,111.6,112.5,113.2,114.1,,,,,,,,,,,,,,,,,,,,,,,,,
9,115.4,116.2,116.8,117.6,118.2,119,119.9,120.9,121.6,122.4,123.3,124.1,124.9,125.6,126.9,,,,,,,,,,,,,,,,,,
10,128.7,129.7,130.4,131.4,132,132.8,133.9,135.1,135.9,137,138.1,139.1,139.6,140.4,141.2,142.1,,,,,,,,,,,,,,,,,
11,144.5,145.5,146.4,147.4,148.2,149.4,150.1,150.9,151.8,152.6,153.4,154,154.8,155.6,156.4,157.2,158,159.3,160.3,161.1,162.2,163.3,164.3,165.2,166.4,167.2,168,169.4,170.4,171.3,176.4,178.6,179.3
