Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24,Chew_25,Chew_26,Chew_27
1,5.1,6,6.5,7.2,8,8.8,9.5,9.8,10.4,10.9,11.5,12.1,12.6,13.5,14.2,,,,,,,,,,,,
2,15.8,16.6,17.1,17.6,18,18.4,18.9,19.5,20,20.5,21.2,21.6,22,22.3,22.9,23.7,24.6,25.7,26.7,27.6,,,,,,,
3,30.4,31.3,32.1,32.6,33.1,33.8,34.2,34.8,35.1,35.7,36.3,37,37.5,38,38.7,39.4,40.3,42,,,,,,,,,
4,43.9,44.4,45,45.5,46.3,47,47.7,48.3,48.9,49.5,50.2,50.7,51.1,51.6,52,52.4,52.8,,,,,,,,,,
5,55.7,56.6,57.6,58.4,59,59.9,60.7,61.3,62,62.8,63.6,64.1,65.1,65.6,66.4,67,67.9,68.4,69.3,69.7,70.1,70.5,71,71.7,72.1,73.4,73.9
6,77,77.5,78.3,78.7,79.4,80.1,80.7,81.5,82.6,83.2,83.7,84.3,84.8,85.4,86.7,87.2,87.9,88.5,88.9,89.5,90,90.5,92.1,,,,
7,93.2,93.8,94.2,94.8,95.3,95.8,96.3,96.8,97.3,97.8,98.3,99,99.4,100,101.2,101.8,102.2,102.8,103.3,104,104.5,105,105.5,,,,
8,107.9,108.5,109,109.6,110.2,110.7,111.1,111.7,112.1,112.9,113.5,114,114.6,115.1,115.6,116.6,117,117.7,118.6,119.3,,,,,,,
9,121,121.4,122.1,122.7,123.3,124,124.5,125,125.5,126.1,126.3,126.8,127.4,128,129,130.1,130.4,131,131.9,133.5,133.9,135.3,,,,,
10,137,137.9,138.3,139,139.7,140.7,141.4,141.9,142.4,142.9,143.4,144,144.4,145.1,145.8,,,,,,,,,,,,
11,147.3,147.8,148.2,148.6,149.2,149.6,150.1,150.6,151.1,151.6,152,152.6,153,153.7,154.2,154.7,155.2,155.8,156.2,156.7,157.7,158.2,158.8,,,,
12,164,164.8,165.4,166.2,166.8,167.5,168.1,168.5,169.1,169.8,170.3,170.9,171.5,171.9,172.7,174.5,175.1,175.7,176.3,176.9,177.4,178,178.8,,,,
