Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18
1,4.4,5.9,7,7.6,8.2,8.6,9.1,9.8,10.4,10.9,11.6,12.6,13.1,13.7,,,,
2,15.2,16.2,17.1,17.7,18.3,19,19.8,20.7,21.4,22.1,22.7,23.5,24,24.5,,,,
3,27,27.8,28.3,29.1,29.6,30.2,30.7,31.3,31.9,32.5,33.3,,,,,,,
4,34.8,35.5,37.1,37.7,38.3,39.1,39.6,40.3,41.2,41.9,42.6,43.2,43.7,44.3,45,45.8,46.6,47.6
5,49.4,51.4,52.6,53.3,53.8,54.4,54.9,55.4,56,56.7,57.3,57.9,,,,,,
6,59.6,60.5,61.3,62,62.6,63.2,64,,,,,,,,,,,
7,66.6,67.6,68.6,69.8,70.7,71.4,72.1,72.8,73.5,74.2,,,,,,,,
8,76.7,77.8,78.8,79.9,80.6,81.1,81.8,82.4,83.2,84.1,84.6,,,,,,,
9,85.9,86.8,87.5,88.3,88.8,89.7,90.2,,,,,,,,,,,
10,92.5,93.3,94.1,94.9,95.9,96.5,97.1,97.8,98.4,99.1,99.8,100.5,101,101,101.2,,,
11,102.7,103.4,104,104.6,105.5,106.2,107,107.8,108.8,,,,,,,,,
12,111.2,112.6,113.7,114.4,115.2,116,116.6,117.6,118.4,119.3,120.3,,,,,,,
13,122.7,123.8,124.7,126.2,127.2,128,128.8,129.3,129.8,130.3,130.8,131.5,131.9,132.5,133.2,134,135.8,
14,137,138.3,139.2,139.7,140.4,141,141.6,142.2,142.9,,,,,,,,,
15,143.7,144.5,145.2,146,146.8,147.4,148.3,148.9,149.6,150.3,151.1,,,,,,,
16,152.9,153.6,154.2,154.9,155.5,156.2,156.9,157.6,,,,,,,,,,
17,159.3,160.1,161,161.8,162.5,163.6,164.3,165.2,165.9,166.4,167,167.5,168.1,168.6,169.1,169.8,170.5,171
18,173,174.3,175.3,175.7,176.3,176.9,177.4,178.1,,,,,,,,,,
19,179.5,,,,,,,,,,,,,,,,,
