Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16
1,6.4,7.5,8,8.6,9.3,9.9,10.5,11.3,11.9,12.7,13.4,14.4,,,,
2,16.2,16.9,17.4,18,18.6,19.4,20.1,20.9,22.9,23.4,,,,,,
3,24.9,25.7,26.6,27.6,28.4,29,29.7,30.5,31.2,32,,,,,,
4,34.8,36.2,37.1,38.1,38.8,39.6,40.4,40.9,41.7,42.3,43.2,43.8,44.7,45.2,,
5,47.4,48.2,49,49.7,50.5,51.5,52,52.6,53.2,53.6,54.3,54.9,55.4,56.5,,
6,58.6,59.3,59.8,60.5,61,61.6,62.2,62.7,63.3,64,64.8,65.6,,,,
7,68,68.8,69.8,70.9,72,73.2,73.9,74.6,75.9,,,,,,,
8,77.6,78.5,79,79.6,80.3,81.3,82,82.8,83.8,84.4,85.2,85.9,86.7,87.4,88.3,89.3
9,94,94.7,95.7,96.3,96.9,97.5,98.1,98.7,99.5,100.2,101.1,102,,,,
10,103.7,104.4,105.1,105.9,106.6,107.4,108.1,108.8,109.4,110.2,111,111.7,112.4,113.2,114.9,
11,117.2,118,118.6,119.4,120.2,120.9,121.7,122.3,122.8,123.6,124.4,,,,,
12,126,126.8,127.4,128,128.7,129.3,129.8,130.3,131.2,131.8,132.8,133.4,134.2,135.3,,
13,137.6,138.7,139.7,140.5,140.9,141.5,142.1,142.8,143.3,144,144.7,,,,,
14,148.1,148.9,149.7,150.3,150.8,151.6,152.3,153.4,154,154.8,155.9,157.4,157.8,158.3,159.2,161.8
15,162.6,163.5,164.2,165.1,165.8,166.4,168.9,,,,,,,,,
16,171.8,172.9,173.6,174.3,175,175.8,176.5,177,177.6,178.2,178.9,179.7,,,,
