Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18
1,5,5.8,6.3,6.8,7.5,8,8.6,9.3,9.9,10.5,11.3,11.7,12.4,13.3,13.8,14.4,15.7,
2,16.8,17.3,18,18.6,19.2,19.7,20.3,21.3,21.8,22.3,23.2,,,,,,,
3,23.9,24.6,25.3,25.7,26.3,27,27.6,28.1,29.4,29.8,30.2,30.9,31.6,32.2,32.7,33.3,,
4,36.4,36.9,37.9,38.4,39,40,40.8,41.3,41.9,42.5,43.1,43.7,44.4,45.1,45.8,,,
5,49.3,51,51.6,52.3,52.9,53.6,54.4,55,55.8,,,,,,,,,
6,56.6,57.6,58.4,59,60.1,60.5,61,61.6,,,,,,,,,,
7,63.2,64.2,64.8,65.2,65.7,66.3,66.9,67.7,68.5,69.2,69.8,,,,,,,
8,71.1,71.6,72.2,72.9,73.4,74.4,74.7,75.2,75.8,76.3,76.9,77.5,78.1,,,,,
9,80,80.8,81.5,82,82.6,83.3,84,84.6,85.3,,,,,,,,,
10,87.2,87.8,88.4,88.9,89.5,90.1,90.7,91.2,91.8,92.4,93.1,93.6,94.3,94.9,95.8,96.5,,
11,100,101.6,102.3,102.8,103.3,103.8,104.2,105,105.4,105.8,106.4,107,107.5,108.1,,,,
12,108.9,109.5,110.2,110.7,111.7,112.2,112.8,113.5,114.6,115.1,115.8,116.3,,,,,,
13,118.4,119.3,119.7,120.3,120.8,121.4,122,122.7,123.2,123.9,124.5,125.3,126,126.7,127.5,128.4,129.4,130.1
14,132.2,133,134.6,135.1,135.7,136.2,136.8,137.8,138.2,139,139.5,140.1,140.8,141.4,141.9,142.6,,
15,143.1,143.8,144.6,145.2,145.9,146.7,147.2,147.8,148.5,149.4,149.9,150.5,151.4,,,,,
16,155.6,156.5,157.4,157.9,158.5,159.1,159.7,160.5,161.1,161.9,162.6,163.4,164.2,165.1,166,166.8,167.4,168.4
17,171.5,172.9,173.5,174.3,174.9,175.8,176.3,176.9,177.6,178.2,179.2,179.9,,,,,,
