Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19
1,5.2,5.8,6.3,6.7,7.2,7.8,8.4,,,,,,,,,,,,
2,9.1,9.7,10.2,10.9,11.4,12,12.7,13.3,14,14.7,,,,,,,,,
3,17.2,17.8,18.3,19.1,19.6,20.3,20.9,21.5,22.1,22.8,23.6,24.4,25.2,25.8,26.8,,,,
4,29.5,30.5,31,31.6,32.1,32.8,33.4,34.2,34.9,,,,,,,,,,
5,35.8,36.4,36.9,37.4,38.3,,,,,,,,,,,,,,
6,39.1,39.6,40,40.5,41.2,41.8,42.4,42.9,43.5,44.1,44.8,45.5,,,,,,,
7,47.6,48.3,48.8,49.4,50.1,50.9,51.4,51.9,52.4,52.8,53.3,53.9,54.6,55.3,55.8,56.6,57.6,58.5,
8,60.4,61.3,61.8,62.4,62.9,63.5,64,64.7,65.3,65.8,66.4,67.1,67.7,68.6,69.3,,,,
9,70.5,71.2,71.8,72.3,73,73.5,74,74.6,75.2,75.9,76.9,77.6,,,,,,,
10,78.7,79.4,80,80.6,81.3,81.8,82.4,83,83.9,84.7,85.5,86.5,87.5,88.4,,,,,
11,90.2,91.2,91.8,92.3,92.7,93.4,94.1,94.8,,,,,,,,,,,
12,97.3,97.8,98.3,98.9,99.4,100,100.7,101.3,101.9,102.4,103.1,103.6,104.5,105.1,105.7,106.3,106.9,,
13,108.1,108.7,109.3,109.7,110.4,111.2,111.8,112.4,112.9,113.4,114,114.6,115.2,115.7,116.3,116.9,117.6,118.1,118.6
14,120,120.5,121.1,121.7,122.1,122.5,123.1,123.7,124.3,124.8,125.6,126.2,127.1,,,,,,
15,128.7,129.6,130.2,131,131.6,132.1,132.5,133,133.6,134.1,134.6,135.3,135.8,,,,,,
16,138.8,139.4,139.7,140.3,140.8,141.4,142,142.5,143,143.4,143.9,144.6,145.2,145.8,146.4,146.9,147.6,148.5,
17,149.8,150.5,151,151.6,152.1,152.6,153.2,153.7,154.3,154.8,155.4,156,156.6,157.2,157.9,158.5,159.7,,
18,160.9,161.5,162.3,162.9,163.5,164,164.7,165.5,166.2,166.9,167.6,168.2,,,,,,,
19,170.2,170.6,171.3,172,172.4,173,173.6,174.3,174.9,175.8,,,,,,,,,
20,177.4,178.1,178.7,179.5,,,,,,,,,,,,,,,
