Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20
1,5.5,6.5,7.1,7.8,8.3,8.7,9.4,10,10.5,11,11.5,12.6,12.9,13.5,14.1,15,15.6,16.2,,
2,18.2,19,19.5,20,20.5,21.1,21.8,22.4,23.1,23.7,24.2,25.1,25.6,26.3,27.1,,,,,
3,28.9,29.9,30.6,31.3,32.4,32.8,33.3,33.8,34.2,35,35.7,36.8,37.3,37.6,38.2,38.8,39.5,40.2,40.9,41.5
4,43.3,43.9,44.6,45.4,46,46.7,47.4,47.8,48.2,48.9,49.3,49.8,50.6,51.2,51.8,52.9,53.6,54.2,55.4,
5,56.9,57.6,58.3,58.9,59.4,60,60.7,61.1,61.6,62.1,62.6,63.2,63.8,64.2,64.9,65.8,67.3,,,
6,68.3,69,70.1,70.9,71.2,71.7,72.1,72.6,73.2,73.6,74,74.5,75.1,75.8,76.5,77.1,78.3,79.4,80.5,
7,83.5,84.1,84.9,85.5,86.1,87.3,88.8,90.1,91.3,92.6,,,,,,,,,,
8,95.1,96.9,97.6,98.4,99.2,99.9,100.6,101.2,101.9,102.5,103.1,103.8,104.4,105,105.6,106.3,106.9,107.5,,
9,109.7,110.4,111,111.5,112,112.6,113.2,113.6,114.1,114.6,115.3,115.9,116.4,117,117.7,118.4,119.2,120.5,121.6,123.4
10,126.4,126.9,127.5,128.3,128.9,129.3,129.9,130.5,131.2,131.9,132.7,133.5,134.3,134.9,135.5,136.2,136.9,,,
11,138.3,138.8,139.2,139.7,140.5,141.2,141.6,142.2,142.8,143.3,143.9,144.7,145.7,146.6,,,,,,
12,147.5,149.1,149.8,150.3,150.8,151.3,152,152.5,153.1,153.6,154.3,155.1,156,156.8,157.5,158.4,159.2,,,
13,161.3,162.3,163,163.9,164.6,165.7,166.3,167,168.3,169.4,171.2,,,,,,,,,
14,174.4,175.4,176.2,176.8,177.6,178.4,179.4,,,,,,,,,,,,,
