Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21
1,4,4.7,5.2,5.7,6.2,6.8,7.4,8.2,9.4,9.9,11.3,11.7,12.2,12.8,13.4,,,,,,
2,14.8,15.3,15.7,16.2,17,17.5,18,18.6,19.4,20.2,21,21.8,22.3,22.8,,,,,,,
3,25.4,26.1,26.7,27.5,28.1,28.6,29.2,29.9,30.7,31.2,31.9,33,33.8,,,,,,,,
4,35.1,35.7,36.2,36.8,37.4,38,38.5,39.1,39.7,40.3,41,42.2,43.1,43.8,44.4,,,,,,
5,46.8,47.6,48.4,49,49.7,50.2,50.8,51.4,52,52.6,53.2,53.9,54.4,55.1,56,56.6,57.7,58.3,58.9,59.6,60.3
6,62.6,63.4,64,64.6,65.1,65.6,66.2,66.9,67.5,68.2,68.9,69.5,70.3,71,71.6,72.2,72.8,73.3,73.9,74.6,
7,76.9,77.8,78.5,79,79.7,80.4,80.8,81.3,81.9,82.7,83.2,83.9,84.5,85.2,85.9,86.6,,,,,
8,88,88.9,89.4,90.2,90.8,91.5,92.2,92.7,93.2,93.9,94.3,94.9,95.6,96.5,97.6,,,,,,
9,99.2,99.9,100.4,100.9,101.5,102.1,102.5,103,103.8,104.6,105.1,105.9,106.4,107.1,107.9,108.6,,,,,
10,110.4,111.1,111.7,112.2,112.8,113.3,114.2,114.8,115.2,115.8,116.3,116.9,117.6,118.3,119,119.5,120.3,120.9,,,
11,122.6,123.3,123.8,124.3,124.9,125.4,126,126.5,127.1,127.7,128.3,128.8,129.3,130,130.6,,,,,,
12,132,132.6,133.1,133.6,134.2,134.8,135.3,135.9,136.6,137.1,137.6,138.2,138.7,139.3,139.9,,,,,,
13,141.9,142.6,143.3,143.9,144.5,145,145.5,146,146.5,147,147.6,148.4,149.9,150.8,151.7,152.4,,,,,
14,154.5,155.5,156.2,157,157.6,158.2,158.9,159.5,160.1,160.8,161.3,162,162.7,163.5,164.1,164.7,165.2,165.9,166.5,167.1,167.7
15,169.4,170.2,170.8,171.4,172.1,172.8,173.4,173.9,174.5,175.2,175.9,176.7,177.4,178.1,178.8,179.7,,,,,
