t_center,z_S_t__20170705_01_02_01,z_S_t__20170705_01_02_02,z_S_t__20170705_01_02_03,z_S_t__20170705_03_04_01,z_S_t__20170705_03_04_02,z_S_t__20170705_03_04_03,z_S_t__20170707_01_02_01,z_S_t__20170707_01_02_02,z_S_t__20170707_01_02_03,z_S_t__20170707_03_04_01,z_S_t__20170707_03_04_02,z_S_t__20170707_03_04_03,z_S_t__20170707_05_06_01,z_S_t__20170707_05_06_02,z_S_t__20170707_05_06_03,z_S_t__20170707_07_08_01,z_S_t__20170707_07_08_02,z_S_t__20170707_07_08_03,z_S_t__20170707_09_10_01,z_S_t__20170707_09_10_02,z_S_t__20170707_09_10_03,z_S_t__20170707_11_12_01,z_S_t__20170707_11_12_02,z_S_t__20170707_11_12_03,z_S_t__20170710_13_14_01,z_S_t__20170710_13_14_02,z_S_t__20170710_13_14_03,z_S_t__20170710_15_16_01,z_S_t__20170710_15_16_02,z_S_t__20170710_15_16_03
3.5,3.255438334,3.55641699,3.130266077,1.947609179,1.486932632,1.452327427,1.858768185,0.766589032,2.269743677,1.249012363,1.92212701,1.540828456,2.352313353,3.115743077,2.846621156,3.189530998,2.572435735,3.192836597,3.106989013,2.878865142,2.64100461,1.672908871,2.676120141,1.490449169,1.706534291,1.277486338,1.489934633,2.711979438,3.064936486,2.90413372
4.5,3.18203123,3.163852166,2.769639994,1.879452653,0.903998094,1.559036836,1.71473445,0.728467447,1.325799644,0.892612234,1.232964915,1.19400687,2.266742852,2.70697319,2.380279415,3.116140445,2.101510604,3.114982495,2.920930308,2.148983502,2.357478738,1.64924386,2.644711754,0.521408586,1.013399505,1.086840473,1.351514172,2.473921148,2.693961194,2.965415936
5.5,3.233619092,2.807577589,2.81202536,1.609825046,0.64754763,1.234272021,1.837356987,0.654091481,1.337565124,0.346176641,0.296782177,0.467807615,2.343109792,2.174316549,2.177804027,3.107520361,1.859184677,3.036339316,2.889311376,2.080748481,2.296604154,0.684374262,2.556533287,-0.281007159,1.20133169,0.30821235,1.765878503,1.997303493,2.104921972,2.64977178
6.5,3.203647177,2.842456054,2.640160635,1.609511368,0.434785445,1.555252206,1.449823529,0.831050743,1.444408044,0.293783605,0.291334317,0.598591166,2.255926351,1.818853468,1.894710892,2.429588958,1.459640507,3.071006218,2.555971379,1.480605545,2.123080672,0.836557428,1.968468827,-0.635303988,0.63686027,0.489633412,1.835222054,1.817683846,2.169963399,2.451984622
7.5,2.747769483,1.82398249,2.025696566,1.877815338,1.019984224,1.944920837,1.44639681,1.062089413,1.217859725,0.297183134,0.443041693,1.259376676,2.579383296,1.378700521,1.658349794,2.065752397,1.986953247,2.655774074,2.077438337,0.830328426,2.761532683,0.50063967,1.514113243,-0.19173653,0.746796162,0.629551918,2.131939486,0.900787736,2.313519177,2.37077267
8.5,2.149564196,1.326288723,1.939762867,2.027502775,0.758445142,1.339447511,1.879655393,1.318232618,0.941655668,0.818322203,0.300173358,1.795148352,2.809612424,1.199967941,1.656773207,1.446266863,2.176441792,1.982213475,1.519324819,0.185009873,1.981556307,1.519338475,0.616100913,0.231931223,1.564992628,1.214440242,2.629325102,1.098301019,2.237446017,2.031844604
9.5,2.173531049,0.947785228,1.86892883,2.034136934,1.250687199,0.680761614,1.98708803,1.177916002,1.46107262,1.077107812,0.817008671,1.933665665,2.487892441,0.321802065,1.490705433,1.038751347,2.319531598,1.137913185,1.349622305,0.474879369,1.47601208,0.60573361,0.70664958,0.690875594,1.440575952,1.209466472,2.463523766,1.035768645,1.835940627,1.172839578
10.5,2.210363679,0.388581434,1.944783265,2.187806792,1.509606024,1.109767977,1.844130246,1.146969341,1.008772647,0.845637927,0.838215176,2.480310396,2.175668688,0.470655842,1.282654325,1.041392098,2.251062115,1.726011802,0.893314594,0.2664523,1.159080715,1.397148823,0.941015754,1.341287655,1.281440307,1.775176629,1.439874893,1.288331248,2.071525575,0.562537909
11.5,1.575814256,0.308875377,1.410824122,2.099018231,2.102065192,0.889806981,1.403973836,1.042866016,0.793691935,0.779313378,0.710448534,2.300444765,1.45294424,0.392074096,1.42655795,1.606856788,1.646510208,0.958420344,1.048058903,0.343937568,1.638649425,1.450547292,1.620717472,1.349996393,1.79397431,1.785726649,0.816797929,0.804744268,1.349349345,0.763798873
12.5,1.04111307,0.670671018,1.472140775,2.315319756,1.563609985,1.168050732,1.914584622,0.651141596,1.192443087,1.361219529,0.477180329,2.02983802,1.25901641,-0.16472967,1.394628173,1.451775998,1.348771304,0.386630175,1.016279408,0.238406345,1.283118308,1.373817289,0.534336764,1.267810722,1.471349787,1.557363187,0.537340975,0.361203188,0.591497957,0.740452536
