t_center,z_S_t__20170705_01_02_01,z_S_t__20170705_01_02_02,z_S_t__20170705_01_02_03,z_S_t__20170705_03_04_01,z_S_t__20170705_03_04_02,z_S_t__20170705_03_04_03,z_S_t__20170707_01_02_01,z_S_t__20170707_01_02_02,z_S_t__20170707_01_02_03,z_S_t__20170707_03_04_01,z_S_t__20170707_03_04_02,z_S_t__20170707_03_04_03,z_S_t__20170707_05_06_01,z_S_t__20170707_05_06_02,z_S_t__20170707_05_06_03,z_S_t__20170707_07_08_01,z_S_t__20170707_07_08_02,z_S_t__20170707_07_08_03,z_S_t__20170707_09_10_01,z_S_t__20170707_09_10_02,z_S_t__20170707_09_10_03,z_S_t__20170707_11_12_01,z_S_t__20170707_11_12_02,z_S_t__20170707_11_12_03,z_S_t__20170710_13_14_01,z_S_t__20170710_13_14_02,z_S_t__20170710_13_14_03,z_S_t__20170710_15_16_01,z_S_t__20170710_15_16_02,z_S_t__20170710_15_16_03,,,,,,,,,,,,,,,,,,,,,,,,,
3.5,2.299617817,2.581306468,2.295661115,1.208162062,0.87545038,1.564731525,1.23981311,0.83973039,2.085111117,1.336378554,1.139499918,0.439753274,1.64534908,2.426720512,2.095765115,2.252803941,1.623768991,2.215430041,2.526163954,2.197397064,2.785571344,1.756418883,2.28481168,0.637175623,0.658595801,1.125078114,1.256877061,2.012330823,2.186581179,2.169309605,,,,,,,,,,,,,,,,,,,,,,,,,
4.5,2.302340372,2.178847623,1.988383695,1.151424901,0.317492613,1.657256474,1.1398408,0.800011099,2.042719848,1.694221988,0.281040394,0.132174215,1.53561973,2.025672686,1.712686514,2.236190014,1.250033277,2.21660213,2.533613982,2.444657486,2.364551135,1.708200433,2.488827493,0.586811912,0.026013237,1.120638456,1.221047124,1.885450115,1.941965992,2.312493055,,,,,,,,,,,,,,,,,,,,,,,,,
5.5,2.37172169,1.851174378,2.100553257,0.97283012,0.045197657,1.229220147,1.299986065,0.621801417,1.967492524,1.723182669,-0.120456562,0.054847484,1.556928054,1.5734288,1.521053351,2.254147789,0.967837962,2.156557721,2.474266526,2.253447003,2.424257194,1.28650021,2.586344765,0.593043467,0.229985959,1.084840929,1.819048757,1.405031542,1.391661618,2.135643508,,,,,,,,,,,,,,,,,,,,,,,,,
6.5,2.291337814,1.999201847,1.818282142,0.909402136,0.39595912,1.534638876,0.968658566,0.752259188,2.123498104,1.37987679,-0.106708001,0.237735097,1.466941361,1.136007982,1.203596306,1.59826671,0.514435354,2.233200366,2.080747861,2.304699881,2.466177394,1.763869585,1.591413532,0.81687905,-0.42161056,1.297103541,2.028677928,1.270907452,1.576892945,2.02932935,,,,,,,,,,,,,,,,,,,,,,,,,
7.5,1.84395349,0.937879191,1.287108575,1.208791226,0.944787717,1.459293286,1.534621824,0.891065987,2.237841225,0.75291332,0.036981831,1.348163027,1.786364169,0.764867736,0.964790254,1.285383831,1.082963257,1.809825131,1.542410444,2.290287946,2.339955535,1.329494434,0.908646591,1.141796375,-0.034124189,1.638648253,2.442989804,0.272992921,1.695085508,1.858657429,,,,,,,,,,,,,,,,,,,,,,,,,
8.5,1.204189739,0.442516104,1.224275224,1.460026748,0.630652394,1.259280558,1.993558987,0.735448948,1.928975233,1.496378972,0.645079869,2.307777116,1.988627337,0.547215416,0.975249982,1.449215581,1.375269414,1.07554477,1.511496996,2.210787014,1.416198754,1.710059925,-0.884882174,1.281879308,1.087453744,1.61131576,2.445608205,0.580836578,1.694361597,1.509333666,,,,,,,,,,,,,,,,,,,,,,,,,
9.5,1.317809629,0.079985406,1.128959864,1.423659355,1.123859533,0.583300088,2.096181512,0.862169457,1.577957622,0.900752317,1.522951713,2.184307813,1.828134925,0.241199466,1.355045568,0.998592368,1.758103825,0.267169238,1.122690675,1.921614248,1.025846512,0.472432556,-0.582036161,1.297356184,1.057256947,1.614816151,1.857152629,0.396042545,1.739973258,0.486677774,,,,,,,,,,,,,,,,,,,,,,,,,
10.5,1.411168186,0.047602849,1.168534481,1.583104667,1.358474942,1.107179406,1.768367243,0.938933503,1.087954351,-0.039229951,1.501705827,2.010135283,1.555428997,0.3415765,1.738870695,1.183362499,1.80962714,0.794025537,0.593716161,1.798865281,0.718142038,0.811769434,-0.310409958,1.337281037,0.783457477,1.550098419,1.268431587,0.685317053,1.953848059,-0.150123894,,,,,,,,,,,,,,,,,,,,,,,,,
11.5,1.466150729,-0.068191662,0.651147085,1.581035238,1.323164122,0.946345236,1.8132802,0.796131173,0.755081262,-0.20580934,1.495180195,1.705774235,0.731976656,0.712439568,1.896005817,2.043552508,1.920769012,0.03772454,0.795356184,1.745849261,1.198231473,0.786148545,0.641756815,1.241317916,1.336221283,1.576379552,0.660361446,0.144223893,1.226993987,0.084134716,,,,,,,,,,,,,,,,,,,,,,,,,
12.5,0.858459317,0.374389334,0.73649659,1.704093554,0.774534058,1.380070628,1.887754453,0.888183111,0.680135101,0.508063878,1.142237601,1.183137246,0.498299035,0.618254985,1.781182001,2.004503276,1.646035685,-0.556834311,1.492230033,0.840947372,0.793423571,0.648748556,0.226815451,1.217012706,0.793187456,1.92563327,1.094725957,-0.366814391,0.506314265,0.152782823,,,,,,,,,,,,,,,,,,,,,,,,,
13.5,0.665743611,0.973512543,0.898238231,1.146088739,1.453295654,1.429709738,1.891748128,1.025715149,0.849856633,0.179109148,-0.008492589,0.510038611,0.850696366,0.515962056,1.623758548,1.442936696,0.732831473,-0.607942368,1.199371904,0.008793703,1.219579973,0.068341069,2.21447719,1.163770976,0.230628767,1.406523833,0.889079634,-0.89781514,0.01246798,-0.330038059,,,,,,,,,,,,,,,,,,,,,,,,,
14.5,0.331355795,1.471313946,0.597876396,0.941106581,1.133083134,1.730963949,1.936849603,0.841097254,1.347268799,-0.742248768,-0.484631618,0.625094657,0.526969682,0.593298257,0.914792401,1.465534987,-0.245621982,0.263066056,0.958522458,0.062426527,1.832741982,1.563202836,1.434922999,1.202033846,0.451223409,1.559953247,1.348661828,-0.804188267,-0.414141804,-0.206403976,,,,,,,,,,,,,,,,,,,,,,,,,
15.5,-0.011544801,0.970856633,-0.000791788,1.041010037,0.792872879,1.480215403,1.923632482,1.034855607,1.853842523,0.095979033,-0.463875542,0.622926515,0.328449319,0.722862938,0.880746116,0.787009224,-1.110172756,-0.356725619,1.402583808,0.020945957,1.188085192,0.532563787,1.593909924,0.466048805,-0.002241168,2.389283764,1.511495101,-0.184609677,-0.214959129,0.106769033,,,,,,,,,,,,,,,,,,,,,,,,,
