t_center,z_S_t__20170705_01_02_01,z_S_t__20170705_01_02_02,z_S_t__20170705_01_02_03,z_S_t__20170705_03_04_01,z_S_t__20170705_03_04_02,z_S_t__20170705_03_04_03,z_S_t__20170707_01_02_01,z_S_t__20170707_01_02_02,z_S_t__20170707_01_02_03,z_S_t__20170707_03_04_01,z_S_t__20170707_03_04_02,z_S_t__20170707_03_04_03,z_S_t__20170707_05_06_01,z_S_t__20170707_05_06_02,z_S_t__20170707_05_06_03,z_S_t__20170707_07_08_01,z_S_t__20170707_07_08_02,z_S_t__20170707_07_08_03,z_S_t__20170707_09_10_01,z_S_t__20170707_09_10_02,z_S_t__20170707_09_10_03,z_S_t__20170707_11_12_01,z_S_t__20170707_11_12_02,z_S_t__20170707_11_12_03,z_S_t__20170710_13_14_01,z_S_t__20170710_13_14_02,z_S_t__20170710_13_14_03,z_S_t__20170710_15_16_01,z_S_t__20170710_15_16_02,z_S_t__20170710_15_16_03,,,,,,,,,,,,,,,,,,,,,,,
3.5,2.067744423,2.144247351,2.143208964,0.793511557,0.57972542,1.987193161,0.947606502,0.659591743,1.927743978,0.85629872,0.457462998,0.480711874,1.194381387,1.815803079,1.471627841,1.970296806,0.842767019,1.969886504,2.579412645,1.582855993,2.76942779,1.348447369,1.921748321,0.164528695,-0.545051799,0.397239576,0.868674433,1.425398073,1.781706971,1.506811326,,,,,,,,,,,,,,,,,,,,,,,
4.5,2.102301728,1.480776689,1.805554003,0.775277261,0.073738928,2.040110563,0.90662281,0.684967434,1.918389659,1.377864148,-0.60863409,0.146555463,1.050688166,1.601509266,1.281362826,2.024826807,0.331183708,1.997596329,2.556892514,2.281709457,1.977842847,1.348590827,2.496069912,0.21433482,-1.11650641,0.573248831,0.906282465,1.273774713,1.577636605,1.91369426,,,,,,,,,,,,,,,,,,,,,,,
5.5,2.117302561,1.246248758,1.831513744,0.796113124,0.036377234,1.719388648,1.171123579,0.497240211,1.962728793,1.441503653,-0.905064499,0.202875168,1.00712312,1.145714539,1.097032234,2.015004357,-0.091765283,2.037031653,2.322554555,2.092292276,2.122026752,0.942607041,2.575327206,0.523011524,-0.398994169,0.714506349,1.704167259,1.642650594,1.037034285,1.66666794,,,,,,,,,,,,,,,,,,,,,,,
6.5,2.122156149,1.615411204,1.417144784,0.645220685,0.386881229,1.507482703,0.939715736,0.627548142,2.121593546,1.246518792,-0.713374827,0.466807497,0.974676674,0.744134451,0.801295331,1.013555678,-0.852241039,1.98620877,1.921146501,2.094735653,2.411295597,1.732993434,1.58800723,0.690285474,-0.908890222,1.057706095,2.014748409,1.553719777,1.439795283,1.685584059,,,,,,,,,,,,,,,,,,,,,,,
7.5,1.45588743,1.130129582,0.887180864,1.063306446,0.93832849,1.218582238,1.524517941,0.733750541,2.241078831,0.557724987,-0.113749828,2.104675969,1.336448133,0.486402697,0.561445413,0.611294269,0.20489382,1.342055665,1.266272585,2.049028503,2.229747437,1.273537657,0.880903657,1.04278627,-0.050570541,1.596037258,2.464456115,1.470711804,1.498929004,1.588319713,,,,,,,,,,,,,,,,,,,,,,,
8.5,0.364104665,1.262288437,0.981969724,1.363427093,0.624013981,1.195330949,1.996435183,0.511675517,1.923745723,1.411550468,0.227929562,2.28260927,1.516267211,0.338271558,0.514808992,0.986694527,0.998580734,1.355505795,1.27156827,2.167557011,1.093204833,1.637798823,-0.964694225,1.112750866,1.053032747,1.5900131,2.461823827,1.998837171,1.503337718,1.22605295,,,,,,,,,,,,,,,,,,,,,,,
9.5,0.858946758,1.172522509,0.957643096,1.340609756,1.031897153,0.514616637,2.089517364,0.531190309,1.569517985,0.528908222,1.363393367,2.230861511,1.39319627,0.018025536,0.963745138,0.577825729,1.571781962,0.061053919,0.487569924,1.864900322,0.938737852,0.362225956,-1.013719412,1.18148094,1.017131152,1.588230267,1.580227616,2.40090241,1.550647444,0.090920134,,,,,,,,,,,,,,,,,,,,,,,
10.5,1.086685069,1.335830509,0.965135197,1.385120411,1.16149589,1.049302991,1.936666708,0.716378178,1.066493616,-0.418062385,1.309132846,1.630960038,1.200812682,0.002213126,1.331231589,1.042675087,1.600592335,0.802563097,-0.132667229,1.786553883,0.630739391,0.724973001,-0.878917385,1.209651965,0.67618633,1.530700022,1.04563936,1.94370274,1.59895751,0.04036932,,,,,,,,,,,,,,,,,,,,,,,
11.5,1.18617337,1.283558342,0.476108135,1.556556484,0.957292569,0.788439153,2.099070638,0.432910821,0.711136435,-0.989562798,1.332021408,1.424797349,1.063551821,0.289364163,1.520035957,2.013919478,1.763707324,0.7954208,0.086500366,1.626666686,1.115705158,0.6977974,0.304598496,1.047708305,1.866085595,1.549482376,0.289299186,1.905462666,1.406856926,0.079531512,,,,,,,,,,,,,,,,,,,,,,,
12.5,0.576385311,0.659784561,1.170360199,1.535383806,0.505478846,1.380402598,2.165919337,0.659755031,0.531459548,0.03140677,1.856876481,0.904818626,-0.047430349,0.18445848,1.418254514,1.983654259,1.60351107,1.345268082,1.128403849,0.61184269,0.767070389,0.512867667,-0.203391129,1.115315008,1.2231467,1.821815654,0.837615989,1.501177177,0.879250138,0.080212565,,,,,,,,,,,,,,,,,,,,,,,
