t_center,z_S_t__20170705_01_02_01,z_S_t__20170705_01_02_02,z_S_t__20170705_01_02_03,z_S_t__20170705_03_04_01,z_S_t__20170705_03_04_02,z_S_t__20170705_03_04_03,z_S_t__20170707_01_02_01,z_S_t__20170707_01_02_02,z_S_t__20170707_01_02_03,z_S_t__20170707_03_04_01,z_S_t__20170707_03_04_02,z_S_t__20170707_03_04_03,z_S_t__20170707_05_06_01,z_S_t__20170707_05_06_02,z_S_t__20170707_05_06_03,z_S_t__20170707_07_08_01,z_S_t__20170707_07_08_02,z_S_t__20170707_07_08_03,z_S_t__20170707_09_10_01,z_S_t__20170707_09_10_02,z_S_t__20170707_09_10_03,z_S_t__20170707_11_12_01,z_S_t__20170707_11_12_02,z_S_t__20170707_11_12_03,z_S_t__20170710_13_14_01,z_S_t__20170710_13_14_02,z_S_t__20170710_13_14_03,z_S_t__20170710_15_16_01,z_S_t__20170710_15_16_02,z_S_t__20170710_15_16_03,,,,,,,,,,,,,,,,,
3.5,1.964732843,1.981889992,2.085279459,0.782738386,0.567251066,2.013536572,0.930788797,0.655020075,1.949737077,0.82792344,0.39845384,0.389737003,1.168175568,1.685446974,1.377541057,1.854493955,0.641552935,1.884102781,2.57713823,1.396086251,2.72822993,1.325422529,1.921748321,0.156213849,-0.6080427,0.337582791,0.863200725,1.385949778,1.780088274,1.480425055,,,,,,,,,,,,,,,,,
4.5,2.018853697,1.279884719,1.788667191,0.772379493,0.072998924,2.040110563,0.900594039,0.684527213,1.92045891,1.376225296,-0.649925984,0.093900818,0.972201444,1.537336549,1.258870808,1.893045666,0.094383018,1.856348951,2.542779145,2.216251737,1.911343141,1.342100471,2.496069912,0.21433482,-1.158395077,0.535624575,0.906282465,1.266921149,1.571653494,1.911787308,,,,,,,,,,,,,,,,,
5.5,2.017551447,1.18730585,1.834486916,0.795635226,0.036377234,1.719388648,1.171123579,0.494127285,1.962728793,1.437553087,-0.934526905,0.17061132,0.915814316,1.129716381,1.081854936,1.870946376,-0.323835257,1.895014467,2.330584766,2.051020176,2.126925612,0.942607041,2.575327206,0.523011524,-0.414668699,0.698658428,1.704167259,1.643434072,1.037034285,1.66666794,,,,,,,,,,,,,,,,,
6.5,1.975505768,1.580025678,1.407926999,0.627937815,0.386881229,1.507482703,0.94182955,0.626475978,2.121593546,1.241648799,-0.713935864,0.465473646,0.943640428,0.736434413,0.798406093,0.957917769,-1.092739543,1.857600926,1.922170801,2.080679251,2.397409699,1.732993434,1.58800723,0.68841436,-0.908890222,1.057706095,2.014748409,1.535661497,1.439795283,1.685520041,,,,,,,,,,,,,,,,,
7.5,1.307095958,1.124256891,0.887180864,1.058558156,0.93832849,1.15371343,1.524517941,0.73210442,2.24254572,0.557724987,-0.113749828,2.104675969,1.243692837,0.486402697,0.560841991,0.579258032,0.082408027,1.157452618,1.232957571,2.049028503,2.220132872,1.273537657,0.880903657,1.04278627,-0.050570541,1.596037258,2.464456115,1.470711804,1.501613191,1.588319713,,,,,,,,,,,,,,,,,
8.5,0.166936591,1.25492069,0.981969724,1.358364102,0.624013981,1.188371685,1.996435183,0.510482799,1.923930134,1.411550468,0.210030542,2.28260927,1.425400104,0.336369472,0.504743719,0.980544565,0.983854549,1.141311422,1.267725039,2.167557011,1.093204833,1.637798823,-0.964694225,1.111142942,1.053032747,1.5900131,2.453540894,1.998837171,1.503337718,1.211343046,,,,,,,,,,,,,,,,,
9.5,0.82297547,1.172522509,0.956615538,1.336470478,1.031192026,0.508893179,2.089517364,0.528361506,1.570627342,0.519551696,1.363393367,2.224597866,1.390272785,0.018025536,0.962958302,0.575486111,1.568516105,1.189245484,0.453931748,1.864900322,0.938737852,0.362225956,-1.01776837,1.18148094,1.017131152,1.588230267,1.471571538,2.394138631,1.548407833,-0.045574576,,,,,,,,,,,,,,,,,
10.5,1.075229946,1.335830509,0.960500945,1.384374312,1.159647216,1.053971414,1.935119612,0.716378178,1.068053272,-0.418062385,1.308926576,1.554911444,1.190197199,-0.017391348,1.329292723,1.042675087,1.600964492,0.599695595,-0.141186999,1.786553883,0.630739391,0.724973001,-0.957941793,1.209651965,0.672351243,1.530700022,1.041435882,1.941328817,1.541849937,-0.326760398,,,,,,,,,,,,,,,,,
11.5,1.178355756,1.283558342,0.476108135,1.556556484,0.898593433,0.788439153,2.099070638,0.406088746,0.711136435,-1.092973702,1.332021408,1.414773204,1.060788506,0.277187027,1.519067358,2.013919478,1.763707324,0.588472199,0.079283245,1.625181298,1.115705158,0.6977974,0.300276188,1.045463921,1.844893338,1.549482376,0.277172533,1.895270187,1.399466817,-0.187862132,,,,,,,,,,,,,,,,,
12.5,0.574369933,0.578997007,1.169320304,1.533370131,0.4965207,1.380986211,2.165919337,0.653594391,0.529271721,0.018533929,1.859971751,0.894611449,-0.12293355,0.178629043,1.414153052,1.983654259,1.60351107,1.210861635,1.125596186,0.61184269,0.767070389,0.512867667,-0.209858829,1.115315008,1.208631607,1.812719097,0.84015424,1.491527228,0.874853889,-0.410835233,,,,,,,,,,,,,,,,,
