t_center,z_S_t__20170706_01_02_01,z_S_t__20170706_01_02_02,z_S_t__20170706_01_02_03,z_S_t__20170706_03_04_01,z_S_t__20170706_03_04_02,z_S_t__20170706_03_04_03,z_S_t__20170706_05_06_01,z_S_t__20170706_05_06_02,z_S_t__20170706_05_06_03,z_S_t__20170706_11_12_01,z_S_t__20170706_11_12_02,z_S_t__20170706_11_12_03,z_S_t__20170710_01_02_01,z_S_t__20170710_01_02_02,z_S_t__20170710_01_02_03,z_S_t__20170710_07_08_01,z_S_t__20170710_07_08_02,z_S_t__20170710_07_08_03,z_S_t__20170714_01_02_01,z_S_t__20170714_01_02_02,z_S_t__20170714_01_02_03,z_S_t__20170714_03_04_01,z_S_t__20170714_03_04_02,z_S_t__20170714_03_04_03,z_S_t__20170714_05_06_01,z_S_t__20170714_05_06_02,z_S_t__20170714_05_06_03,z_S_t__20170714_07_08_01,z_S_t__20170714_07_08_02,z_S_t__20170714_07_08_03
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5,3.01797616,3.509791122,3.142257604,4.235974549,3.227148973,5.246151688,3.101902206,2.425762714,2.754084382,4.433971536,3.880910153,4.201512528,4.510340722,3.463007839,4.302133358,4.604512513,4.067305465,4.24213983,4.159279562,4.47660663,4.096055898,3.239473987,3.395219484,4.055027977,3.819776562,2.480954334,3.631862947,4.390422804,4.192258315,3.579845413
4.5,2.414265464,2.97776585,2.166030884,3.924708907,3.386641293,5.210286673,2.586227484,1.895708748,1.937069516,4.536956813,4.028585015,3.956556789,3.341589524,2.426082378,3.977208203,4.283797829,3.103448881,3.797084072,3.524333973,4.180404189,3.831675353,2.718923373,2.744091458,3.395372446,3.400853432,2.142106839,3.059148051,3.913343386,3.441874755,3.139990775
5.5,1.856422122,2.107520733,1.624533586,2.974281354,3.679875375,4.336819929,2.254289942,1.506316402,1.66117751,4.042893392,3.334092456,3.658313029,2.507206303,2.160131203,3.392040504,4.000708158,2.5184525,3.367464021,2.777330283,3.617227404,3.540985337,2.090012469,2.40050823,2.77151296,2.791095557,1.780438281,2.173929858,2.446059701,2.626783909,2.55058013
6.5,1.455852973,2.041722138,1.148771313,2.222424328,3.393588318,4.307062116,2.146409033,1.742275964,1.802674647,4.133185301,2.948093162,2.917067167,1.777170999,1.945300351,2.601872621,3.992846662,2.468099254,2.83143306,2.515133015,3.45989164,3.456454583,2.687237351,2.587539662,2.415557488,2.036109995,1.445918873,1.843835051,2.696788863,2.602315375,1.986133888
7.5,1.462001584,2.341268678,0.825256734,2.579253231,2.937317708,3.459132494,1.733805258,2.249052183,2.127324226,4.361279105,3.314299777,2.464861832,2.321971456,1.788457376,2.407935919,3.384368164,2.155946147,2.32719266,2.346514403,2.353263267,3.305499478,2.424890831,2.359893346,2.163856139,2.410119677,1.696034508,1.638644817,2.023112963,1.554899524,1.169724794
8.5,1.816302063,2.572073662,1.344062924,2.1629651,3.434815494,3.62458711,1.785210745,2.382878852,2.067883425,3.808484242,3.64010368,2.31544906,2.215724246,1.572886001,2.430230748,3.817208902,1.976034247,2.187418342,2.750947339,1.992064955,2.701281716,2.218411182,3.120326322,2.039025717,2.221078674,1.940034622,1.670922411,1.408644266,1.083654472,1.026846976
9.5,1.573120341,3.091535168,1.696945038,1.838214015,3.514138798,3.41566295,2.14142008,2.764335677,2.264490541,3.205811639,2.950857575,1.91354105,2.541356383,1.988622305,1.887204233,3.284092883,2.07259815,1.706574648,2.35287689,1.69866377,2.14877874,2.348367386,3.20843224,2.369742324,2.204029969,2.12152015,2.244908733,0.799428022,1.696905703,0.548119389
10.5,1.699701366,3.661869088,1.232660562,1.700787132,2.704766047,3.122781222,1.92066394,2.830274004,2.434190253,3.018622743,3.112145438,1.384410904,2.755254623,2.039634731,2.113405392,2.706238904,2.422082137,1.978709303,2.213357064,1.922952453,2.182490716,2.167117035,3.377841609,2.501417448,2.36457856,1.993063344,2.841541688,1.458287695,2.020645515,0.49116547
11.5,1.326187469,3.362177785,1.440852773,1.521411071,2.392736152,3.035652091,2.21362127,2.362985147,1.801842869,2.410373669,3.212880592,1.099919398,3.029020054,1.610274688,2.231080927,1.626155391,0.310370779,1.561944422,2.182262441,1.46863225,1.818592006,2.293100835,3.097139526,2.858083447,2.916606395,2.310218557,3.051606884,1.017584742,1.695557458,0.107486346
12.5,2.060559556,2.983220499,1.228331181,1.089299701,3.116827809,3.444903545,2.184948847,2.403781028,2.187147165,2.119110913,2.947865687,1.3413461,2.402040526,1.152335237,1.875472831,0.181107236,-0.331246044,2.008934995,1.568932343,1.406919033,1.536449611,1.841069581,3.496533858,2.955298564,2.867095326,2.857945366,3.136631663,1.000468028,2.107396123,-0.238316615
13.5,1.364563612,1.690982209,0.328095058,1.349487115,2.906324486,1.932376183,2.39065972,2.358681496,2.428925442,2.343328335,1.926555468,0.977925955,1.799436509,1.215260285,1.996825714,-1.046221042,-0.298986695,1.02959268,0.592104348,1.302890522,1.789162077,2.188505099,2.136471586,2.648664362,3.019013316,3.091677419,2.916595165,1.126736028,3.067550591,-0.493940627
14.5,1.77643845,0.990561155,0.023819632,1.154149805,2.005202179,1.454191114,2.007777409,1.929445949,2.130743537,2.743185635,1.621470636,-0.264026375,1.663882187,1.186236758,2.491578152,-0.925948077,-0.297920258,1.404699666,0.041080712,0.546910703,2.106811934,1.798969725,2.216701615,2.363164609,2.884078023,2.563445586,2.808409675,1.715285129,2.180196608,-0.322318396
15.5,1.120937189,0.785580125,-0.449144015,0.455764315,2.238604353,2.423261404,2.670125715,2.062778692,2.378132286,2.916938213,0.307667253,0.263595275,1.254161948,1.755134147,2.007986848,-0.938546104,0.603771611,0.88940409,0.04998671,-0.549902188,0.353008213,1.286237311,1.653075551,2.050792801,2.200529706,2.952140733,2.012617014,0.634129914,2.030643474,-1.011647375
16.5,1.144009984,0.657798533,-1.008448863,0.440486111,1.837340394,0.982228511,1.968310399,2.5978068,2.446942486,2.619279785,-0.499689642,0.610551435,0.728859249,1.83808316,1.583411232,-0.902790102,0.981297608,0.647132101,0.292682148,-0.505529729,0.060388455,-0.614038041,1.612118686,1.576833325,1.29839937,2.979031388,1.890179166,-0.617765878,1.330785288,-0.800152385
17.5,1.12642813,1.168224082,-0.155415833,0.261447508,0.492015214,0.1376389,1.824464283,2.150101048,2.076311081,2.209474019,-0.415513811,0.440995969,-0.021934334,2.28976019,1.469816517,-0.799128745,1.148870578,0.332379845,-0.173706608,-1.471665375,-0.563326367,-0.41722975,0.784867482,1.939873724,0.435091154,2.358640183,1.963691915,0.884226257,0.850108356,-0.774215339
18.5,1.345556925,0.841112398,0.186321738,1.328678818,-0.310368405,-0.103757411,1.828458681,1.727335164,2.359824065,2.496362331,-0.376851011,2.440147969,-0.337306422,2.532117922,1.556699325,-0.733239614,1.226561794,1.558171155,0.388433556,-1.22892718,-0.7933965,-1.319040638,0.053007357,1.560516418,-0.185857663,2.249030015,2.17156235,1.713182307,0.032880611,-0.004504981
19.5,1.375710473,0.494865323,0.067036721,0.18979206,-0.500706426,-0.010123161,1.712044645,1.394863625,2.264838552,1.241678027,-0.130350263,1.786219352,-0.990170313,2.61846199,1.331790606,-0.698403132,1.28483271,1.245687895,1.681846522,-0.216608755,-1.427729084,-1.191441522,-0.772388363,1.817916642,-0.587599545,1.723855714,1.982672719,2.614081963,-0.182570493,-0.401449689
20.5,0.186399363,0.566578545,-0.035668447,0.170057489,-0.688509439,-0.496970081,1.219188938,0.711393118,1.974063319,1.737596338,0.00606278,1.81169187,-0.804542604,1.498611747,1.369182605,-0.616849928,0.471042123,0.571504668,1.41789909,0.114763258,-1.337633953,-1.12434925,-0.889828606,2.266474716,-1.13302927,1.12579522,1.912694354,3.058891788,-1.166264501,-0.515570003
21.5,-0.32301568,0.366471685,-0.039410553,0.749781083,-0.026582249,-0.9633895,0.971653922,-0.132833511,2.048650952,1.356464676,1.168089229,1.607100959,-0.325327694,1.423051794,0.971341986,-0.560932966,0.26568875,1.046429218,1.226867155,1.067259062,-1.524604408,-1.172041436,-0.864432618,1.339218776,-0.936702643,0.463382509,2.54654601,3.839511723,-1.191064328,0.702579244
22.5,-0.246175175,-0.710486489,-0.100562374,0.904945471,1.195888708,-0.813650276,0.895745642,-0.29281743,1.788727802,1.383371087,0.314991632,1.483779507,-0.177556661,1.3323697,1.162695467,-0.686467368,0.50047925,0.972314087,0.888872847,1.499412848,-1.45367309,-1.317074278,-0.123932106,0.877286843,-0.946185604,0.587428706,1.897467188,3.785106239,-0.31826529,0.683379434
23.5,-0.287027339,-0.140344569,-0.413716612,1.186437673,0.454573684,-0.962771142,0.638450748,-0.129802627,1.154018707,-1.011165471,0.227124632,0.446821527,0.367844215,0.536839502,0.144405505,-0.861973542,0.275577175,-0.170854299,0.257355034,0.72888815,-1.69571119,-1.256157618,0.540015659,1.347269356,-0.761924737,0.849100883,2.243671855,3.198052749,0.781937497,0.020945897
24.5,-0.110873378,0.160657738,-0.476163871,1.292820958,1.24008575,-1.649845733,0.254937761,-0.707256141,1.740701153,0.112269716,-0.063245671,0.425511976,0.846837907,0.296620902,-0.481529619,0.187308722,-1.114264901,-1.115543363,-0.9987596,0.589622867,-1.74850705,-0.82400959,0.639340868,1.310237536,-0.583004799,0.330455441,1.32727876,2.018746176,1.53620466,0.231740828
25.5,0.027624798,0.056420666,-0.2173486,1.243772669,2.407880324,-1.68974589,-0.244488304,0.663002873,1.84243438,1.243446499,-0.256506938,-0.2630475,-0.025406433,-0.099498982,-0.694357779,0.106352703,-1.290913145,-0.910776215,-1.503464095,1.394625357,-1.71949303,-0.186631518,0.841180831,0.539795621,0.090661599,0.329507351,1.028479854,1.220037862,1.792783333,0.927624299
26.5,-0.323838162,-0.064585986,1.307132552,1.272569891,1.930909795,-1.741918969,-1.122689157,0.478480087,1.907688032,1.88963158,-1.12615693,-0.146637687,-0.605280371,0.230636312,-0.319084162,0.674699454,-1.292884238,-0.989587927,-1.461176405,1.517940408,-1.745538809,0.040910081,0.368397012,-0.073242358,-0.067030048,0.437924481,-0.033768754,0.116691013,2.017714151,1.199628449
27.5,0.297884301,-0.049178415,1.305638877,0.16293587,1.212996212,-1.114027986,-1.235502901,-0.041614486,1.86978521,1.533991159,-1.045117964,-1.032487176,0.11573586,0.221973528,-0.283083427,1.411517535,-1.32261986,-1.188319799,-1.613096184,1.176660938,-1.755812044,0.322247307,-0.420040281,1.200177091,0.580775783,-0.4474986,-0.526257404,-0.994633817,2.152758944,0.171968465
28.5,-0.833056362,-0.720148476,0.973468948,-1.273779036,2.419215709,-0.99826053,-0.659350084,0.024887097,1.876140623,1.802736805,-0.167663109,-0.925030373,-0.970020615,0.098063375,-1.215947518,1.435745432,0.804770431,-1.148638693,-1.54322228,1.32471968,-0.909424923,0.63019148,-1.290639732,0.350921613,0.994743832,-1.389619766,-1.781950471,-0.863245937,1.113677617,0.667262519
29.5,-0.776857623,-0.470876065,0.719990184,-0.392753359,2.023993201,-0.235493423,-0.618318447,0.107477585,1.426982987,0.714900158,-0.207585293,-0.1690607,-0.093267878,-0.31969352,-1.225409643,0.719813201,1.393873234,-1.236341104,-1.480879147,1.198785871,-0.007714714,-0.25703524,-1.243342858,0.195595372,0.749782072,-1.258813141,-1.685321335,-0.730485302,-0.095900382,0.658409308
30.5,-0.736619623,-1.178712997,0.814906672,-0.096435587,1.868863034,-0.227997332,-0.64130312,0.735712752,2.124920031,-0.138386924,-0.314744012,-0.060193045,-0.245468349,0.828429291,-1.582768474,0.811028145,1.318543979,-1.369573048,-1.25559402,0.828007935,-0.12823892,-1.219585863,-1.478337405,0.062736276,-0.232615064,-1.131341988,-1.554051285,-0.864709604,-0.066019609,0.504238255
31.5,-0.441520807,-0.881832796,0.132034242,0.895958468,1.176597318,0.083288576,-0.325492195,0.249523291,1.367138048,-0.985744302,-0.306235359,-0.150189076,-0.307428499,-0.262316414,-1.754570823,0.088423041,1.406230722,-1.396750338,-1.073793376,-0.072391856,-0.215037175,-1.30207657,-1.566598053,0.95124524,-0.225868246,-0.925894937,-1.696459306,-0.670463532,-1.009297831,-0.170777653
32.5,-1.196916545,0.509272808,-0.485683653,0.415970923,0.929792025,0.156596542,0.095037105,0.722731655,0.245476979,-0.945500772,0.237364156,-0.22764051,-0.625144993,0.618336448,-1.234732333,-0.866842262,1.449157234,-1.378718296,-1.197621591,-0.268866268,0.417325217,-1.286150992,-0.821273787,-0.087583812,-0.567435387,-0.895045511,-1.586021499,-0.845818907,-1.012783432,0.192563075
33.5,-1.095253824,1.636129612,0.35469141,0.145395024,-0.557297466,0.649007535,-0.615799236,0.078075974,0.632967556,-0.803186802,-0.543550492,-0.388182454,-0.263130351,0.072297789,-0.549457332,-0.769935855,0.192775986,-1.285211495,-1.606256814,-0.456317774,-0.149985123,-1.234967358,-0.980436096,-0.298957607,-0.574885907,-0.90127315,-0.677327413,-1.01506923,-0.841449104,-0.561422743
34.5,-1.103110065,0.920829528,0.585635241,-0.747023413,-0.614682363,-0.1411738,-0.172710975,0.111730559,0.936121672,-0.74781629,-0.184443523,-1.323577955,-1.194349729,0.001023459,-0.693566809,-0.573885681,-0.571397289,-1.205332721,-0.763267938,-1.013139464,-0.126777587,-1.268774549,-1.05454997,0.543591698,-1.454119576,-1.156017851,-0.872655359,-1.224852628,-0.56173594,-0.880383537
