t_center,z_S_t__20170706_01_02_01,z_S_t__20170706_01_02_02,z_S_t__20170706_01_02_03,z_S_t__20170706_03_04_01,z_S_t__20170706_03_04_02,z_S_t__20170706_03_04_03,z_S_t__20170706_05_06_01,z_S_t__20170706_05_06_02,z_S_t__20170706_05_06_03,z_S_t__20170706_11_12_01,z_S_t__20170706_11_12_02,z_S_t__20170706_11_12_03,z_S_t__20170710_01_02_01,z_S_t__20170710_01_02_02,z_S_t__20170710_01_02_03,z_S_t__20170710_07_08_01,z_S_t__20170710_07_08_02,z_S_t__20170710_07_08_03,z_S_t__20170714_01_02_01,z_S_t__20170714_01_02_02,z_S_t__20170714_01_02_03,z_S_t__20170714_03_04_01,z_S_t__20170714_03_04_02,z_S_t__20170714_03_04_03,z_S_t__20170714_05_06_01,z_S_t__20170714_05_06_02,z_S_t__20170714_05_06_03,z_S_t__20170714_07_08_01,z_S_t__20170714_07_08_02,z_S_t__20170714_07_08_03,
3.5,2.220823422,2.037027965,1.86127312,2.481562616,1.75323354,3.349941708,1.778834318,1.200699222,1.423295509,2.699272949,2.481231731,2.664131657,3.225894072,2.161393602,3.20678526,3.082051277,2.312026567,2.694790529,2.58559838,2.695264712,2.595221766,2.602227196,1.570692027,2.745059345,2.651912571,0.992664666,2.259664517,2.941631722,2.661203861,2.073859745,
4.5,2.206347422,1.451698794,1.462364564,2.15975829,1.671058252,3.514795469,1.72594807,0.580727356,0.636978319,2.956864174,2.553199046,2.480790892,2.748284196,0.928808777,2.670859421,2.844777951,1.517789508,2.237413576,2.810622002,2.546142625,2.401892923,2.620935872,0.886441643,2.222707698,2.127659632,0.539312334,1.628782321,2.535822086,1.908451682,1.648537968,
5.5,1.516953089,0.564471745,0.750041763,1.548577941,1.688053633,2.604849053,1.335341065,0.284287039,0.153144915,2.503415193,2.066241866,2.267461484,1.639214503,0.691828221,2.752240044,2.486268572,1.082977902,1.836782625,1.93671429,2.072437472,2.242290972,1.762169111,0.855882467,1.577097351,1.396888895,0.179456357,0.697073752,1.0977314,1.846366401,1.214657081,
6.5,1.09448189,0.717651721,0.348646793,0.790849253,1.671394089,2.545633668,1.329295597,0.495205727,0.178188454,2.543676481,1.710891063,2.172613189,1.317186787,0.454570671,1.61873192,2.490327906,1.099388089,1.396956405,2.188776477,1.937261684,2.162172466,2.367295682,0.971853886,1.788593833,0.621225815,0.358980835,0.273403002,1.261592347,1.777538402,0.696495941,
7.5,1.223897822,0.902381019,-0.228182709,0.975104949,1.875169216,2.236953356,0.997872138,1.015713851,0.530705816,2.718244755,2.036272517,1.802253532,1.735004414,0.241846341,1.967631089,2.029116485,0.748300076,0.938590044,1.792073493,1.78829185,1.98337354,2.612645673,0.617202063,1.57137433,0.883401567,0.722534268,0.070481448,0.502991321,0.619883654,-0.196119359,
8.5,1.048152186,1.171472449,0.177668298,1.091154875,2.544058398,2.546209849,0.914886779,0.99759381,0.376842798,2.802862627,2.120610786,1.633280278,1.557005939,0.462745771,2.397957612,2.390475058,0.57657813,0.821794908,2.106580886,1.496657407,1.875105404,1.795827672,1.412148285,1.422665563,0.654167431,1.176460075,0.144325505,0.443925347,0.221050676,0.290358524,
9.5,0.194927378,1.569710194,0.147690678,0.805177719,2.588800344,2.09948047,0.759314022,1.363922694,0.692393653,2.869354423,2.079805098,1.217005818,1.308035116,1.064302209,1.789176264,1.829579139,0.721623611,0.411549421,1.736990643,1.286225198,1.906712941,1.759995453,1.389374998,1.545794503,0.699819984,1.378165576,0.567987874,-0.02241675,0.894091192,0.361765093,
10.5,0.172986141,2.385049602,-0.296488659,0.634791383,1.69787268,1.836095281,0.668690355,1.926503295,0.926671695,2.773227986,2.176405515,1.208471118,1.445787281,1.095015607,1.425484075,1.356272987,0.980332487,0.610016943,2.174418476,1.459797289,1.781317888,1.808480661,1.57648153,2.451360549,0.982736498,1.196394924,1.217862676,0.54031642,0.568380697,0.699426796,
11.5,-0.255118879,1.919350219,0.250724418,0.70505855,1.239776013,1.749512684,0.854784043,1.483189752,1.008709808,2.265808036,2.172939364,1.104778317,1.355850806,1.23995279,1.945114946,0.520233616,-0.01110385,0.656225021,1.697969274,1.52335782,1.396591532,1.920119845,1.258193925,2.297750302,1.664453713,0.926195726,1.378606265,0.287526753,0.358644432,0.672179744,
12.5,0.197263138,1.893250597,0.799740621,0.425234085,1.449928514,2.203386522,0.842413193,1.615911955,1.277316708,1.901714673,2.067347458,1.417133324,0.705478595,0.700233062,1.624956197,-0.534594824,0.221483567,1.049194186,1.444779682,0.591550367,1.134117239,0.793138738,1.830762781,2.277459788,1.54565544,1.580955079,1.567041318,0.875843925,0.716692695,0.616322605,
13.5,0.125110111,1.139361189,0.218038923,0.613875857,1.3794683,0.892000781,1.028801304,1.585681784,1.562695476,1.497333268,1.755568583,1.831049949,0.783617884,0.867171581,1.142770946,-1.464547689,0.135435308,0.384864033,0.834619387,0.419807124,0.907004633,1.340343772,0.610377647,1.953242137,1.649341703,1.742482642,1.415646287,0.650008008,1.472234757,0.339549455,
14.5,0.709563106,0.948399891,0.041936451,0.635548314,0.649205349,0.446256284,1.238088296,1.543373258,1.213448598,1.400277005,1.445281869,1.273127325,0.770105799,0.653158171,1.830608834,-1.361851016,0.129991871,0.824480782,0.345780601,0.108678438,0.561979327,0.278682357,0.7820326,2.052037664,1.571461173,1.915380827,1.490304399,1.474183962,0.763049654,0.120448062,
15.5,0.264927923,0.623534809,0.155367016,0.658975352,0.933066606,1.580964216,1.708308899,1.119792051,1.356309054,1.411267676,0.523188574,1.522692399,0.448663341,1.234025553,1.699888957,-1.397177329,0.931553329,1.268865154,-0.442961165,-0.326833329,0.606792588,0.633562607,0.412278222,1.014651772,1.449327471,2.3239249,1.411866014,0.9900997,0.634519159,-0.961755943,
16.5,0.333577688,0.863989728,-1.060772295,0.516316591,0.449821672,0.862054738,1.48016737,1.763283336,0.939129379,1.113209092,0.386219473,0.982598889,-0.147301604,1.209302976,1.443892823,-1.364700616,0.87086779,0.360759876,-0.066970835,-0.662527495,0.538517724,-0.935646817,1.070810332,0.594423832,0.897469229,2.353981643,1.86343632,0.449196254,0.650033886,-1.413205705,
17.5,0.495958367,0.865353546,-0.919489052,0.426707228,-0.701306105,0.751499512,1.878082779,1.76360392,0.524945975,0.788598374,0.500776713,0.701140764,0.302249327,1.748203014,1.451767088,-1.185862979,0.367948792,-0.023823043,-0.295307012,-1.507902669,0.443230289,-0.649928682,0.822522134,0.95645188,0.818585063,1.596883958,1.769066505,1.489528854,0.331802035,-0.430137785,
18.5,-0.018713819,0.608010959,-0.134830411,0.729037016,-1.396772192,1.292751375,2.43249895,1.470453023,0.760312087,1.119589674,0.67766788,1.310535274,-0.393173201,1.443857142,1.307016035,-1.067711529,0.331086499,0.748735338,0.088391421,-0.630787731,0.703845162,-0.622925559,0.848626563,0.559957785,0.087556039,1.433390021,2.062019545,1.656661608,0.004984522,0.006985909,
19.5,0.626307088,1.0107993,0.169245946,-0.286035316,-0.892046539,1.830835758,2.204068944,1.114383302,1.317178999,0.031985872,0.459480981,1.427000964,-0.001965553,1.652821521,0.992480982,-0.986466519,0.405472731,0.365489699,0.686545013,-0.210343713,0.749571437,-0.421443472,0.08217438,0.788789992,0.132105649,0.971041815,1.966039711,1.99082444,-0.355487644,0.043760462,
20.5,0.322407238,1.196529862,0.682644985,-0.364741326,-0.48724475,1.390374596,1.77051677,1.422818555,0.960812824,0.606488612,0.988269424,1.237069875,0.244707116,1.155698526,1.323208551,-0.863249385,-0.261750953,-0.142512748,0.339132465,-0.545486312,0.240689929,-0.260627665,-0.26675301,1.247468565,-0.301739546,0.945891148,1.781308185,2.239829963,-1.10227255,0.648183268,
21.5,0.265737226,1.439707476,1.285329186,0.821684082,0.013810124,1.418861325,1.324395323,0.75174394,1.646259319,0.260195142,1.04243204,2.040383634,1.187771995,1.106620754,1.047172976,-0.795398239,-0.453701672,0.426291734,-0.052387201,0.432848791,0.547030186,-0.02323208,-0.924261212,0.692856752,-0.387897875,0.932796748,1.759592627,2.648431856,-1.033348783,1.394131715,
22.5,0.47276572,1.411258453,1.101056292,1.019209098,0.943549391,-0.013569384,0.840653994,0.543606575,1.63877013,1.621137056,0.534366351,1.966029757,0.244773685,1.438526704,1.211068897,-1.087407949,-0.347998557,0.661149518,0.022037966,1.494989901,-0.112111322,0.173208551,-0.760081517,0.570423666,0.113429444,1.191868022,1.170589988,2.013267776,0.286623295,1.41768133,
23.5,0.586311816,1.757457102,0.899679439,1.067529961,0.250472501,-0.006679765,0.256138041,0.490183889,1.137427757,1.132218963,-0.575292742,1.925203705,0.732557895,1.220908873,1.207802858,-1.266701313,-0.604939997,0.629600688,0.55915319,0.735229509,-0.122636699,0.187801405,-0.731035932,1.192476667,0.34014684,1.700934581,1.425891721,1.656401165,0.741304642,0.956072745,
24.5,0.769434265,1.700650263,0.674149156,1.864243688,0.226477603,-0.808360545,-0.019959368,0.136337044,1.012718809,1.256839259,0.023052828,1.293216487,-0.042471806,1.98180309,1.708687714,-0.590607653,-1.779315507,0.363185296,0.08776729,1.193595986,-0.270273567,0.114906938,-0.015799911,0.033211363,0.248394601,1.449578527,1.484659619,1.522036632,1.404243419,0.547290646,
25.5,1.222464256,1.437999971,1.158587337,2.171950187,0.68492712,-0.190179806,-0.314471367,0.163333563,1.629045252,2.031035294,0.366470109,0.849393813,-0.051324193,1.807935991,1.534972034,0.113899064,-2.052849625,0.200052995,0.113061636,1.477859891,-0.589271081,-0.30820724,0.273835097,-0.444948442,0.235576887,1.401887438,0.757564349,1.056616841,2.0284219,0.892571246,
26.5,1.567015167,0.69646478,1.508036051,2.237368185,1.175599834,-0.277233968,0.048557464,-0.092264936,1.027492008,2.264590338,0.356243329,0.497994166,-1.082018983,1.907434788,1.578250558,1.009108647,-1.044766666,-0.426855266,0.746981476,1.456753011,-1.250101825,0.064237403,-0.028769885,-0.170677934,-0.023619045,1.71855555,0.713153341,0.178276776,1.863727901,1.203044379,
27.5,1.423238849,0.614827863,1.346037312,1.649711986,0.64327274,0.914398234,0.262674365,0.198286448,0.925872277,1.834567983,0.551852386,0.072561026,0.248351557,2.080526763,1.703736846,1.48435749,-1.049253333,0.401423913,0.554529648,1.178330337,-0.934302109,-0.360967865,-0.60159409,0.624203379,-0.478503917,0.873854983,0.876803035,-0.312310264,1.433077364,-0.85066811,
