t_center,z_S_t__20170706_01_02_01,z_S_t__20170706_01_02_02,z_S_t__20170706_01_02_03,z_S_t__20170706_03_04_01,z_S_t__20170706_03_04_02,z_S_t__20170706_03_04_03,z_S_t__20170706_05_06_01,z_S_t__20170706_05_06_02,z_S_t__20170706_05_06_03,z_S_t__20170706_11_12_01,z_S_t__20170706_11_12_02,z_S_t__20170706_11_12_03,z_S_t__20170710_01_02_01,z_S_t__20170710_01_02_02,z_S_t__20170710_01_02_03,z_S_t__20170710_07_08_01,z_S_t__20170710_07_08_02,z_S_t__20170710_07_08_03,z_S_t__20170714_01_02_01,z_S_t__20170714_01_02_02,z_S_t__20170714_01_02_03,z_S_t__20170714_03_04_01,z_S_t__20170714_03_04_02,z_S_t__20170714_03_04_03,z_S_t__20170714_05_06_01,z_S_t__20170714_05_06_02,z_S_t__20170714_05_06_03,z_S_t__20170714_07_08_01,z_S_t__20170714_07_08_02,z_S_t__20170714_07_08_03,,,,,,,,,,,
3.5,1.234614888,0.894869734,0.802928659,1.467737515,0.761518123,2.441186748,1.852654496,1.077170468,1.414443735,1.986787749,1.693490737,1.903023583,2.555631638,1.661335153,2.975011972,2.31502685,1.57870341,1.872640874,1.840501304,2.063716163,1.749595429,1.778522396,1.292833026,2.019959876,1.71741048,-0.023067367,1.442585694,2.24143146,1.687276068,1.152350058,,,,,,,,,,,
4.5,1.41408485,0.328216258,1.363202029,1.069465017,0.776241925,2.659167865,1.814794236,0.984932973,1.095212693,2.261235434,1.652285846,1.846371265,2.18306395,0.164714409,2.273085204,2.115323153,1.619016676,1.515078611,2.213144912,1.973414089,1.668687505,1.744889426,1.29311778,1.57638745,1.296216576,-0.588437748,0.710826625,1.927286871,0.916069695,0.831189476,,,,,,,,,,,
5.5,0.509980056,0.113979482,1.359385357,0.576857541,0.786673918,2.669348494,1.848127467,1.25646163,1.00403678,2.580149558,1.877043465,1.706216054,1.617031055,-0.12998577,2.354918184,1.842727491,1.226430281,1.189960012,1.276508149,1.455849118,1.5280271,1.016328334,1.913602774,0.877983414,0.458068717,-0.983914999,-0.354219514,1.272834621,0.996137829,0.375949772,,,,,,,,,,,
6.5,0.041853426,0.985632958,0.985927471,-0.247943129,0.952639439,2.731663571,1.876044048,1.47679121,0.952223537,2.761680499,1.573775773,1.655272499,1.275103943,-0.200961056,1.705487057,1.847833042,1.272269931,0.836430455,1.576044119,1.314543301,1.48483313,1.670236362,2.213883909,1.08795204,-0.441687428,-0.907388483,-0.807985737,1.354687377,0.994238239,-0.174349536,,,,,,,,,,,
7.5,0.055743871,1.248639673,0.990173889,0.036147446,1.436088785,2.351673595,1.434175579,1.566129199,1.354053454,3.016137229,1.790217052,1.214747728,1.668524205,-0.454340684,2.096549041,1.48273877,0.904313434,0.558307727,1.224211517,1.207324292,1.325232277,1.997035886,1.897087773,1.52114149,-0.143796002,-0.4037108,-0.98846533,0.438693761,-0.317695061,-1.129585861,,,,,,,,,,,
8.5,-0.205243704,1.805303581,1.577785165,0.198100025,2.229135672,2.941028414,1.353024572,1.472700671,0.713648979,3.202021472,1.944393088,1.043731801,1.561760052,-0.194194141,2.420110576,1.766304582,0.634469451,0.436088472,1.693250198,1.426520587,1.346044551,1.179845839,2.313198469,1.198915201,-0.46064838,0.059388186,-0.897903054,0.225730244,-0.814173631,-0.657307945,,,,,,,,,,,
9.5,-1.048938416,2.604836878,0.492042744,0.64458799,2.292952442,2.540282371,1.178057888,1.330419618,0.522898209,3.076630106,2.025867286,0.572225866,1.838705291,1.107495576,2.21785321,1.195724711,0.294802335,0.006242225,1.35752838,1.174235182,1.402506614,1.107099722,1.473289948,1.489668669,-0.340069862,0.278342511,-0.465440583,0.059419456,-0.033186763,-0.646091458,,,,,,,,,,,
10.5,-1.095819214,2.997235523,0.002946432,0.350843514,1.179264839,2.255152589,1.036489824,1.365507348,0.095645201,2.450314206,1.628655434,0.526404265,1.46595305,1.087502396,1.912716905,0.677130905,0.472241874,0.183735484,1.850076366,1.342099401,1.349246709,1.184461136,0.991582343,2.531223983,-0.054007149,0.028155444,0.172182193,-0.000624447,-0.685990897,-0.343746047,,,,,,,,,,,
11.5,-0.861343361,1.456985388,0.578445111,0.49530621,0.466945284,2.158185581,1.179154201,0.777028839,0.236818977,2.535227971,1.705959323,0.36991364,1.436345549,1.189224117,1.88118792,-0.051216797,-0.536311284,0.167744211,1.142562013,1.381913552,0.961943277,1.264467357,0.381221328,2.354462924,0.817527133,-0.232691619,0.288814898,-0.208685689,-0.936344951,-0.467966977,,,,,,,,,,,
12.5,-0.44886344,1.351150576,0.551439074,0.130242319,0.538950353,2.554213779,1.383516392,1.532391842,0.563257101,2.101032345,1.546168294,0.576763941,0.76145613,1.413966385,1.614165205,-0.922449822,-0.459291881,0.375299412,1.520759124,1.052347765,0.810468837,-0.071801302,0.991220266,1.707642197,0.54487074,0.41464254,0.487117392,0.53577847,-0.407304046,-0.595433791,,,,,,,,,,,
13.5,-0.508138013,0.254816318,-0.136216127,0.30376314,0.442574303,1.126077698,1.001070293,1.41884074,0.849702159,1.667819845,1.115014481,0.909711847,0.914866141,1.630327979,1.086372314,-1.782565521,-0.452855041,-0.22189225,0.959017475,0.950195986,0.58025819,0.437927503,-0.569423599,1.45172248,0.796358464,0.605000123,0.232101873,0.532725487,0.587415478,-0.688575215,,,,,,,,,,,
14.5,0.21546467,-0.037974403,-0.191436279,-0.364094729,-0.35746296,0.785871761,1.180705633,1.428814358,1.028496085,1.456063881,0.658781347,0.405700525,0.074417663,0.661031306,1.131645048,-1.683300198,-0.442647525,0.245776164,0.452411673,1.214255877,0.16653561,0.055325843,-0.311935601,1.521102052,1.537796788,0.936665668,0.356706746,0.926824723,-0.146839806,-0.692681449,,,,,,,,,,,
15.5,-0.35496785,-0.733929689,-0.711716993,-0.35844547,0.014142673,1.120752067,1.101817574,0.93695933,1.132796945,2.137945305,0.316143915,0.682475177,-0.320913856,1.284516635,1.081417115,-1.71388646,0.396708967,0.607353697,-0.624856467,1.254101821,0.206102667,0.521547465,-0.638151844,0.352990475,1.268752366,1.288796863,0.462950055,0.513710143,-0.346080313,-1.125643634,,,,,,,,,,,
16.5,-0.138335017,-0.138509732,-1.270905462,-0.466796515,-0.529221116,0.45641536,0.821114932,1.899863159,0.804144384,1.735857929,0.180460559,0.214336157,-0.409311218,1.197155959,0.632396367,-1.707125955,0.391936349,0.363588585,-0.007330501,1.089644873,0.09875377,-0.249206724,0.182794568,-0.200830785,0.598871468,1.292662983,1.087086976,0.108245902,-0.399376129,-1.251419555,,,,,,,,,,,
17.5,0.182620956,-0.40921651,-1.078374667,-0.590002761,-2.098598025,0.298573768,1.286287041,1.24365397,0.330733064,1.878232207,0.31386651,0.019639633,-0.033168001,1.148862232,0.773376958,-0.251129753,-0.054428435,0.19774482,-1.184643938,-0.028688554,0.44777567,0.029252147,-0.292775815,0.177330222,0.498051172,0.517796201,1.042918434,1.058603265,-0.692309164,-0.163100372,,,,,,,,,,,
18.5,-0.356888441,-0.829302797,-0.438746069,-0.205249387,-2.796457864,0.816591948,1.850478627,1.558241708,0.715069649,2.274467178,0.59199558,0.597950966,-0.834046462,0.711093249,0.594084587,-0.245368637,0.631163675,0.75839269,-0.869448642,0.048348052,0.809228284,0.850127313,-0.097973202,-0.473611039,0.53911269,0.309769101,1.397728783,1.104571908,-0.894352606,0.082604979,,,,,,,,,,,
