t_center,z_S_t__20170706_01_02_01,z_S_t__20170706_01_02_02,z_S_t__20170706_01_02_03,z_S_t__20170706_03_04_01,z_S_t__20170706_03_04_02,z_S_t__20170706_03_04_03,z_S_t__20170706_05_06_01,z_S_t__20170706_05_06_02,z_S_t__20170706_05_06_03,z_S_t__20170706_11_12_01,z_S_t__20170706_11_12_02,z_S_t__20170706_11_12_03,z_S_t__20170710_01_02_01,z_S_t__20170710_01_02_02,z_S_t__20170710_01_02_03,z_S_t__20170710_07_08_01,z_S_t__20170710_07_08_02,z_S_t__20170710_07_08_03,z_S_t__20170714_01_02_01,z_S_t__20170714_01_02_02,z_S_t__20170714_01_02_03,z_S_t__20170714_03_04_01,z_S_t__20170714_03_04_02,z_S_t__20170714_03_04_03,z_S_t__20170714_05_06_01,z_S_t__20170714_05_06_02,z_S_t__20170714_05_06_03,z_S_t__20170714_07_08_01,z_S_t__20170714_07_08_02,z_S_t__20170714_07_08_03,,,,,,,,,,,,,,,,,,,,,,
3.5,0.579914196,-0.451676917,-0.438417719,0.640810518,-0.019707697,2.098819244,1.580176645,0.407997441,1.114433888,1.752011184,1.17703375,1.350235586,2.64695308,1.183182045,2.795424785,1.568184394,1.177053067,1.315158513,1.677339324,1.631278064,1.036506591,1.497118518,0.788853935,1.822831302,0.865485589,-0.868568168,0.667980915,2.011555718,0.808526193,0.523369343,,,,,,,,,,,,,,,,,,,,,,
4.5,0.905554048,-1.100366588,0.786616806,-0.150621236,0.263180016,2.608312361,1.640943104,0.51342706,0.794508223,2.176043983,0.999446978,1.278655205,2.22128126,-0.559197426,2.036152126,1.492897027,1.122777742,1.069115569,2.216132163,1.721686418,1.144263081,1.542929743,0.895157131,1.322072259,0.540184632,-1.84910595,-0.112116315,1.606738865,0.067748726,0.102514288,,,,,,,,,,,,,,,,,,,,,,
5.5,-0.48699461,-1.094089566,0.933537178,-0.537079698,0.437688672,2.711243454,1.567158959,0.960517856,0.752481324,2.5022358,1.266482042,1.192193852,1.433040931,-0.725051026,2.145063851,1.366024178,1.567043104,0.798788489,1.013234921,1.218351383,1.088294947,0.88286093,1.694192203,0.587613736,-0.567414132,-2.330515517,-1.146465224,0.933130264,0.416584053,-0.470158522,,,,,,,,,,,,,,,,,,,,,,
6.5,-0.852782362,0.297275016,0.542865755,-0.451136532,0.878916264,2.686606823,1.667038766,1.373332674,0.909782296,2.665229823,1.553571686,1.157466084,1.084353482,-0.5459588,1.430271541,1.283899049,1.60059041,0.586453739,1.420271105,1.118302491,1.134121938,1.619646137,2.042890716,0.88761319,-1.31476599,-1.552316248,-1.918525066,1.164439399,0.563816412,-1.057762991,,,,,,,,,,,,,,,,,,,,,,
7.5,-1.153031156,0.841621555,0.82483126,0.125992561,1.418597929,2.192848533,1.07235164,1.47828502,1.102761883,2.873167665,1.731730935,0.854754221,1.595297306,-0.9231551,2.088242276,0.976344744,1.23255913,0.440161445,1.14425322,1.050736573,1.11198805,1.972783386,1.836481835,1.412773515,-0.844408946,-1.420443443,-1.854135655,0.912023563,-0.009617972,-1.250375259,,,,,,,,,,,,,,,,,,,,,,
8.5,-1.88269527,1.829335188,1.54018953,0.398868715,2.206112484,3.126005592,1.154744595,1.300789271,0.466241931,3.14897538,1.940940614,1.212427673,1.557674923,-0.402833798,2.395477089,1.322481264,1.07737164,0.395117251,1.676663733,1.365286121,1.331247862,1.170979952,2.251571862,0.758719395,-1.228664778,-1.379098853,-1.737886488,0.830824027,0.472364071,-0.720137171,,,,,,,,,,,,,,,,,,,,,,
9.5,-2.723257289,2.717389202,0.267603083,1.198882279,2.267344951,2.578886045,0.938056445,1.028645634,0.15058414,3.031240703,2.17198674,0.841594249,1.837514694,0.964375173,2.146246634,0.712884038,0.723148342,0.339237944,1.350285047,1.418985127,1.394770494,1.094586851,1.433322658,1.146402452,-1.319145047,-1.005818458,-1.114374586,0.41063729,1.201823754,-0.848386443,,,,,,,,,,,,,,,,,,,,,,
10.5,-2.546440844,3.188779377,-0.442617288,1.439100195,1.147169789,2.252859185,0.778298851,1.152517167,-0.536522939,2.392155507,1.876482244,0.836223887,1.444423522,0.636156736,1.889936547,0.181420274,0.968043334,0.079894038,1.841782625,1.656495239,1.335482822,1.649360799,0.976424734,2.258672419,-1.113005131,0.195109715,-0.472503859,0.345626342,0.523245656,-0.424627641,,,,,,,,,,,,,,,,,,,,,,
11.5,-2.338378009,2.454482204,0.243290326,1.496923047,0.267056745,2.141523256,0.86498683,0.485726512,-0.463995432,2.438650574,1.541784444,0.687933441,1.429066462,0.81662836,1.777979761,-0.426718616,0.402652474,0.014824833,1.520323771,1.689736505,0.952016149,1.089520494,0.362807772,2.113157405,-0.096813637,-0.535988937,0.328415617,-0.103080276,-0.093790994,-0.492748288,,,,,,,,,,,,,,,,,,,,,,
12.5,-1.930014159,2.236022521,-0.138177271,0.661393073,0.239757682,2.568152862,1.287960242,1.293268181,0.12344027,1.999532193,1.430835228,0.869515881,0.736374955,1.325002291,1.501374203,-1.182424363,0.527952763,0.106676769,1.875103917,1.390064171,0.799807086,-0.436975018,0.71222716,1.487488066,-0.456275489,0.420263432,0.620944767,0.047973715,-0.46051041,-0.595814498,,,,,,,,,,,,,,,,,,,,,,
13.5,-1.913516002,1.047866742,-1.220601411,0.222808847,0.026228752,1.036802658,0.884559742,1.027516443,0.330891639,1.39763478,0.939228024,0.508761606,0.891453943,1.550867604,0.633632035,-2.000986207,0.397809124,-0.082496733,1.279526527,1.344080195,0.568201834,0.112400065,-0.041945735,1.404498513,0.107170064,0.420312802,0.005592558,0.090838011,-0.278233017,-0.823271156,,,,,,,,,,,,,,,,,,,,,,
