t_center,z_S_t__20170706_01_02_01,z_S_t__20170706_01_02_02,z_S_t__20170706_01_02_03,z_S_t__20170706_03_04_01,z_S_t__20170706_03_04_02,z_S_t__20170706_03_04_03,z_S_t__20170706_05_06_01,z_S_t__20170706_05_06_02,z_S_t__20170706_05_06_03,z_S_t__20170706_11_12_01,z_S_t__20170706_11_12_02,z_S_t__20170706_11_12_03,z_S_t__20170710_01_02_01,z_S_t__20170710_01_02_02,z_S_t__20170710_01_02_03,z_S_t__20170710_07_08_01,z_S_t__20170710_07_08_02,z_S_t__20170710_07_08_03,z_S_t__20170714_01_02_01,z_S_t__20170714_01_02_02,z_S_t__20170714_01_02_03,z_S_t__20170714_03_04_01,z_S_t__20170714_03_04_02,z_S_t__20170714_03_04_03,z_S_t__20170714_05_06_01,z_S_t__20170714_05_06_02,z_S_t__20170714_05_06_03,z_S_t__20170714_07_08_01,z_S_t__20170714_07_08_02,z_S_t__20170714_07_08_03,,,,,,,,,,,,,,,,,,,
3.5,0.567280572,-0.568205216,-0.511406323,0.514008523,-0.055060997,2.012622001,1.561652854,0.337919637,1.091124492,1.663680798,1.166908675,1.319620594,2.65250138,1.146007836,2.778333654,1.490302163,1.094767255,1.273040103,1.666407096,1.515199529,0.978150289,1.491590325,0.752914098,1.852623284,0.780941359,-0.927190972,0.63749159,2.011977276,0.592311973,0.474350358,,,,,,,,,,,,,,,,,,,
4.5,0.897165535,-1.144388823,0.768874528,-0.237857206,0.250396314,2.621488492,1.627956438,0.488501791,0.781457777,2.162250933,0.983807364,1.26415131,2.251353355,-0.611377458,2.0280554,1.458089465,1.058826319,1.049040909,2.261837513,1.713621286,1.131959636,1.542929743,0.886031874,1.34365999,0.511534498,-2.116017245,-0.118941536,1.601076939,-0.009694849,0.07545495,,,,,,,,,,,,,,,,,,,
5.5,-0.505212334,-1.113449312,0.920776827,-0.591578494,0.437688672,2.694344947,1.555261476,0.954765626,0.752481324,2.500879013,1.263989906,1.188095399,1.431062748,-0.748830583,2.142835893,1.344868272,1.530539301,0.78812569,1.016444841,1.213002909,1.088756017,0.88286093,1.714406599,0.584726178,-0.577669889,-2.50814906,-1.156363299,0.932293796,0.37489283,-0.481676927,,,,,,,,,,,,,,,,,,,
6.5,-0.85973308,0.285594484,0.541295518,-0.475412568,0.878916264,2.691660881,1.652488589,1.373332674,0.91053747,2.677474128,1.548194199,1.157466084,1.083969031,-0.547144655,1.427854782,1.246424216,1.598034495,0.585522645,1.419582667,1.120125049,1.136367103,1.619646137,2.042890716,0.875151968,-1.3193868,-1.569452997,-1.922598571,1.163565103,0.552187828,-1.063623027,,,,,,,,,,,,,,,,,,,
7.5,-1.169252164,0.841400049,0.82483126,0.125992561,1.418597929,2.192848533,0.981891576,1.47828502,1.037525697,2.869488858,1.731730935,0.852679073,1.595297306,-0.954312813,2.088242276,0.907153186,1.164166307,0.440161445,1.14425322,1.050736573,1.113000287,1.972783386,1.833842904,1.412773515,-0.844408946,-1.515926536,-1.854135655,0.912023563,-0.009617972,-1.350490649,,,,,,,,,,,,,,,,,,,
8.5,-1.933663805,1.829335188,1.534646782,0.398218335,2.196789578,3.126005592,1.130959188,1.293268149,0.445406536,3.14897538,1.940940614,1.207338989,1.557674923,-0.406351304,2.395477089,1.236085515,1.050502812,0.395117251,1.67653906,1.366126557,1.331247862,1.170979952,2.251571862,0.727451661,-1.407366842,-1.476571307,-1.737886488,0.830824027,0.471060213,-0.722862071,,,,,,,,,,,,,,,,,,,
9.5,-2.723257289,2.717389202,0.262316686,1.198882279,2.267344951,2.578886045,0.916268359,0.960209585,0.128195912,3.031240703,2.17198674,0.841594249,1.837514694,0.960438196,2.14561067,0.676826457,1.232808872,0.337305048,1.350285047,1.416288579,1.394770494,1.094586851,1.433322658,1.145755368,-1.574956142,-1.16664875,-1.114374586,0.404572026,1.189002935,-0.895347018,,,,,,,,,,,,,,,,,,,
10.5,-2.546440844,3.187792621,-0.538722104,1.426341563,1.147169789,2.252859185,0.762229638,1.137001128,-0.564440791,2.390649747,1.876482244,0.835220551,1.444423522,0.591426902,1.889936547,0.150537195,1.527218491,0.078113355,1.841782625,1.656495239,1.335482822,1.63995845,0.976424734,2.261524138,-1.411697,0.181269665,-0.474431404,0.342910146,0.521702391,-0.430572021,,,,,,,,,,,,,,,,,,,
11.5,-2.369660749,2.457568129,0.243290326,1.494560048,0.262566398,2.14276102,0.863986812,0.465896196,-0.46797633,2.437083662,1.540502354,0.686331534,1.429066462,0.809226953,1.77566929,-0.460185344,1.009949818,0.011153591,1.519102709,1.689736505,0.952016149,1.088579331,0.362807772,2.115115509,-0.364745817,-0.568827907,0.32235383,-0.149957065,-0.110715956,-0.495683708,,,,,,,,,,,,,,,,,,,
12.5,-2.012765486,2.241123798,-0.220109869,0.640444487,0.237836203,2.554620834,1.28548548,1.287464646,0.115392932,1.994357945,1.430835228,0.820868002,0.736374955,1.323395437,1.490781231,-1.182708254,1.187482804,0.103430151,1.886419896,1.390064171,0.799807086,-0.437969681,0.702932181,1.466539345,-0.552045416,0.401400289,0.595715719,-0.00703386,-0.505205409,-0.669520307,,,,,,,,,,,,,,,,,,,
