n_A,n_B,n_matched,z_S,p_S,STR,Max_episode,T_overlap,timeline_csv,pair_id,condition
227,202,108,1.290157176,0.113088691,0.04494382,8,178,out/pair_20170705_01_02_01_timeline.csv,20170705_01_02_01,invisible_pair_Human
248,223,106,-1.558881997,0.948805119,0.027995521,5,178.6,out/pair_20170705_01_02_02_timeline.csv,20170705_01_02_02,invisible_pair_Human
226,240,116,0.113746914,0.480651935,0.044767767,8,178.7,out/pair_20170705_01_02_03_timeline.csv,20170705_01_02_03,invisible_pair_Human
247,261,143,1.152694662,0.140085991,0.078299776,10,178.8,out/pair_20170705_03_04_01_timeline.csv,20170705_03_04_01,invisible_pair_Human
290,273,162,-9.03E-05,0.537846215,0.016797312,3,178.6,out/pair_20170705_03_04_02_timeline.csv,20170705_03_04_02,invisible_pair_Human
280,299,180,0.866683297,0.206179382,0,0,177.8,out/pair_20170705_03_04_03_timeline.csv,20170705_03_04_03,invisible_pair_Human
259,267,139,-0.522035856,0.737526247,0.067529544,6,177.7,out/pair_20170707_01_02_01_timeline.csv,20170707_01_02_01,invisible_pair_Human
254,283,155,0.472731071,0.341165883,0,0,173.2,out/pair_20170707_01_02_02_timeline.csv,20170707_01_02_02,invisible_pair_Human
274,316,174,-0.359069469,0.676332367,0.016797312,3,178.6,out/pair_20170707_01_02_03_timeline.csv,20170707_01_02_03,invisible_pair_Human
294,216,135,0.884361344,0.208079192,0,0,178.9,out/pair_20170707_03_04_01_timeline.csv,20170707_03_04_01,invisible_pair_Human
293,210,120,-1.115530026,0.881211879,0,0,178.7,out/pair_20170707_03_04_02_timeline.csv,20170707_03_04_02,invisible_pair_Human
291,223,136,-0.266789345,0.637336266,0.056022409,5,178.5,out/pair_20170707_03_04_03_timeline.csv,20170707_03_04_03,invisible_pair_Human
197,181,75,-0.387726571,0.680231977,0.044843049,8,178.4,out/pair_20170707_05_06_01_timeline.csv,20170707_05_06_01,invisible_pair_Human
210,191,78,-1.636749732,0.95820418,0.0224341,4,178.3,out/pair_20170707_05_06_02_timeline.csv,20170707_05_06_02,invisible_pair_Human
200,202,82,-1.065868063,0.881911809,0.033879164,6,177.1,out/pair_20170707_05_06_03_timeline.csv,20170707_05_06_03,invisible_pair_Human
218,277,140,1.363895677,0.108289171,0.028216704,5,177.2,out/pair_20170707_07_08_01_timeline.csv,20170707_07_08_01,invisible_pair_Human
233,303,132,-2.61943666,0.9970003,0.044792833,5,178.6,out/pair_20170707_07_08_02_timeline.csv,20170707_07_08_02,invisible_pair_Human
210,299,141,0.329797136,0.419358064,0.05044843,6,178.4,out/pair_20170707_07_08_03_timeline.csv,20170707_07_08_03,invisible_pair_Human
228,237,117,0.223266736,0.435056494,0.028011204,5,178.5,out/pair_20170707_09_10_01_timeline.csv,20170707_09_10_01,invisible_pair_Human
273,258,148,-0.220013663,0.613638636,0.033613445,3,178.5,out/pair_20170707_09_10_02_timeline.csv,20170707_09_10_02,invisible_pair_Human
251,264,139,-0.047513475,0.546845315,0.055928412,6,178.8,out/pair_20170707_09_10_03_timeline.csv,20170707_09_10_03,invisible_pair_Human
275,254,141,-0.809523411,0.807319268,0.016816143,3,178.4,out/pair_20170707_11_12_01_timeline.csv,20170707_11_12_01,invisible_pair_Human
307,284,182,-0.109993922,0.567443256,0.0224341,4,178.3,out/pair_20170707_11_12_02_timeline.csv,20170707_11_12_02,invisible_pair_Human
274,272,159,0.274374948,0.411658834,0,0,178.5,out/pair_20170707_11_12_03_timeline.csv,20170707_11_12_03,invisible_pair_Human
222,262,112,-2.007961883,0.98260174,0.016939582,3,177.1,out/pair_20170710_13_14_01_timeline.csv,20170710_13_14_01,invisible_pair_Human
263,306,169,0.372264451,0.380561944,0.089535534,12,178.7,out/pair_20170710_13_14_02_timeline.csv,20170710_13_14_02,invisible_pair_Human
269,340,176,-2.015014497,0.98150185,0.028011204,5,178.5,out/pair_20170710_13_14_03_timeline.csv,20170710_13_14_03,invisible_pair_Human
166,201,60,-1.774177665,0.96630337,0.022547914,4,177.4,out/pair_20170710_15_16_01_timeline.csv,20170710_15_16_01,invisible_pair_Human
182,213,83,0.047778751,0.503049695,0.04494382,8,178,out/pair_20170710_15_16_02_timeline.csv,20170710_15_16_02,invisible_pair_Human
165,193,75,0.858124534,0.225677432,0.05627462,6,177.7,out/pair_20170710_15_16_03_timeline.csv,20170710_15_16_03,invisible_pair_Human
