n_A,n_B,n_matched,z_S,p_S,STR,Max_episode,T_overlap,timeline_csv,pair_id,condition
269,192,173,-0.609615021,0.795220478,0,0,178.7,out/pair_20170706_01_02_01_timeline.csv,20170706_01_02_01,visible_pair_Human
265,205,184,1.662305787,0.062393761,0.027995521,5,178.6,out/pair_20170706_01_02_02_timeline.csv,20170706_01_02_02,visible_pair_Human
253,177,152,-0.518057954,0.745725427,0,0,178.5,out/pair_20170706_01_02_03_timeline.csv,20170706_01_02_03,visible_pair_Human
236,243,190,0.396997285,0.392260774,0,0,178.7,out/pair_20170706_03_04_01_timeline.csv,20170706_03_04_01,visible_pair_Human
241,242,194,1.158659325,0.152684732,0,0,178.3,out/pair_20170706_03_04_02_timeline.csv,20170706_03_04_02,visible_pair_Human
247,276,205,0.12357322,0.509649035,0.056053812,10,178.4,out/pair_20170706_03_04_03_timeline.csv,20170706_03_04_03,visible_pair_Human
236,216,172,2.217695636,0.02049795,0.061693775,11,178.3,out/pair_20170706_05_06_01_timeline.csv,20170706_05_06_01,visible_pair_Human
273,238,189,0.292344834,0.383261674,0,0,178.8,out/pair_20170706_05_06_02_timeline.csv,20170706_05_06_02,visible_pair_Human
263,234,183,0.146548105,0.488451155,0,0,178.7,out/pair_20170706_05_06_03_timeline.csv,20170706_05_06_03,visible_pair_Human
178,208,155,4.000319127,0.00169983,0.090039392,10,177.7,out/pair_20170706_11_12_01_timeline.csv,20170706_11_12_01,visible_pair_Human
170,205,146,3.353294146,0.00189981,0.022446689,4,178.2,out/pair_20170706_11_12_02_timeline.csv,20170706_11_12_02,visible_pair_Human
182,207,145,0.314148864,0.445255474,0,0,178.3,out/pair_20170706_11_12_03_timeline.csv,20170706_11_12_03,visible_pair_Human
258,240,192,1.7651281,0.04679532,0.016949153,3,177,out/pair_20170710_01_02_01_timeline.csv,20170710_01_02_01,visible_pair_Human
292,251,214,3.024899523,0.01139886,0.016997167,3,176.5,out/pair_20170710_01_02_02_timeline.csv,20170710_01_02_02,visible_pair_Human
306,266,225,1.69552178,0.063393661,0.044817927,5,178.5,out/pair_20170710_01_02_03_timeline.csv,20170710_01_02_03,visible_pair_Human
128,144,74,0.513546027,0.351764824,0,0,169.7,out/pair_20170710_07_08_01_timeline.csv,20170710_07_08_01,visible_pair_Human
99,93,61,0.845501997,0.261273873,0,0,95,out/pair_20170710_07_08_02_timeline.csv,20170710_07_08_02,visible_pair_Human
148,150,94,0.649838928,0.317368263,0,0,135.7,out/pair_20170710_07_08_03_timeline.csv,20170710_07_08_03,visible_pair_Human
259,273,207,0.447905415,0.367663234,0,0,178.1,out/pair_20170714_01_02_01_timeline.csv,20170714_01_02_01,visible_pair_Human
254,298,214,0.822907081,0.223077692,0,0,177.7,out/pair_20170714_01_02_02_timeline.csv,20170714_01_02_02,visible_pair_Human
256,307,221,1.018729321,0.190180982,0,0,177.8,out/pair_20170714_01_02_03_timeline.csv,20170714_01_02_03,visible_pair_Human
216,224,167,0.264847209,0.440855914,0,0,178.2,out/pair_20170714_03_04_01_timeline.csv,20170714_03_04_01,visible_pair_Human
236,234,183,0.638556284,0.329367063,0.039237668,4,178.4,out/pair_20170714_03_04_02_timeline.csv,20170714_03_04_02,visible_pair_Human
234,258,198,1.720443547,0.04969503,0.022522523,4,177.6,out/pair_20170714_03_04_03_timeline.csv,20170714_03_04_03,visible_pair_Human
260,194,171,0.902997242,0.223177682,0.03365115,3,178.3,out/pair_20170714_05_06_01_timeline.csv,20170714_05_06_01,visible_pair_Human
272,210,179,-1.346761541,0.934206579,0,0,178.3,out/pair_20170714_05_06_02_timeline.csv,20170714_05_06_02,visible_pair_Human
274,244,203,0.583128293,0.341965803,0,0,178.4,out/pair_20170714_05_06_03_timeline.csv,20170714_05_06_03,visible_pair_Human
196,164,121,-0.199173318,0.639736026,0,0,178.6,out/pair_20170714_07_08_01_timeline.csv,20170714_07_08_01,visible_pair_Human
235,165,142,0.334343162,0.440155984,0.017035775,3,176.1,out/pair_20170714_07_08_02_timeline.csv,20170714_07_08_02,visible_pair_Human
227,186,151,0.568877158,0.333466653,0.016806723,3,178.5,out/pair_20170714_07_08_03_timeline.csv,20170714_07_08_03,visible_pair_Human
