rel_path,n_trial_rows,dropped_columns,n_events_legacy,n_events_chew_only,n_spurious_events_removed,spurious_values,n_trial_values_coinciding_with_real_chews,first_event_legacy,first_event_chew_only
invisible_pair_Human/A/20170705_01_02_01_A.csv,19,Trial,227,210,17,1;2;3;4;5;6;7;8;9;10;11;14;15;16;17;18;19,2,1.0,9.4
invisible_pair_Human/A/20170705_01_02_02_A.csv,26,Trial,248,224,24,1;2;3;4;5;6;7;8;9;10;11;12;14;15;16;17;18;19;20;21;22;24;25;26,2,1.0,6.6
invisible_pair_Human/A/20170705_01_02_03_A.csv,22,Trial,227,208,19,1;2;3;4;5;7;8;9;10;11;12;14;15;16;17;18;19;20;22,3,1.0,6.0
invisible_pair_Human/A/20170705_03_04_01_A.csv,19,Trial,247,231,16,1;2;3;4;7;8;9;10;11;12;13;14;15;16;18;19,3,1.0,3.2
invisible_pair_Human/A/20170705_03_04_02_A.csv,20,Trial,291,271,20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,0,1.0,3.8
invisible_pair_Human/A/20170705_03_04_03_A.csv,15,Trial,280,267,13,1;2;3;5;6;8;9;10;11;12;13;14;15,2,1.0,3.3
invisible_pair_Human/A/20170707_01_02_01_A.csv,18,Trial,259,244,15,1;2;3;4;5;6;8;9;10;11;14;15;16;17;18,3,1.0,2.9
invisible_pair_Human/A/20170707_01_02_02_A.csv,22,Trial,254,237,17,1;2;3;4;5;7;8;9;10;11;12;14;16;18;19;20;21,5,1.0,5.3
invisible_pair_Human/A/20170707_01_02_03_A.csv,18,Trial,274,257,17,1;2;3;4;5;6;7;8;10;11;12;13;14;15;16;17;18,1,1.0,3.7
invisible_pair_Human/A/20170707_03_04_01_A.csv,35,Trial,294,265,29,1;2;3;4;5;6;8;9;10;11;12;13;15;16;17;18;19;20;21;23;25;26;27;28;29;30;31;34;35,6,1.0,4.2
invisible_pair_Human/A/20170707_03_04_02_A.csv,25,Trial,293,269,24,1;2;3;4;5;6;7;8;9;10;12;13;14;15;16;17;18;19;20;21;22;23;24;25,1,1.0,3.8
invisible_pair_Human/A/20170707_03_04_03_A.csv,20,Trial,291,277,14,1;2;3;5;6;8;9;10;11;12;16;18;19;20,6,1.0,3.6
invisible_pair_Human/A/20170707_05_06_01_A.csv,18,Trial,198,180,18,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18,0,1.0,14.6
invisible_pair_Human/A/20170707_05_06_02_A.csv,12,Trial,210,198,12,1;2;3;4;5;6;7;8;9;10;11;12,0,1.0,11.1
invisible_pair_Human/A/20170707_05_06_03_A.csv,11,Trial,200,189,11,1;2;3;4;5;6;7;8;9;10;11,0,1.0,11.3
invisible_pair_Human/A/20170707_07_08_01_A.csv,14,Trial,218,204,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,0,1.0,8.9
invisible_pair_Human/A/20170707_07_08_02_A.csv,13,Trial,233,220,13,1;2;3;4;5;6;7;8;9;10;11;12;13,0,1.0,4.8
invisible_pair_Human/A/20170707_07_08_03_A.csv,10,Trial,210,200,10,1;2;3;4;5;6;7;8;9;10,0,1.0,9.5
invisible_pair_Human/A/20170707_09_10_01_A.csv,17,Trial,228,214,14,1;2;3;4;6;8;9;10;11;12;13;14;15;16,3,1.0,5.0
