condition,pair,n_spurious_removed,nA_legacy,nA_fixed,nB_legacy,nB_fixed,start_legacy,start_fixed,matched_legacy,matched_chewonly_no_tol,matched_fixed,matched_patched_script,script_agrees
visible,20170706_01_02_01,26,269,252,192,181,1.0,4.3,62,48,73,73,True
visible,20170706_01_02_02,31,265,244,205,192,1.0,5.0,73,60,85,85,True
visible,20170706_01_02_03,27,253,233,177,167,1.0,5.0,59,46,64,64,True
visible,20170706_03_04_01,27,236,224,243,226,1.0,5.9,84,72,95,95,True
visible,20170706_03_04_02,24,241,228,242,230,1.0,5.1,86,72,91,91,True
visible,20170706_03_04_03,32,247,232,276,259,1.0,6.2,101,86,117,117,True
visible,20170706_05_06_01,52,236,204,216,194,1.0,4.5,72,51,69,69,True
visible,20170706_05_06_02,60,273,228,238,219,1.0,4.5,81,57,87,87,True
visible,20170706_05_06_03,47,263,236,234,213,1.0,4.0,87,64,85,85,True
visible,20170706_11_12_01,30,178,163,208,193,1.0,6.4,63,47,63,63,True
visible,20170706_11_12_02,24,170,159,205,189,1.0,6.0,52,38,63,63,True
visible,20170706_11_12_03,21,182,171,207,196,1.0,6.1,51,40,52,52,True
visible,20170710_01_02_01,31,258,241,240,225,1.0,5.0,94,78,106,106,True
visible,20170710_01_02_02,36,292,273,251,232,1.0,5.7,107,88,119,119,True
visible,20170710_01_02_03,33,306,290,266,248,1.0,5.2,109,91,131,131,True
visible,20170710_07_08_01,18,128,118,144,121,1.0,19.4,29,19,30,30,True
visible,20170710_07_08_02,12,99,91,93,88,1.0,6.3,29,24,28,28,True
visible,20170710_07_08_03,21,148,137,150,133,1.0,10.0,40,29,45,45,True
visible,20170714_01_02_01,21,259,250,273,261,1.0,5.0,89,79,113,113,True
visible,20170714_01_02_02,25,254,245,298,281,1.0,6.1,100,88,123,123,True
visible,20170714_01_02_03,26,256,246,307,290,1.0,5.1,103,92,127,127,True
visible,20170714_03_04_01,23,216,204,224,212,1.0,3.9,61,47,70,70,True
visible,20170714_03_04_02,27,236,218,234,222,1.0,5.5,72,58,76,76,True
visible,20170714_03_04_03,32,234,216,258,242,1.0,5.2,87,71,98,98,True
visible,20170714_05_06_01,39,260,236,194,178,1.0,5.2,58,40,75,75,True
visible,20170714_05_06_02,41,272,249,210,191,1.0,4.4,75,55,81,81,True
visible,20170714_05_06_03,41,274,258,244,218,1.0,4.6,89,72,101,101,True
visible,20170714_07_08_01,18,196,185,164,156,1.0,5.0,43,34,41,41,True
visible,20170714_07_08_02,26,235,215,165,157,1.0,6.4,58,45,62,62,True
visible,20170714_07_08_03,26,227,209,186,177,1.0,4.9,59,50,62,62,True
invisible,20170705_01_02_01,31,227,209,202,188,1.0,10.0,67,52,78,78,True
invisible,20170705_01_02_02,40,248,223,223,207,1.0,7.2,56,40,59,59,True
invisible,20170705_01_02_03,32,226,207,240,226,1.0,6.0,66,52,78,78,True
invisible,20170705_03_04_01,40,247,231,261,237,1.0,3.2,93,76,105,105,True
invisible,20170705_03_04_02,42,290,270,273,250,1.0,3.8,108,88,118,118,True
invisible,20170705_03_04_03,37,280,267,299,274,1.0,3.3,121,106,142,142,True
invisible,20170707_01_02_01,37,259,243,267,245,1.0,3.9,91,76,105,105,True
invisible,20170707_01_02_02,42,254,237,283,253,1.0,5.3,97,71,103,103,True
invisible,20170707_01_02_03,44,274,257,316,287,1.0,3.7,96,78,111,111,True
invisible,20170707_03_04_01,41,294,264,216,204,1.0,4.5,86,70,95,95,True
invisible,20170707_03_04_02,38,293,265,210,196,1.0,5.6,70,56,75,75,True
invisible,20170707_03_04_03,28,291,273,223,209,1.0,5.1,78,60,90,90,True
invisible,20170707_05_06_01,31,197,179,181,160,1.0,14.6,48,33,53,53,True
invisible,20170707_05_06_02,21,210,198,191,175,1.0,11.1,50,39,55,55,True
invisible,20170707_05_06_03,22,200,189,202,185,1.0,11.3,47,36,49,49,True
invisible,20170707_07_08_01,43,218,204,277,247,1.0,8.9,81,66,96,96,True
invisible,20170707_07_08_02,30,233,214,303,286,1.0,9.0,86,73,95,95,True
invisible,20170707_07_08_03,33,210,187,299,276,1.0,19.5,88,76,107,107,True
invisible,20170707_09_10_01,28,228,213,237,223,1.0,5.4,72,60,84,84,True
invisible,20170707_09_10_02,33,273,250,258,247,1.0,5.7,92,79,102,102,True
invisible,20170707_09_10_03,33,251,232,264,249,1.0,4.4,79,64,99,99,True
invisible,20170707_11_12_01,38,275,246,254,244,1.0,4.0,80,64,88,88,True
invisible,20170707_11_12_02,36,307,285,284,267,1.0,3.7,117,103,136,136,True
invisible,20170707_11_12_03,33,274,258,272,252,1.0,5.0,101,84,110,110,True
invisible,20170710_13_14_01,29,222,205,262,247,1.0,5.4,66,50,78,78,True
invisible,20170710_13_14_02,37,263,240,306,288,1.0,5.2,119,98,127,127,True
invisible,20170710_13_14_03,40,269,247,340,320,1.0,3.8,96,77,117,117,True
invisible,20170710_15_16_01,23,166,157,201,184,1.0,7.1,40,31,42,42,True
invisible,20170710_15_16_02,29,182,169,213,196,1.0,5.3,48,35,54,54,True
invisible,20170710_15_16_03,21,165,153,193,182,1.0,6.8,48,37,49,49,True
