n_A,n_B,n_matched,z_S,p_S,STR,Max_episode,T_overlap,timeline_csv,pair_id,file_a,file_b,condition
209,188,154,0.28572517715961093,0.44595540445955406,0.023668639053254437,4.0,169.0,out_grid_invisible_d0.5/0.5_pair_20170705_01_02_01_timeline.csv,20170705_01_02_01,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170705_01_02_01_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170705_01_02_01_B.csv,invisible_pair_Human
223,207,171,0.2321279924049863,0.46195380461953806,0.0,0.0,172.4,out_grid_invisible_d0.5/0.5_pair_20170705_01_02_02_timeline.csv,20170705_01_02_02,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170705_01_02_02_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170705_01_02_02_B.csv,invisible_pair_Human
207,226,167,-1.10006569111709,0.8971102889711029,0.017271157167530225,3.0,173.7,out_grid_invisible_d0.5/0.5_pair_20170705_01_02_03_timeline.csv,20170705_01_02_03,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170705_01_02_03_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170705_01_02_03_B.csv,invisible_pair_Human
231,237,177,0.5373034329149878,0.34856514348565143,0.0,0.0,176.60000000000002,out_grid_invisible_d0.5/0.5_pair_20170705_03_04_01_timeline.csv,20170705_03_04_01,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170705_03_04_01_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170705_03_04_01_B.csv,invisible_pair_Human
270,250,202,-0.9196169109653002,0.8398160183981602,0.0,0.0,175.79999999999998,out_grid_invisible_d0.5/0.5_pair_20170705_03_04_02_timeline.csv,20170705_03_04_02,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170705_03_04_02_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170705_03_04_02_B.csv,invisible_pair_Human
267,274,223,0.8869267689922158,0.22707729227077292,0.0,0.0,175.5,out_grid_invisible_d0.5/0.5_pair_20170705_03_04_03_timeline.csv,20170705_03_04_03,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170705_03_04_03_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170705_03_04_03_B.csv,invisible_pair_Human
243,245,193,1.522765295453808,0.09829017098290171,0.0,0.0,174.79999999999998,out_grid_invisible_d0.5/0.5_pair_20170707_01_02_01_timeline.csv,20170707_01_02_01,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170707_01_02_01_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170707_01_02_01_B.csv,invisible_pair_Human
237,253,185,0.4793478405323459,0.3241675832416758,0.0,0.0,168.89999999999998,out_grid_invisible_d0.5/0.5_pair_20170707_01_02_02_timeline.csv,20170707_01_02_02,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170707_01_02_02_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170707_01_02_02_B.csv,invisible_pair_Human
257,287,216,0.6774295363375518,0.2846715328467153,0.0,0.0,175.9,out_grid_invisible_d0.5/0.5_pair_20170707_01_02_03_timeline.csv,20170707_01_02_03,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170707_01_02_03_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170707_01_02_03_B.csv,invisible_pair_Human
264,204,176,-0.6781834137332288,0.806019398060194,0.02280501710376283,4.0,175.4,out_grid_invisible_d0.5/0.5_pair_20170707_03_04_01_timeline.csv,20170707_03_04_01,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170707_03_04_01_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170707_03_04_01_B.csv,invisible_pair_Human
265,196,182,1.152152395242613,0.16628337166283372,0.0,0.0,174.1,out_grid_invisible_d0.5/0.5_pair_20170707_03_04_02_timeline.csv,20170707_03_04_02,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170707_03_04_02_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170707_03_04_02_B.csv,invisible_pair_Human
273,209,197,2.5297990073251486,0.006899310068993101,0.02293577981651376,4.0,174.4,out_grid_invisible_d0.5/0.5_pair_20170707_03_04_03_timeline.csv,20170707_03_04_03,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170707_03_04_03_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170707_03_04_03_B.csv,invisible_pair_Human
179,160,117,-0.6105732731164855,0.7576242375762424,0.0,0.0,164.8,out_grid_invisible_d0.5/0.5_pair_20170707_05_06_01_timeline.csv,20170707_05_06_01,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170707_05_06_01_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170707_05_06_01_B.csv,invisible_pair_Human
198,175,136,1.1682259357323503,0.1593840615938406,0.0,0.0,168.20000000000002,out_grid_invisible_d0.5/0.5_pair_20170707_05_06_02_timeline.csv,20170707_05_06_02,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170707_05_06_02_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170707_05_06_02_B.csv,invisible_pair_Human
189,185,131,-1.505083316716278,0.9593040695930407,0.0,0.0,166.79999999999998,out_grid_invisible_d0.5/0.5_pair_20170707_05_06_03_timeline.csv,20170707_05_06_03,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170707_05_06_03_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170707_05_06_03_B.csv,invisible_pair_Human
204,247,189,1.926620747573895,0.04129587041295871,0.0,0.0,169.29999999999998,out_grid_invisible_d0.5/0.5_pair_20170707_07_08_01_timeline.csv,20170707_07_08_01,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170707_07_08_01_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170707_07_08_01_B.csv,invisible_pair_Human
214,286,199,-0.13967890593241183,0.6199380061993801,0.0,0.0,170.6,out_grid_invisible_d0.5/0.5_pair_20170707_07_08_02_timeline.csv,20170707_07_08_02,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170707_07_08_02_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170707_07_08_02_B.csv,invisible_pair_Human
187,276,176,-0.6906273197581831,0.8194180581941806,0.0,0.0,159.9,out_grid_invisible_d0.5/0.5_pair_20170707_07_08_03_timeline.csv,20170707_07_08_03,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170707_07_08_03_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170707_07_08_03_B.csv,invisible_pair_Human
213,223,169,0.7808874180716944,0.2653734626537346,0.02871912693854107,5.0,174.1,out_grid_invisible_d0.5/0.5_pair_20170707_09_10_01_timeline.csv,20170707_09_10_01,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170707_09_10_01_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170707_09_10_01_B.csv,invisible_pair_Human
250,247,205,-0.6356940865679447,0.7991200879912009,0.0,0.0,173.8,out_grid_invisible_d0.5/0.5_pair_20170707_09_10_02_timeline.csv,20170707_09_10_02,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170707_09_10_02_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170707_09_10_02_B.csv,invisible_pair_Human
232,249,191,0.536167185431889,0.32526747325267474,0.0,0.0,175.4,out_grid_invisible_d0.5/0.5_pair_20170707_09_10_03_timeline.csv,20170707_09_10_03,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170707_09_10_03_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170707_09_10_03_B.csv,invisible_pair_Human
246,244,207,0.15191443120996773,0.4961503849615039,0.0,0.0,175.4,out_grid_invisible_d0.5/0.5_pair_20170707_11_12_01_timeline.csv,20170707_11_12_01,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170707_11_12_01_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170707_11_12_01_B.csv,invisible_pair_Human
285,267,244,-0.6775982743282104,0.7985201479852014,0.0,0.0,175.60000000000002,out_grid_invisible_d0.5/0.5_pair_20170707_11_12_02_timeline.csv,20170707_11_12_02,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170707_11_12_02_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170707_11_12_02_B.csv,invisible_pair_Human
258,252,221,0.6806921889769595,0.3060693930606939,0.0,0.0,174.5,out_grid_invisible_d0.5/0.5_pair_20170707_11_12_03_timeline.csv,20170707_11_12_03,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170707_11_12_03_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170707_11_12_03_B.csv,invisible_pair_Human
205,247,176,-0.25549938904166564,0.6719328067193281,0.0,0.0,172.7,out_grid_invisible_d0.5/0.5_pair_20170710_13_14_01_timeline.csv,20170710_13_14_01,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170710_13_14_01_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170710_13_14_01_B.csv,invisible_pair_Human
240,288,218,0.025977420244051676,0.547045295470453,0.017191977077363897,3.0,174.5,out_grid_invisible_d0.5/0.5_pair_20170710_13_14_02_timeline.csv,20170710_13_14_02,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170710_13_14_02_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170710_13_14_02_B.csv,invisible_pair_Human
247,320,238,1.5795444621937336,0.08139186081391861,0.0,0.0,175.7,out_grid_invisible_d0.5/0.5_pair_20170710_13_14_03_timeline.csv,20170710_13_14_03,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170710_13_14_03_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170710_13_14_03_B.csv,invisible_pair_Human
157,184,130,0.08483108598781408,0.5367463253674633,0.0,0.0,171.3,out_grid_invisible_d0.5/0.5_pair_20170710_15_16_01_timeline.csv,20170710_15_16_01,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170710_15_16_01_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170710_15_16_01_B.csv,invisible_pair_Human
169,196,137,-0.8009068721708398,0.8381161883811619,0.0,0.0,173.7,out_grid_invisible_d0.5/0.5_pair_20170710_15_16_02_timeline.csv,20170710_15_16_02,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170710_15_16_02_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170710_15_16_02_B.csv,invisible_pair_Human
153,182,124,-0.05986576890729671,0.577042295770423,0.017452006980802796,3.0,171.89999999999998,out_grid_invisible_d0.5/0.5_pair_20170710_15_16_03_timeline.csv,20170710_15_16_03,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170710_15_16_03_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170710_15_16_03_B.csv,invisible_pair_Human
