n_A,n_B,n_matched,z_S,p_S,ETR,Max_episode,T_overlap,timeline_csv,file_a,file_b,condition
269,192,62,0.896861677,0.204979502,0.016787913,3,178.7,out/pair_20170706_01_02_01_timeline.csv,/Users/jyou/PyCharmProjects/statistics/visible_pair_Human/20170706_01_02_01_A.csv,/Users/jyou/PyCharmProjects/statistics/visible_pair_Human/20170706_01_02_01_B.csv,visible_pair_Human
265,205,73,1.871885624,0.03519648,0.100783875,11,178.6,out/pair_20170706_01_02_02_timeline.csv,/Users/jyou/PyCharmProjects/statistics/visible_pair_Human/20170706_01_02_02_A.csv,/Users/jyou/PyCharmProjects/statistics/visible_pair_Human/20170706_01_02_02_B.csv,visible_pair_Human
253,177,59,1.645669301,0.066893311,0.016806723,3,178.5,out/pair_20170706_01_02_03_timeline.csv,/Users/jyou/PyCharmProjects/statistics/visible_pair_Human/20170706_01_02_03_A.csv,/Users/jyou/PyCharmProjects/statistics/visible_pair_Human/20170706_01_02_03_B.csv,visible_pair_Human
236,243,84,2.911055944,0.00429957,0.111919418,8,178.7,out/pair_20170706_03_04_01_timeline.csv,/Users/jyou/PyCharmProjects/statistics/visible_pair_Human/20170706_03_04_01_A.csv,/Users/jyou/PyCharmProjects/statistics/visible_pair_Human/20170706_03_04_01_B.csv,visible_pair_Human
241,242,86,2.756808843,0.00669933,0.128996074,14,178.3,out/pair_20170706_03_04_02_timeline.csv,/Users/jyou/PyCharmProjects/statistics/visible_pair_Human/20170706_03_04_02_A.csv,/Users/jyou/PyCharmProjects/statistics/visible_pair_Human/20170706_03_04_02_B.csv,visible_pair_Human
247,276,101,3.393932915,0.00059994,0.140134529,11,178.4,out/pair_20170706_03_04_03_timeline.csv,/Users/jyou/PyCharmProjects/statistics/visible_pair_Human/20170706_03_04_03_A.csv,/Users/jyou/PyCharmProjects/statistics/visible_pair_Human/20170706_03_04_03_B.csv,visible_pair_Human
236,216,72,2.685505505,0.01079892,0.095344924,17,178.3,out/pair_20170706_05_06_01_timeline.csv,/Users/jyou/PyCharmProjects/statistics/visible_pair_Human/20170706_05_06_01_A.csv,/Users/jyou/PyCharmProjects/statistics/visible_pair_Human/20170706_05_06_01_B.csv,visible_pair_Human
273,238,81,1.568635058,0.070992901,0.100671141,13,178.8,out/pair_20170706_05_06_02_timeline.csv,/Users/jyou/PyCharmProjects/statistics/visible_pair_Human/20170706_05_06_02_A.csv,/Users/jyou/PyCharmProjects/statistics/visible_pair_Human/20170706_05_06_02_B.csv,visible_pair_Human
263,234,87,3.004386141,0.00389961,0.201454952,20,178.7,out/pair_20170706_05_06_03_timeline.csv,/Users/jyou/PyCharmProjects/statistics/visible_pair_Human/20170706_05_06_03_A.csv,/Users/jyou/PyCharmProjects/statistics/visible_pair_Human/20170706_05_06_03_B.csv,visible_pair_Human
178,208,63,3.839385258,1.00E-04,0.129431626,16,177.7,out/pair_20170706_11_12_01_timeline.csv,/Users/jyou/PyCharmProjects/statistics/visible_pair_Human/20170706_11_12_01_A.csv,/Users/jyou/PyCharmProjects/statistics/visible_pair_Human/20170706_11_12_01_B.csv,visible_pair_Human
