t_center,z_S_t__20170706_01_02_01,z_S_t__20170706_01_02_02,z_S_t__20170706_01_02_03,z_S_t__20170706_03_04_01,z_S_t__20170706_03_04_02,z_S_t__20170706_03_04_03,z_S_t__20170706_05_06_01,z_S_t__20170706_05_06_02,z_S_t__20170706_05_06_03,z_S_t__20170706_11_12_01,z_S_t__20170706_11_12_02,z_S_t__20170706_11_12_03,z_S_t__20170710_01_02_01,z_S_t__20170710_01_02_02,z_S_t__20170710_01_02_03,z_S_t__20170710_07_08_01,z_S_t__20170710_07_08_02,z_S_t__20170710_07_08_03,z_S_t__20170714_01_02_01,z_S_t__20170714_01_02_02,z_S_t__20170714_01_02_03,z_S_t__20170714_03_04_01,z_S_t__20170714_03_04_02,z_S_t__20170714_03_04_03,z_S_t__20170714_05_06_01,z_S_t__20170714_05_06_02,z_S_t__20170714_05_06_03,z_S_t__20170714_07_08_01,z_S_t__20170714_07_08_02,z_S_t__20170714_07_08_03,S_excess__20170706_01_02_01,S_excess__20170706_01_02_02,S_excess__20170706_01_02_03,S_excess__20170706_03_04_01,S_excess__20170706_03_04_02,S_excess__20170706_03_04_03,S_excess__20170706_05_06_01,S_excess__20170706_05_06_02,S_excess__20170706_05_06_03,S_excess__20170706_11_12_01,S_excess__20170706_11_12_02,S_excess__20170706_11_12_03,S_excess__20170710_01_02_01,S_excess__20170710_01_02_02,S_excess__20170710_01_02_03,S_excess__20170710_07_08_01,S_excess__20170710_07_08_02,S_excess__20170710_07_08_03,S_excess__20170714_01_02_01,S_excess__20170714_01_02_02,S_excess__20170714_01_02_03,S_excess__20170714_03_04_01,S_excess__20170714_03_04_02,S_excess__20170714_03_04_03,S_excess__20170714_05_06_01,S_excess__20170714_05_06_02,S_excess__20170714_05_06_03,S_excess__20170714_07_08_01,S_excess__20170714_07_08_02,S_excess__20170714_07_08_03,nA__20170706_01_02_01,nA__20170706_01_02_02,nA__20170706_01_02_03,nA__20170706_03_04_01,nA__20170706_03_04_02,nA__20170706_03_04_03,nA__20170706_05_06_01,nA__20170706_05_06_02,nA__20170706_05_06_03,nA__20170706_11_12_01,nA__20170706_11_12_02,nA__20170706_11_12_03,nA__20170710_01_02_01,nA__20170710_01_02_02,nA__20170710_01_02_03,nA__20170710_07_08_01,nA__20170710_07_08_02,nA__20170710_07_08_03,nA__20170714_01_02_01,nA__20170714_01_02_02,nA__20170714_01_02_03,nA__20170714_03_04_01,nA__20170714_03_04_02,nA__20170714_03_04_03,nA__20170714_05_06_01,nA__20170714_05_06_02,nA__20170714_05_06_03,nA__20170714_07_08_01,nA__20170714_07_08_02,nA__20170714_07_08_03,nB__20170706_01_02_01,nB__20170706_01_02_02,nB__20170706_01_02_03,nB__20170706_03_04_01,nB__20170706_03_04_02,nB__20170706_03_04_03,nB__20170706_05_06_01,nB__20170706_05_06_02,nB__20170706_05_06_03,nB__20170706_11_12_01,nB__20170706_11_12_02,nB__20170706_11_12_03,nB__20170710_01_02_01,nB__20170710_01_02_02,nB__20170710_01_02_03,nB__20170710_07_08_01,nB__20170710_07_08_02,nB__20170710_07_08_03,nB__20170714_01_02_01,nB__20170714_01_02_02,nB__20170714_01_02_03,nB__20170714_03_04_01,nB__20170714_03_04_02,nB__20170714_03_04_03,nB__20170714_05_06_01,nB__20170714_05_06_02,nB__20170714_05_06_03,nB__20170714_07_08_01,nB__20170714_07_08_02,nB__20170714_07_08_03,nM__20170706_01_02_01,nM__20170706_01_02_02,nM__20170706_01_02_03,nM__20170706_03_04_01,nM__20170706_03_04_02,nM__20170706_03_04_03,nM__20170706_05_06_01,nM__20170706_05_06_02,nM__20170706_05_06_03,nM__20170706_11_12_01,nM__20170706_11_12_02,nM__20170706_11_12_03,nM__20170710_01_02_01,nM__20170710_01_02_02,nM__20170710_01_02_03,nM__20170710_07_08_01,nM__20170710_07_08_02,nM__20170710_07_08_03,nM__20170714_01_02_01,nM__20170714_01_02_02,nM__20170714_01_02_03,nM__20170714_03_04_01,nM__20170714_03_04_02,nM__20170714_03_04_03,nM__20170714_05_06_01,nM__20170714_05_06_02,nM__20170714_05_06_03,nM__20170714_07_08_01,nM__20170714_07_08_02,nM__20170714_07_08_03,episode__20170706_01_02_01,episode__20170706_01_02_02,episode__20170706_01_02_03,episode__20170706_03_04_01,episode__20170706_03_04_02,episode__20170706_03_04_03,episode__20170706_05_06_01,episode__20170706_05_06_02,episode__20170706_05_06_03,episode__20170706_11_12_01,episode__20170706_11_12_02,episode__20170706_11_12_03,episode__20170710_01_02_01,episode__20170710_01_02_02,episode__20170710_01_02_03,episode__20170710_07_08_01,episode__20170710_07_08_02,episode__20170710_07_08_03,episode__20170714_01_02_01,episode__20170714_01_02_02,episode__20170714_01_02_03,episode__20170714_03_04_01,episode__20170714_03_04_02,episode__20170714_03_04_03,episode__20170714_05_06_01,episode__20170714_05_06_02,episode__20170714_05_06_03,episode__20170714_07_08_01,episode__20170714_07_08_02,episode__20170714_07_08_03
3.5,3.017976159675524,3.509791122378888,3.1422576037581913,4.2359745485567695,3.2271489734222527,5.2461516875724055,3.1019022056677965,2.4257627135068405,2.7540843823305825,4.433971535538863,3.880910153451477,4.201512527670871,4.510340722033182,3.4630078388358214,4.302133358454306,4.604512512618816,4.067305464907175,4.242139829777071,4.159279561879311,4.476606629902339,4.0960558983099125,3.2394739873046574,3.3952194843693047,4.055027977114679,3.819776562215634,2.480954333673161,3.631862947380165,4.390422803853205,4.192258314784476,3.5798454130576416,0.4402176583564355,0.488670786746793,0.4693356209751721,0.5911853178727019,0.5018836269853297,0.7904363259375643,0.50073321352299,0.3767545960866731,0.4331280382119189,0.8236304127245304,0.6069578275525644,0.7263503525885879,0.7021950737257239,0.542240794826089,0.6468425032487591,0.8516721112221113,0.6621157897657898,0.7278508643317467,0.6207456509864404,0.7200967055819998,0.6396734419776989,0.4964722797169626,0.4827964862279105,0.6020849062959743,0.6164589675975899,0.4064622688800706,0.5310519589887237,0.7243581856052445,0.6534279430751566,0.5302325220015622,9,10,10,8,8,6,10,13,11,6.0,6,6,8.0,8.0,7,6.0,7.0,6.0,7,7.0,7.0,9,10,7.0,7,10,7,7,8.0,8,8,7,7,7,8,6,9,9,9,6.0,9,7,7.0,7.0,8,6.0,5.0,7.0,7,6.0,7.0,10,7,9.0,7,8,8,8,6.0,8,6,6,6,6,6,6,7,7,7,6.0,6,6,7.0,6.0,7,6.0,5.0,6.0,6,6.0,6.0,7,6,7.0,6,6,6,7,6.0,6,1,1,0,1,1,1,1,0,1,1.0,1,1,1.0,1.0,1,1.0,1.0,1.0,1,1.0,1.0,1,1,1.0,1,1,1,1,1.0,1
4.5,2.4142654636813647,2.9777658495548027,2.1660308837401208,3.924708906790972,3.3866412930789673,5.210286673337452,2.586227484132939,1.8957087484449209,1.937069515572278,4.536956813243752,4.028585015483157,3.956556789214618,3.3415895235069435,2.426082377822391,3.97720820280395,4.2837978287301715,3.103448880632611,3.79708407167846,3.524333973381623,4.180404189027061,3.8316753525608824,2.7189233727731006,2.744091457887029,3.395372445857645,3.4008534318221035,2.142106838677429,3.0591480510832993,3.913343385893096,3.4418747546034405,3.1399907745855313,0.3503664743132908,0.3926388183024406,0.2948130508552335,0.5449586055757109,0.513274048019404,0.7658762053134345,0.4113239592245447,0.3031594123051386,0.3023056462088337,0.8017031737869973,0.6056088356088356,0.6700143554587827,0.5066859972698814,0.3869503752525423,0.5613825769404164,0.7663982406482407,0.4927833055833055,0.6456533092724268,0.5167820539659111,0.6404449192104764,0.5790519843245849,0.4104224317332507,0.3887201128077289,0.5032819433662313,0.5412994824147301,0.3390107286847998,0.4222758474695613,0.5886981101028315,0.5178641198069217,0.467248510356173,10,11,12,9,9,7,11,14,13,7.0,6,8,9.0,10.0,8,6.0,7.0,6.0,9,8.0,8.0,10,11,9.0,7,12,7,7,9.0,8,9,8,9,7,9,7,10,10,11,7.0,9,8,9.0,8.0,10,7.0,5.0,8.0,9,8.0,9.0,11,8,11.0,8,8,10,10,7.0,9,6,6,6,6,7,7,7,7,7,7.0,6,7,7.0,6.0,8,6.0,4.0,6.0,7,7.0,7.0,7,6,8.0,6,6,6,7,6.0,6,1,1,0,1,1,1,1,0,1,1.0,1,1,1.0,1.0,1,1.0,1.0,1.0,1,1.0,1.0,1,1,1.0,1,1,1,1,1.0,1
5.5,1.856422121636674,2.1075207326511585,1.6245335863272934,2.974281353745862,3.6798753753907927,4.336819928600925,2.2542899421983043,1.5063164019927504,1.6611775103621458,4.042893392378623,3.3340924562565983,3.6583130291560626,2.507206302625336,2.1601312028706023,3.3920405038686416,4.000708158063503,2.51845250018802,3.3674640211969167,2.7773302832397584,3.617227404299696,3.5409853366918713,2.090012468619498,2.4005082297180995,2.771512960288325,2.79109555696112,1.7804382811090804,2.1739298575360033,2.4460597008083256,2.626783908545306,2.550580130427206,0.2582101340307289,0.287486573514205,0.2300308941238238,0.4096826320738085,0.5209117963489077,0.6201149327109079,0.3395085423917851,0.2371759694209909,0.2451815731604162,0.6672302112747933,0.496046561977754,0.6011072786518606,0.3803246693394996,0.322747357678516,0.4628474000187556,0.6921635607856196,0.3885351143954084,0.5744210141509678,0.427023633571675,0.539395036439309,0.523160089961638,0.3162461026151725,0.3481448803365313,0.4182309624952006,0.4257653500046118,0.2839009046337219,0.2970870581087299,0.3749429166464769,0.3675905120421374,0.3573686932834294,12,13,13,10,10,8,12,14,14,8.0,7,8,11.0,12.0,10,6.0,8.0,6.0,10,10.0,9.0,12,13,10.0,8,14,9,8,10.0,9,10,9,10,9,10,8,11,12,12,8.0,10,9,10.0,10.0,12,8.0,6.0,9.0,10,10.0,11.0,12,10,12.0,9,8,11,11,9.0,11,6,6,6,6,8,7,7,7,7,7.0,6,7,7.0,7.0,9,6.0,4.0,6.0,7,8.0,8.0,7,7,8.0,6,6,6,6,6.0,6,1,1,0,1,1,1,1,0,1,1.0,1,1,1.0,1.0,1,1.0,1.0,1.0,1,1.0,1.0,1,1,1.0,1,1,1,1,1.0,1
6.5,1.45585297330001,2.041722138412416,1.1487713126572854,2.222424327545383,3.393588318040925,4.307062115729393,2.1464090327014484,1.742275963700194,1.8026746473000048,4.1331853011339215,2.9480931616146013,2.9170671665541907,1.7771709985963964,1.9453003513339149,2.601872621468154,3.992846662353635,2.468099253861664,2.8314330601072935,2.515133015397921,3.4598916399661195,3.456454582954283,2.6872373507752947,2.5875396620670785,2.415557487571042,2.0361099948649817,1.4459188726807706,1.8438350509993755,2.6967888631968413,2.6023153745198453,1.986133888080714,0.194279072367037,0.2787120603570462,0.1586832250946283,0.3071889263127653,0.4763173640963216,0.5707789228845965,0.3228324477194931,0.2775667297120602,0.2702732459055181,0.6637433256200284,0.4223706353651433,0.4695338893047097,0.2770037614189553,0.2921104678174311,0.3497961522072362,0.6928265874648227,0.4066547064047064,0.4725777624680102,0.361220308339004,0.5078064274712142,0.4922118370190406,0.3718963152890842,0.354533685847961,0.350058953441303,0.304885416416117,0.235819696217768,0.2412966750801283,0.396967425514316,0.38261006458282,0.2687218377047788,13,14,13,12,11,9,11,14,15,9.0,8,10,13.0,13.0,12,6.0,9.0,6.0,12,11.0,10.0,12,13,11.0,10,14,11,9,11.0,11,11,11,12,10,12,10,12,13,13,9.0,11,10,11.0,12.0,13,8.0,7.0,11.0,12,12.0,13.0,13,12,13.0,10,9,11,12,10.0,12,6,7,6,6,9,8,7,8,8,8.0,6,7,7.0,8.0,9,6.0,5.0,6.0,8,9.0,9.0,8,8,8.0,6,6,6,7,7.0,6,1,1,0,1,1,1,1,1,1,1.0,1,1,1.0,1.0,1,1.0,1.0,1.0,1,1.0,1.0,1,1,1.0,1,1,1,1,1.0,1
7.5,1.4620015836931717,2.341268677822962,0.8252567335089127,2.579253230608737,2.9373177078247927,3.4591324941624664,1.7338052580330527,2.249052182561962,2.1273242262447325,4.3612791045017945,3.3142997771574283,2.4648618319562106,2.3219714557075144,1.788457375924241,2.4079359188617526,3.384368163558632,2.1559461474321675,2.327192659679018,2.3465144026798908,2.353263266957767,3.305499477829984,2.4248908307069015,2.3598933457612037,2.1638561394468994,2.410119676745194,1.6960345081167518,1.6386448171886498,2.0231129625881055,1.5548995239224108,1.169724793988531,0.190770672779756,0.3153883385960147,0.1127846794105671,0.3541406147938151,0.3988630562240738,0.4416621321332083,0.2693316008052311,0.3537083015119318,0.3088703430243597,0.6224563093253495,0.459282336406209,0.3970859777906992,0.350067020325337,0.2668798846572282,0.3077203689597925,0.6019895160395161,0.3606175786202102,0.3824431381532572,0.3306149873632597,0.3503674192961284,0.4959680906686978,0.3336648389196243,0.3198262083511828,0.3031574073601426,0.3727672913153461,0.2537463647766211,0.2062202103559682,0.3022864470754564,0.244335151973929,0.1667828236356605,14,14,14,12,12,11,12,14,15,10.0,10,11,14.0,14.0,14,6.0,9.0,6.0,14,12.0,12.0,13,13,12.0,11,14,11,10,12.0,12,11,12,13,11,13,11,10,13,12,11.0,11,11,13.0,12.0,15,7.0,8.0,13.0,14,13.0,13.0,13,13,14.0,10,9,12,11,10.0,11,6,8,6,7,9,8,6,9,8,9.0,7,7,9.0,8.0,10,5.0,5.0,6.0,9,8.0,10.0,8,8,8.0,7,6,6,6,6.0,5,0,1,0,1,1,1,1,1,1,1.0,1,1,1.0,1.0,1,1.0,1.0,1.0,1,1.0,1.0,1,1,1.0,1,1,1,1,1.0,1
8.5,1.816302063294624,2.5720736618336564,1.3440629238351258,2.1629651003800787,3.434815493929848,3.62458710961791,1.7852107449319456,2.382878851979825,2.0678834247010776,3.8084842420124305,3.6401036803579303,2.3154490598433637,2.2157242462977744,1.5728860014280444,2.430230747854513,3.8172089016955857,1.9760342471156576,2.1874183418291997,2.7509473393740502,1.9920649548515688,2.7012817156369486,2.2184111820414474,3.1203263221381947,2.0390257166668433,2.2210786738826584,1.9400346217545603,1.6709224110607832,1.408644265621975,1.0836544716058194,1.0268469755601326,0.2263840359103214,0.3729311124346256,0.1877722665413337,0.3083014971948678,0.4759831399143326,0.4583663791467952,0.2701414382785966,0.3777013992504805,0.2977822744526379,0.5381081841301487,0.5160876515361069,0.3736772953845036,0.3484272912971675,0.2265622884686742,0.2990267089658514,0.6630255522255523,0.341396926250564,0.3727765359059509,0.377401745048349,0.2875482684173436,0.3961876634989127,0.3089689559380459,0.4181726680599428,0.2978736267983374,0.3388412695857709,0.2966950526941239,0.2063323241957486,0.2039400562457837,0.1718823187390524,0.1503348716769837,14,14,14,13,12,13,12,14,13,11.0,11,12,14.0,15.0,15,5.0,8.0,6.0,14,12.0,13.0,14,12,12.0,12,14,11,10,11.0,13,10,12,13,11,13,13,10,12,11,12.0,11,11,13.0,13.0,15,7.0,9.0,13.0,15,15.0,15.0,13,13,12.0,10,8,12,11,10.0,11,6,9,7,7,10,10,6,9,7,9.0,8,7,9.0,8.0,10,5.0,5.0,6.0,10,8.0,10.0,8,9,7.0,7,6,6,5,5.0,5,0,1,0,1,1,1,1,1,1,1.0,1,1,1.0,1.0,1,1.0,1.0,1.0,1,1.0,1.0,1,1,1.0,1,1,1,1,0.0,0
9.5,1.5731203406003746,3.091535168125133,1.6969450379607245,1.8382140149934771,3.5141387978353364,3.4156629502208338,2.1414200796229745,2.764335676788913,2.2644905408025973,3.205811638527062,2.9508575748685395,1.9135410496222216,2.5413563834398385,1.988622304677869,1.887204232893112,3.28409288339623,2.072598150465822,1.7065746483424455,2.3528768895931096,1.6986637703842251,2.1487787403474905,2.34836738554191,3.2084322402411525,2.369742324419751,2.2040299693479675,2.1215201504390007,2.2449087328130295,0.7994280217078814,1.6969057027094263,0.5481193885187648,0.2058626343089763,0.4472969989461489,0.2449564662945825,0.2698441030937027,0.4799797138691614,0.4034120150618091,0.3398931043515645,0.4190456105194367,0.3478917184642282,0.4269985314221382,0.412024230022083,0.3022959143024157,0.3973228119645121,0.2761560968327611,0.246838135564723,0.5591742868242868,0.3558759877549351,0.2794133589149069,0.3319978416463393,0.246099282283801,0.3141336402593981,0.3124804983146954,0.421908613200637,0.3215100330096461,0.3304859590783874,0.3234733782729138,0.2847199678651018,0.1281073883031313,0.2688005030401315,0.0844125833208684,15,14,13,13,12,14,13,14,12,11.0,12,11,15.0,15.0,16,4.0,9.0,7.0,13,12.0,13.0,14,12,11.0,14,13,12,12,11.0,14,10,12,12,12,13,14,10,11,10,13.0,13,11,13.0,14.0,14,7.0,8.0,12.0,15,14.0,15.0,13,13,12.0,9,8,11,9,10.0,10,6,10,7,7,10,10,7,9,7,8.0,8,6,10.0,9.0,9,4.0,5.0,5.0,9,7.0,9.0,8,9,7.0,7,6,7,4,6.0,4,0,1,0,1,1,1,1,1,1,1.0,1,1,1.0,0.0,1,1.0,1.0,1.0,1,1.0,1.0,1,1,1.0,1,1,1,0,1.0,0
10.5,1.6997013664319172,3.661869087711033,1.23266056150618,1.7007871320815586,2.7047660474781345,3.1227812216139754,1.9206639400065892,2.830274004225043,2.434190252667894,3.018622743416977,3.112145437870668,1.384410903726344,2.7552546225772834,2.0396347309131353,2.1134053921413725,2.7062389036534245,2.422082136590013,1.978709303235962,2.21335706414428,1.9229524531609177,2.1824907156915514,2.167117035028327,3.3778416088765035,2.5014174478097204,2.3645785595830606,1.9930633436609608,2.841541687508077,1.4582876954157578,2.0206455148370277,0.4911654699825166,0.2375783219917188,0.527046433304211,0.180219501351612,0.2378020425678925,0.3722587910644567,0.3559713373907598,0.2935272469646087,0.4245504544690289,0.3441669920132365,0.4256562187942925,0.4397613154359587,0.2154857656447439,0.420222802550072,0.2977435343746456,0.2760728733052378,0.4452652208902208,0.3963242649163702,0.3247813811575421,0.3282362643006319,0.2921028729471124,0.324717256134955,0.2912751922201727,0.4498318530613133,0.3380330048897723,0.3765914006014625,0.2975339932588015,0.373248822659221,0.2466081513086157,0.3505115279457384,0.0818032308996099,14,13,13,12,13,15,14,14,12,11.0,11,11,14.0,14.0,16,3.0,7.0,9.0,13,11.0,13.0,12,11,12.0,14,12,12,12,11.0,14,9,13,11,11,13,15,11,11,10,13.0,13,11,13.0,12.0,13,7.0,9.0,12.0,15,13.0,15.0,13,13,13.0,8,9,11,8,8.0,9,6,11,6,6,9,10,7,9,7,8.0,8,5,10.0,8.0,9,3.0,5.0,6.0,9,7.0,9.0,7,9,8.0,7,6,8,5,6.0,4,0,1,0,1,1,1,1,1,1,1.0,1,1,1.0,0.0,1,1.0,1.0,1.0,1,1.0,1.0,1,1,1.0,1,1,1,0,1.0,0
11.5,1.326187468915193,3.3621777853853296,1.4408527731761038,1.521411070824611,2.392736151560493,3.0356520910096636,2.213621270238645,2.3629851468697076,1.8018428690401136,2.410373669462074,3.2128805923243076,1.0999193978091215,3.0290200543410113,1.610274688283249,2.2310809266995597,1.6261553913318485,0.3103707792024506,1.5619444220967496,2.1822624407022815,1.468632249939855,1.818592006276878,2.293100835276501,3.0971395260643337,2.858083447293531,2.916606395450509,2.310218557424195,3.0516068841296855,1.017584741883792,1.695557458113329,0.1074863461736261,0.1894538982689137,0.5150070288194329,0.2215071229151488,0.2076211770621953,0.3311300417400162,0.3771340142305068,0.3486302392950374,0.3471064922600022,0.2473417354542377,0.3471785911098369,0.4884583223442626,0.1747674913579712,0.4422917204078881,0.2390035430941083,0.2769770686239855,0.2771451132201132,0.0526498881837117,0.2627406591602412,0.3279317890143937,0.2279139628072828,0.2768538221116663,0.3355146733786995,0.4338845366195851,0.4171324647985537,0.4948340167400539,0.3282814599868207,0.3907821579446562,0.1843789921464844,0.2972240889485472,0.0192502169571054,14,12,13,10,13,15,15,14,12,11.0,10,9,12.0,14.0,16,2.0,8.0,10.0,12,11.0,12.0,12,10,12.0,12,11,12,12,11.0,14,8,12,10,11,12,14,11,11,10,13.0,12,10,14.0,12.0,13,7.0,7.0,10.0,14,12.0,15.0,11,12,13.0,7,9,11,7,7.0,8,5,10,6,5,8,10,8,8,6,7.0,8,4,10.0,7.0,9,2.0,2.0,5.0,8,6.0,8.0,7,8,9.0,7,6,8,4,5.0,3,0,1,0,1,1,1,1,1,1,1.0,1,0,1.0,0.0,1,1.0,1.0,1.0,1,1.0,1.0,1,1,1.0,1,1,1,0,1.0,0
12.5,2.0605595563690864,2.9832204992295215,1.2283311811484958,1.089299701389738,3.1168278085894467,3.4449035445663156,2.184948846560799,2.4037810275745426,2.1871471654944106,2.119110912874227,2.947865686861708,1.3413461003118847,2.402040525806645,1.1523352369204871,1.875472831448564,0.1811072358843521,-0.3312460436183582,2.0089349948541084,1.5689323433378954,1.406919033276795,1.536449611276309,1.8410695808731072,3.4965338577801,2.9552985642353624,2.867095325672908,2.8579453659209335,3.136631662961643,1.0004680277528928,2.107396122919747,-0.2383166148984158,0.2723972207702857,0.4324620870114913,0.189228423992588,0.1481671867777905,0.4562981941941189,0.4017786037997938,0.3359841944767716,0.3217939784760689,0.2965215811106678,0.3104614724101969,0.4586822750083854,0.2084626725957221,0.3650187265040738,0.1711607960738752,0.2273144898998291,0.0310844292961939,-0.0554032159017453,0.3415673679261915,0.2509882221256854,0.2148527731694577,0.2087480948778463,0.2650431373964723,0.4829062000210943,0.445062198791173,0.4598191247950535,0.3920477343101552,0.4057998614153379,0.1790720112189152,0.3685938817030922,-0.0437981060563104,14,12,12,10,13,14,13,14,12,10.0,8,9,10.0,14.0,16,1.0,8.0,10.0,10,10.0,10.0,9,9,12.0,13,11,12,12,10.0,12,8,12,9,10,11,14,13,12,11,12.0,12,9,13.0,14.0,12,8.0,6.0,8.0,12,13.0,17.0,10,12,12.0,7,10,11,7,6.0,7,6,9,5,4,9,10,8,8,7,6.0,7,4,8.0,7.0,8,1.0,1.0,5.0,6,6.0,7.0,5,8,9.0,7,7,8,4,5.0,2,0,1,0,0,1,1,1,1,1,1.0,1,0,1.0,0.0,1,0.0,0.0,0.0,1,0.0,1.0,1,1,1.0,1,1,1,0,1.0,0
