t_center,z_S_t__20170705_01_02_01,z_S_t__20170705_01_02_02,z_S_t__20170705_01_02_03,z_S_t__20170705_03_04_01,z_S_t__20170705_03_04_02,z_S_t__20170705_03_04_03,z_S_t__20170707_01_02_01,z_S_t__20170707_01_02_02,z_S_t__20170707_01_02_03,z_S_t__20170707_03_04_01,z_S_t__20170707_03_04_02,z_S_t__20170707_03_04_03,z_S_t__20170707_05_06_01,z_S_t__20170707_05_06_02,z_S_t__20170707_05_06_03,z_S_t__20170707_07_08_01,z_S_t__20170707_07_08_02,z_S_t__20170707_07_08_03,z_S_t__20170707_09_10_01,z_S_t__20170707_09_10_02,z_S_t__20170707_09_10_03,z_S_t__20170707_11_12_01,z_S_t__20170707_11_12_02,z_S_t__20170707_11_12_03,z_S_t__20170710_13_14_01,z_S_t__20170710_13_14_02,z_S_t__20170710_13_14_03,z_S_t__20170710_15_16_01,z_S_t__20170710_15_16_02,z_S_t__20170710_15_16_03,S_excess__20170705_01_02_01,S_excess__20170705_01_02_02,S_excess__20170705_01_02_03,S_excess__20170705_03_04_01,S_excess__20170705_03_04_02,S_excess__20170705_03_04_03,S_excess__20170707_01_02_01,S_excess__20170707_01_02_02,S_excess__20170707_01_02_03,S_excess__20170707_03_04_01,S_excess__20170707_03_04_02,S_excess__20170707_03_04_03,S_excess__20170707_05_06_01,S_excess__20170707_05_06_02,S_excess__20170707_05_06_03,S_excess__20170707_07_08_01,S_excess__20170707_07_08_02,S_excess__20170707_07_08_03,S_excess__20170707_09_10_01,S_excess__20170707_09_10_02,S_excess__20170707_09_10_03,S_excess__20170707_11_12_01,S_excess__20170707_11_12_02,S_excess__20170707_11_12_03,S_excess__20170710_13_14_01,S_excess__20170710_13_14_02,S_excess__20170710_13_14_03,S_excess__20170710_15_16_01,S_excess__20170710_15_16_02,S_excess__20170710_15_16_03,nA__20170705_01_02_01,nA__20170705_01_02_02,nA__20170705_01_02_03,nA__20170705_03_04_01,nA__20170705_03_04_02,nA__20170705_03_04_03,nA__20170707_01_02_01,nA__20170707_01_02_02,nA__20170707_01_02_03,nA__20170707_03_04_01,nA__20170707_03_04_02,nA__20170707_03_04_03,nA__20170707_05_06_01,nA__20170707_05_06_02,nA__20170707_05_06_03,nA__20170707_07_08_01,nA__20170707_07_08_02,nA__20170707_07_08_03,nA__20170707_09_10_01,nA__20170707_09_10_02,nA__20170707_09_10_03,nA__20170707_11_12_01,nA__20170707_11_12_02,nA__20170707_11_12_03,nA__20170710_13_14_01,nA__20170710_13_14_02,nA__20170710_13_14_03,nA__20170710_15_16_01,nA__20170710_15_16_02,nA__20170710_15_16_03,nB__20170705_01_02_01,nB__20170705_01_02_02,nB__20170705_01_02_03,nB__20170705_03_04_01,nB__20170705_03_04_02,nB__20170705_03_04_03,nB__20170707_01_02_01,nB__20170707_01_02_02,nB__20170707_01_02_03,nB__20170707_03_04_01,nB__20170707_03_04_02,nB__20170707_03_04_03,nB__20170707_05_06_01,nB__20170707_05_06_02,nB__20170707_05_06_03,nB__20170707_07_08_01,nB__20170707_07_08_02,nB__20170707_07_08_03,nB__20170707_09_10_01,nB__20170707_09_10_02,nB__20170707_09_10_03,nB__20170707_11_12_01,nB__20170707_11_12_02,nB__20170707_11_12_03,nB__20170710_13_14_01,nB__20170710_13_14_02,nB__20170710_13_14_03,nB__20170710_15_16_01,nB__20170710_15_16_02,nB__20170710_15_16_03,nM__20170705_01_02_01,nM__20170705_01_02_02,nM__20170705_01_02_03,nM__20170705_03_04_01,nM__20170705_03_04_02,nM__20170705_03_04_03,nM__20170707_01_02_01,nM__20170707_01_02_02,nM__20170707_01_02_03,nM__20170707_03_04_01,nM__20170707_03_04_02,nM__20170707_03_04_03,nM__20170707_05_06_01,nM__20170707_05_06_02,nM__20170707_05_06_03,nM__20170707_07_08_01,nM__20170707_07_08_02,nM__20170707_07_08_03,nM__20170707_09_10_01,nM__20170707_09_10_02,nM__20170707_09_10_03,nM__20170707_11_12_01,nM__20170707_11_12_02,nM__20170707_11_12_03,nM__20170710_13_14_01,nM__20170710_13_14_02,nM__20170710_13_14_03,nM__20170710_15_16_01,nM__20170710_15_16_02,nM__20170710_15_16_03,episode__20170705_01_02_01,episode__20170705_01_02_02,episode__20170705_01_02_03,episode__20170705_03_04_01,episode__20170705_03_04_02,episode__20170705_03_04_03,episode__20170707_01_02_01,episode__20170707_01_02_02,episode__20170707_01_02_03,episode__20170707_03_04_01,episode__20170707_03_04_02,episode__20170707_03_04_03,episode__20170707_05_06_01,episode__20170707_05_06_02,episode__20170707_05_06_03,episode__20170707_07_08_01,episode__20170707_07_08_02,episode__20170707_07_08_03,episode__20170707_09_10_01,episode__20170707_09_10_02,episode__20170707_09_10_03,episode__20170707_11_12_01,episode__20170707_11_12_02,episode__20170707_11_12_03,episode__20170710_13_14_01,episode__20170710_13_14_02,episode__20170710_13_14_03,episode__20170710_15_16_01,episode__20170710_15_16_02,episode__20170710_15_16_03
3.5,3.2554383336532653,3.556416989525713,3.1302660773444555,1.9476091790034649,1.4869326318101037,1.4523274273050937,1.8587681845604356,0.7665890321812789,2.2697436767242287,1.2490123634889931,1.9221270098282368,1.5408284563753256,2.3523133532354534,3.1157430766062726,2.846621155909619,3.189530997545822,2.572435734807088,3.1928365971920947,3.1069890127990245,2.878865142197742,2.6410046095641073,1.6729088708465998,2.6761201411449087,1.490449168814558,1.7065342914880746,1.277486338416736,1.4899346330060976,2.7119794377790387,3.0649364864542417,2.904133720282695,0.5983131071542835,0.5923326645920299,0.5337727825064513,0.3039896958622359,0.2395409366020229,0.2175791876676739,0.294340232033114,0.1594030705938243,0.3751594539045805,0.1900083582784753,0.2829683365739867,0.2009346336326212,0.4420943274046214,0.628463023088023,0.6340317897788486,0.6038633810633811,0.4598046698399639,0.6087401431901431,0.4798669107552235,0.4865500261004906,0.4092317693168918,0.225748445298065,0.2882983095318104,0.1986320971071375,0.2697708039208814,0.1772898987922981,0.2054078194393512,0.5914882201132201,0.5440124968169087,0.6017830003330005,6,6,6,8,10,10.0,8.0,7.0,10,9,11,11,6,6,6.0,6.0,8,6,7,7,8,10,10,6,10.0,11,13,6.0,7,6.0,6,6,7,11,10,11.0,10.0,11.0,12,9,7,8,8,6,6.0,6.0,6,6,8,6,8,9,13,11,7.0,8,10,7.0,8,7.0,6,6,6,7,8,8.0,7.0,6.0,10,6,7,6,6,6,6.0,6.0,6,6,7,6,7,7,10,6,6.0,6,8,6.0,7,6.0,1,1,1,0,0,0.0,1.0,0.0,0,0,0,0,1,1,1.0,1.0,1,1,1,1,1,0,1,0,0.0,0,0,1.0,1,1.0
4.5,3.1820312299121443,3.163852165712656,2.7696399937326257,1.879452653167283,0.9039980938779024,1.5590368356745494,1.714734449838575,0.7284674471770407,1.3257996444189704,0.8926122338742818,1.2329649148515462,1.1940068698305724,2.2667428516958874,2.7069731902728593,2.3802794152331153,3.116140444582459,2.1015106037472746,3.11498249538136,2.9209303076563824,2.1489835021275514,2.3574787375252084,1.649243859795129,2.6447117537197493,0.5214085863269958,1.0133995047396225,1.0868404729153391,1.3515141723269355,2.4739211478853056,2.693961194492217,2.965415935632817,0.5938923858820917,0.5197942502715722,0.4579429370423177,0.2977032467819342,0.1365026030509177,0.2357378745870373,0.2851478061368195,0.1600712382957366,0.2169033503318458,0.1238282409796422,0.1759682252799025,0.1588445461012865,0.4392475292681174,0.5042340501002266,0.5196346829640948,0.599632362082362,0.4004493713802537,0.6080788211788212,0.4224199819029775,0.3387481888424613,0.3568830428257672,0.2080589672248003,0.2642342353143554,0.0644484608919694,0.1497570612995535,0.1335953692894802,0.1760410757271175,0.4499707575104634,0.4467873922610495,0.5522887635240576,6,7,6,9,13,12.0,9.0,8.0,12,11,12,13,6,6,6.0,6.0,9,6,8,8,9,11,11,7,11.0,12,14,6.0,7,7.0,6,6,8,12,12,13.0,11.0,12.0,14,11,8,9,8,7,7.0,6.0,6,6,10,7,8,10,14,13,9.0,10,12,9.0,10,9.0,6,6,6,8,9,10.0,8.0,7.0,10,7,7,7,6,6,6.0,6.0,6,6,8,6,7,8,11,6,6.0,7,9,6.0,7,7.0,1,1,1,0,0,0.0,1.0,0.0,0,0,0,0,1,1,1.0,1.0,1,1,1,1,1,0,1,0,0.0,0,0,1.0,1,1.0
5.5,3.233619091907502,2.8075775893154953,2.81202535971785,1.6098250464048711,0.6475476299805516,1.2342720205048765,1.8373569872848183,0.6540914812735165,1.3375651244919438,0.3461766414216573,0.2967821767890838,0.4678076151666827,2.3431097916966768,2.17431654943251,2.1778040272005557,3.1075203607347004,1.8591846767168632,3.036339315838156,2.8893113764759093,2.0807484809649197,2.296604154188655,0.6843742621094943,2.5565332867434125,-0.2810071592845801,1.2013316900349016,0.3082123497309756,1.765878503462058,1.9973034934880456,2.1049219717486607,2.6497717800636904,0.596903793265558,0.4550255911700958,0.4353692739063482,0.2538686685391753,0.0971217817598053,0.1918868397422187,0.3095871925571225,0.1464601873767007,0.2194003674046333,0.0462567843467064,0.0397137072956059,0.0645495193264878,0.4434990364210951,0.4039540635319273,0.4354236017594377,0.599245831945832,0.3490703128570775,0.6036489232989233,0.3733469216387328,0.3177809395197166,0.3268482105419446,0.0840163283916991,0.2659564900011976,-0.0332815619466138,0.1574939980735377,0.0366454468283395,0.2215021894419353,0.3273660879454223,0.3333175432720762,0.4688148220802245,6,9,7,11,15,14.0,9.0,11.0,14,12,14,14,6,6,6.0,6.0,10,6,9,9,10,13,11,8,12.0,13,15,7.0,8,7.0,6,7,9,13,13,14.0,12.0,12.0,16,12,9,10,8,8,8.0,6.0,6,6,12,8,10,11,14,15,11.0,12,14,10.0,11,10.0,6,7,7,9,10,11.0,9.0,8.0,12,7,7,7,6,6,6.0,6.0,6,6,9,7,8,8,11,6,7.0,7,11,6.0,7,7.0,1,1,1,0,0,0.0,1.0,0.0,0,0,0,0,1,1,1.0,1.0,1,1,1,1,1,0,1,0,0.0,0,1,1.0,1,1.0
6.5,3.2036471771978836,2.842456053808286,2.6401606353283458,1.6095113681457889,0.4347854447471495,1.5552522064598555,1.449823528680647,0.8310507429330766,1.4444080438532625,0.2937836052175397,0.2913343174197155,0.5985911655720344,2.255926351445027,1.8188534678845456,1.8947108923405187,2.4295889583625025,1.4596405074201593,3.071006218182778,2.5559713789551637,1.4806055454623537,2.123080672409801,0.8365574276838397,1.9684688272292548,-0.6353039876424065,0.6368602695447584,0.4896334120576966,1.8352220536607529,1.8176838455487696,2.1699633994876946,2.4519846216142396,0.5979403397256339,0.4411261054906565,0.399209492709247,0.2590028171926785,0.0585369060766013,0.2324517719777693,0.2473238504024006,0.1874141839326059,0.232154003508067,0.0387909037663358,0.0375141146825237,0.0816595182678854,0.395754557044263,0.3316436295558587,0.3678645661012535,0.4326718975468975,0.2680174404027344,0.6080816128316129,0.3233299323240237,0.2046863314976553,0.2719368252576954,0.0924343223975139,0.2229030131136766,-0.0767029810321694,0.0788394727275835,0.0520817330979693,0.2215855845544403,0.2701796554924263,0.3248875667061883,0.4042006634232641,6,10,9,12,16,15.0,10.0,13.0,15,14,15,14,6,6,6.0,7.0,12,6,11,10,11,13,13,10,13.0,13,14,7.0,9,7.0,6,8,10,12,14,14.0,12.0,12.0,17,14,11,11,9,9,9.0,7.0,6,6,13,10,12,13,13,14,12.0,14,14,12.0,13,11.0,6,8,8,9,10,12.0,9.0,9.0,13,8,8,8,6,6,6.0,6.0,6,6,10,7,9,9,11,6,7.0,8,11,6.0,8,7.0,1,1,1,0,0,0.0,1.0,0.0,0,0,0,0,1,1,1.0,1.0,1,1,1,1,1,0,1,0,0.0,0,1,1.0,1,1.0
7.5,2.7477694832669144,1.8239824895120225,2.0256965661037154,1.8778153375838649,1.0199842238281909,1.944920836657363,1.4463968100919908,1.0620894130661325,1.217859725364212,0.2971831342010179,0.4430416931659282,1.259376676351433,2.579383295866263,1.378700520970979,1.6583497937346092,2.0657523967094984,1.9869532468634583,2.655774074357078,2.077438337192627,0.830328425562228,2.761532682666594,0.5006396697256208,1.5141132431493791,-0.191736530123901,0.7467961615610961,0.6295519179465316,2.1319394864534784,0.9007877359059,2.313519177356902,2.370772669806399,0.5219377258362553,0.2772782759895762,0.303357614387975,0.2998766588723044,0.14403655954486,0.2978292397588602,0.2452955037858847,0.2415803373767366,0.2077856206586802,0.0392190316842966,0.0533924558065338,0.1594549196060515,0.4895055669820375,0.250704563848604,0.2966052907103217,0.3528880614483556,0.348836735220404,0.522970917970918,0.2630241478011677,0.104911308088869,0.369760888672656,0.0555683571318676,0.1742522227065248,-0.0236745239894189,0.0854699782203807,0.06710321558773,0.2681067936146951,0.1331158900267259,0.3471759494980723,0.3766229172100689,7,12,10,13,16,15.0,12.0,15.0,15,14,15,14,6,6,6.0,7.0,12,7,13,11,11,12,12,12,13.0,13,13,7.0,11,7.0,6,9,11,12,14,12.0,12.0,11.0,15,14,12,13,8,10,11.0,8.0,7,6,13,12,12,14,13,14,14.0,16,14,12.0,13,11.0,6,8,8,10,11,12.0,10.0,10.0,12,8,9,10,6,6,6.0,6.0,7,6,10,7,10,8,10,7,8.0,9,11,5.0,9,7.0,1,1,1,1,0,0.0,0.0,0.0,0,0,0,0,1,1,1.0,1.0,1,1,1,0,1,0,1,0,0.0,0,1,1.0,1,1.0
8.5,2.1495641963843526,1.3262887225155673,1.939762866909911,2.0275027746220267,0.7584451423029156,1.33944751091734,1.8796553925269883,1.3182326182315345,0.9416556683269476,0.8183222029678301,0.3001733575432967,1.7951483515582949,2.809612423905226,1.1999679405797632,1.656773207451104,1.4462668627878243,2.1764417916935064,1.9822134749313576,1.5193248193738946,0.1850098732578789,1.9815563071629527,1.5193384747199523,0.6161009129333441,0.2319312226332744,1.5649926279481956,1.2144402415518245,2.6293251016915176,1.098301019279048,2.2374460170157144,2.0318446039361393,0.3999527242365477,0.1944268994096494,0.2806883062253402,0.3413762175602025,0.1016534692999001,0.2086113908384881,0.3175331926005375,0.2865259467166446,0.1462215715453939,0.1098625846679407,0.037112017059856,0.2415883673855944,0.5618156371406372,0.2100293686619538,0.2959268624650204,0.2211903206270853,0.3650873703008378,0.3778977633477633,0.1951114453709843,0.0231239878918289,0.257256835724886,0.1785655890349611,0.078357343515132,0.0326401355553556,0.1733326515098597,0.1240255740808577,0.3639785676791613,0.1453943884939039,0.3490718421707067,0.3225308812188843,9,13,12,14,15,14.0,14.0,17.0,15,14,14,13,6,6,6.0,8.0,12,7,14,12,11,11,13,14,12.0,13,13,8.0,11,8.0,6,11,12,11,15,12.0,13.0,11.0,16,13,12,12,7,11,11.0,9.0,8,6,13,13,12,13,12,13,15.0,16,13,14.0,13,11.0,6,8,9,11,10,10.0,12.0,11.0,11,9,8,11,6,6,6.0,6.0,8,5,9,7,9,9,9,8,9.0,10,12,6.0,9,7.0,1,1,1,1,0,0.0,1.0,0.0,0,0,0,1,1,0,1.0,1.0,1,1,1,0,1,0,0,0,0.0,0,1,0.0,1,1.0
9.5,2.173531049493318,0.9477852280285486,1.8689288303585223,2.0341369343261904,1.250687198692649,0.6807616135162742,1.9870880298109592,1.1779160016848913,1.4610726202055444,1.07710781172563,0.8170086713182227,1.9336656647947987,2.487892440532686,0.3218020645798904,1.4907054334063494,1.038751346619737,2.319531597967332,1.1379131853093103,1.3496223047572375,0.4748793687172523,1.4760120802804992,0.6057336097647438,0.7066495799136373,0.6908755942398477,1.440575952166032,1.2094664716639492,2.463523766330781,1.0357686446731735,1.8359406266464209,1.1728395779724534,0.3807459168368611,0.1375484686029335,0.2696266015519307,0.3353522388686528,0.1797784014799991,0.1088331389494129,0.3374108632243259,0.2417592519520839,0.2277416922131562,0.1528121769905609,0.1008048889976229,0.2599555825118181,0.4740764381043792,0.0571446148193052,0.2692086867037331,0.1573825776734445,0.3604450451767015,0.216236568986569,0.1864866906146157,0.0587108378929814,0.1806388399772704,0.0741818532836423,0.0926043403481847,0.0933555296155612,0.1622277280139981,0.1249654452734899,0.3408507074368476,0.1429063593699042,0.2979014014845028,0.1990240604167074,10,13,12,14,13,12.0,15.0,18.0,15,14,14,13,6,8,7.0,8.0,12,7,14,13,11,12,13,14,12.0,13,14,9.0,13,8.0,7,12,12,12,14,12.0,14.0,11.0,15,12,12,12,8,10,11.0,10.0,10,6,11,13,14,13,12,13,15.0,16,11,13.0,12,8.0,7,8,9,11,10,8.0,13.0,10.0,12,9,9,11,6,5,6.0,6.0,9,4,8,8,9,8,9,9,9.0,10,11,6.0,9,5.0,1,0,1,1,0,0.0,1.0,0.0,0,0,0,1,1,0,1.0,0.0,1,1,0,0,1,0,0,0,0.0,0,1,0.0,1,1.0
10.5,2.2103636790722927,0.388581433888745,1.944783265350783,2.187806791828079,1.509606024304642,1.109767977413096,1.844130245806028,1.1469693408338093,1.0087726473352476,0.8456379272223807,0.8382151762702417,2.480310396280898,2.17566868845104,0.4706558417597694,1.282654324535963,1.04139209756151,2.2510621149142653,1.7260118021117372,0.8933145937433795,0.2664523004074181,1.159080714829236,1.3971488232966989,0.9410157544111252,1.3412876547825343,1.2814403070463791,1.7751766289821191,1.4398748925519749,1.2883312482461446,2.071525574568433,0.5625379089752351,0.3648983789774037,0.0520814452251805,0.2898968429511739,0.3750539330519618,0.2112033059395409,0.1721619486012707,0.3066761949562534,0.23411029010965,0.1577482644706487,0.115295475713993,0.1051609531818145,0.3261886253396026,0.3765169253948666,0.0850595145308767,0.2308973571921713,0.1452214985994397,0.3088297806051205,0.3204681374181374,0.1295686589752211,0.0320865244789958,0.1386066878241048,0.1648807311296959,0.1145078361675615,0.1817333131066796,0.147588033145419,0.191628493508502,0.2095523731051258,0.1753323682472087,0.3506818827677758,0.1029670468420468,11,12,12,13,13,12.0,15.0,17.0,13,15,14,13,6,9,8.0,9.0,13,8,14,13,12,11,14,14,13.0,13,14,8.0,13,9.0,8,12,12,12,14,13.0,14.0,11.0,15,12,12,11,10,9,11.0,12.0,12,6,10,14,14,14,12,13,14.0,16,11,14.0,11,7.0,8,7,9,11,10,9.0,12.0,10.0,10,9,9,11,6,5,6.0,7.0,10,5,7,8,9,9,9,10,9.0,11,9,6.0,9,4.0,1,0,1,1,0,0.0,1.0,0.0,0,0,0,1,1,0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0,1,0.0,1,0.0
11.5,1.575814256354546,0.308875377230372,1.4108241223084772,2.0990182308219363,2.1020651924052416,0.8898069809615481,1.4039738363541825,1.042866015877377,0.7936919347136806,0.7793133783491711,0.7104485339210899,2.300444765303886,1.4529442401561616,0.3920740961384137,1.4265579495458758,1.6068567879362643,1.64651020773573,0.9584203438493748,1.0480589026303393,0.3439375679114476,1.6386494254599295,1.450547292321308,1.6207174717329456,1.3499963932637462,1.7939743104016908,1.7857266493427038,0.8167979291214511,0.8047442682112148,1.3493493450568408,0.7637988727366254,0.2500936599777931,0.0404403743741339,0.2093901015316326,0.3696194876127895,0.2989653289898706,0.140379254266188,0.220564784343983,0.2069455030210313,0.1367581079841324,0.1122352814767978,0.0895237319804179,0.2760667703475539,0.2563664906215215,0.0716265280642989,0.2658329243855559,0.1945700071256572,0.2130706494922943,0.1793108502608502,0.1562791669328114,0.0435230831196742,0.2020735767295689,0.1805179309391047,0.1865863038300795,0.1813703917601918,0.2114227265213212,0.1910528033405174,0.1154298753424228,0.1196798663324978,0.2236139208057165,0.1570766233766233,12,12,11,12,13,12.0,15.0,17.0,12,14,14,13,6,10,8.0,9.0,11,8,13,13,13,11,12,14,12.0,13,14,8.0,12,9.0,10,12,12,12,12,14.0,15.0,10.0,14,10,12,11,9,9,10.0,13.0,14,6,10,13,14,13,12,13,14.0,16,12,12.0,11,6.0,8,7,8,11,10,9.0,11.0,9.0,9,8,9,10,5,5,6.0,8.0,9,4,7,8,10,9,9,10,9.0,11,8,5.0,7,4.0,1,0,1,1,0,0.0,1.0,0.0,0,0,0,1,1,0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0.0,1,0.0
12.5,1.0411130695800026,0.6706710180080898,1.4721407746668211,2.31531975595428,1.5636099847528666,1.1680507316674638,1.9145846219022933,0.6511415955512266,1.1924430866253295,1.3612195286225008,0.4771803291194923,2.0298380203062565,1.259016409564626,-0.1647296697119273,1.3946281730057295,1.4517759979807705,1.3487713038238265,0.386630174974726,1.016279407891794,0.2384063449566943,1.283118307844994,1.3738172889098137,0.5343367637847127,1.2678107220278525,1.4713497872771852,1.5573631868056306,0.537340974799459,0.3612031879765099,0.5914979574759952,0.7404525362945898,0.1598662618091141,0.0938243489587244,0.2257131407356646,0.3847352856616022,0.2238013806896504,0.1757032501049611,0.3002372686225306,0.1270169674749504,0.2000643664711123,0.1953733539080981,0.0572663468793163,0.2489638061188001,0.217363350701586,-0.0316620819668807,0.2768223465646841,0.1678844238832764,0.1619269524475016,0.0710620157620158,0.1442287032960758,0.0312683397344792,0.1524164060471415,0.1848893330512984,0.0597820475948474,0.1655257963082569,0.1841968172028537,0.1707914097395104,0.0656756724432245,0.0589061621814717,0.0941107781978121,0.1690768342768343,13,12,11,10,13,13.0,15.0,16.0,13,14,13,12,7,11,8.0,9.0,11,7,12,14,14,12,13,14,12.0,12,15,7.0,9,9.0,11,11,12,12,11,16.0,15.0,11.0,14,10,13,10,9,8,9.0,14.0,15,6,12,11,15,11,12,13,13.0,15,13,11.0,11,4.0,8,7,8,10,9,11.0,12.0,8.0,10,9,8,9,5,4,6.0,8.0,9,3,7,8,10,9,8,10,8.0,10,8,4.0,5,3.0,0,0,0,1,0,0.0,1.0,0.0,0,0,0,1,0,0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0
