t_start,S__20170705_01_02_01,S__20170705_01_02_02,S__20170705_01_02_03,S__20170705_03_04_01,S__20170705_03_04_02,S__20170705_03_04_03,S__20170707_01_02_01,S__20170707_01_02_02,S__20170707_01_02_03,S__20170707_03_04_01,S__20170707_03_04_02,S__20170707_03_04_03,S__20170707_05_06_01,S__20170707_05_06_02,S__20170707_05_06_03,S__20170707_07_08_01,S__20170707_07_08_02,S__20170707_07_08_03,S__20170707_09_10_01,S__20170707_09_10_02,S__20170707_09_10_03,S__20170707_11_12_01,S__20170707_11_12_02,S__20170707_11_12_03,S__20170710_13_14_01,S__20170710_13_14_02,S__20170710_13_14_03,S__20170710_15_16_01,S__20170710_15_16_02,S__20170710_15_16_03,z_S_epoch__20170705_01_02_01,z_S_epoch__20170705_01_02_02,z_S_epoch__20170705_01_02_03,z_S_epoch__20170705_03_04_01,z_S_epoch__20170705_03_04_02,z_S_epoch__20170705_03_04_03,z_S_epoch__20170707_01_02_01,z_S_epoch__20170707_01_02_02,z_S_epoch__20170707_01_02_03,z_S_epoch__20170707_03_04_01,z_S_epoch__20170707_03_04_02,z_S_epoch__20170707_03_04_03,z_S_epoch__20170707_05_06_01,z_S_epoch__20170707_05_06_02,z_S_epoch__20170707_05_06_03,z_S_epoch__20170707_07_08_01,z_S_epoch__20170707_07_08_02,z_S_epoch__20170707_07_08_03,z_S_epoch__20170707_09_10_01,z_S_epoch__20170707_09_10_02,z_S_epoch__20170707_09_10_03,z_S_epoch__20170707_11_12_01,z_S_epoch__20170707_11_12_02,z_S_epoch__20170707_11_12_03,z_S_epoch__20170710_13_14_01,z_S_epoch__20170710_13_14_02,z_S_epoch__20170710_13_14_03,z_S_epoch__20170710_15_16_01,z_S_epoch__20170710_15_16_02,z_S_epoch__20170710_15_16_03,nA__20170705_01_02_01,nA__20170705_01_02_02,nA__20170705_01_02_03,nA__20170705_03_04_01,nA__20170705_03_04_02,nA__20170705_03_04_03,nA__20170707_01_02_01,nA__20170707_01_02_02,nA__20170707_01_02_03,nA__20170707_03_04_01,nA__20170707_03_04_02,nA__20170707_03_04_03,nA__20170707_05_06_01,nA__20170707_05_06_02,nA__20170707_05_06_03,nA__20170707_07_08_01,nA__20170707_07_08_02,nA__20170707_07_08_03,nA__20170707_09_10_01,nA__20170707_09_10_02,nA__20170707_09_10_03,nA__20170707_11_12_01,nA__20170707_11_12_02,nA__20170707_11_12_03,nA__20170710_13_14_01,nA__20170710_13_14_02,nA__20170710_13_14_03,nA__20170710_15_16_01,nA__20170710_15_16_02,nA__20170710_15_16_03,nB__20170705_01_02_01,nB__20170705_01_02_02,nB__20170705_01_02_03,nB__20170705_03_04_01,nB__20170705_03_04_02,nB__20170705_03_04_03,nB__20170707_01_02_01,nB__20170707_01_02_02,nB__20170707_01_02_03,nB__20170707_03_04_01,nB__20170707_03_04_02,nB__20170707_03_04_03,nB__20170707_05_06_01,nB__20170707_05_06_02,nB__20170707_05_06_03,nB__20170707_07_08_01,nB__20170707_07_08_02,nB__20170707_07_08_03,nB__20170707_09_10_01,nB__20170707_09_10_02,nB__20170707_09_10_03,nB__20170707_11_12_01,nB__20170707_11_12_02,nB__20170707_11_12_03,nB__20170710_13_14_01,nB__20170710_13_14_02,nB__20170710_13_14_03,nB__20170710_15_16_01,nB__20170710_15_16_02,nB__20170710_15_16_03,nM__20170705_01_02_01,nM__20170705_01_02_02,nM__20170705_01_02_03,nM__20170705_03_04_01,nM__20170705_03_04_02,nM__20170705_03_04_03,nM__20170707_01_02_01,nM__20170707_01_02_02,nM__20170707_01_02_03,nM__20170707_03_04_01,nM__20170707_03_04_02,nM__20170707_03_04_03,nM__20170707_05_06_01,nM__20170707_05_06_02,nM__20170707_05_06_03,nM__20170707_07_08_01,nM__20170707_07_08_02,nM__20170707_07_08_03,nM__20170707_09_10_01,nM__20170707_09_10_02,nM__20170707_09_10_03,nM__20170707_11_12_01,nM__20170707_11_12_02,nM__20170707_11_12_03,nM__20170710_13_14_01,nM__20170710_13_14_02,nM__20170710_13_14_03,nM__20170710_15_16_01,nM__20170710_15_16_02,nM__20170710_15_16_03
0.0,0.88,0.7647058823529411,0.8,0.8095238095238095,0.75,0.8444444444444444,0.8837209302325582,0.7727272727272727,0.9019607843137255,0.7906976744186046,0.7619047619047619,0.8095238095238095,0.88,0.8148148148148148,0.8148148148148148,0.8888888888888888,0.8125,0.8695652173913043,0.8,0.8888888888888888,0.8648648648648649,0.8292682926829268,0.782608695652174,0.7619047619047619,0.6666666666666666,0.7391304347826086,0.851063829787234,0.6666666666666666,0.8108108108108109,0.8,2.020830955987859,1.7364684544114404,2.2302364151458094,1.6907558101434284,0.8903101266552668,1.723977643565357,1.835209523741096,0.7618923920542494,2.5572207084946443,1.5730600411901767,0.8633016150856371,1.6305125894413914,1.9563897325048563,1.6091556092570718,1.832416249215187,2.129787782375638,1.7193935413150712,1.8475443868161323,2.4385047487289957,3.0660773080091306,2.8143253157971837,2.1544263191273445,0.589606106309879,1.1052641092627065,0.7945559541195851,1.6002043875341252,2.3674118828433834,1.380984846567789,2.32591013748015,2.4089663322171444,14,18,17,21,24,23,21,23,24,22,24,23,11,11,11,13,19,12,20,18,18,20,22,19,21,23,25,13,17,13,11,16,18,21,24,22,22,21,27,21,18,19,14,16,16,14,13,11,20,18,19,21,24,23,21,23,22,20,20,17,11,13,14,17,18,19,19,17,23,17,16,17,11,11,11,12,13,10,16,16,16,17,18,16,14,17,20,11,15,12
10.0,0.6842105263157895,0.65,0.7,0.7906976744186046,0.7924528301886793,0.8301886792452831,0.8,0.782608695652174,0.8163265306122449,0.6956521739130435,0.55,0.7441860465116279,0.4444444444444444,0.6153846153846154,0.8125,0.631578947368421,0.5238095238095238,0.48,0.7428571428571429,0.65,0.6382978723404256,0.7441860465116279,0.8085106382978723,0.76,0.631578947368421,0.8076923076923077,0.6545454545454545,0.5517241379310345,0.625,0.47619047619047616,0.5208243142582629,-0.9564596833225733,0.8223963523506311,1.5830255409876521,1.5310624236777077,1.8111628655204595,1.3729654803402331,0.9431364319365598,1.448937010225603,-0.5038225583255346,-0.6595518943117502,-0.07333205180990113,-0.4535596050741567,0.32249107979561825,1.398178836829854,0.260582790946549,-0.7091522543225502,-1.2067745188103238,1.0150789664501758,-0.7922667437097504,0.6449122804768586,-0.282095783108618,1.0829037666696828,0.5650457542863141,-0.532985426682083,2.467915246639169,0.5439014320102912,-0.2038630775510642,0.5560189852768143,0.15478686043633852,22,22,23,20,28,23,23,26,25,29,26,24,15,16,17,13,14,11,16,23,25,24,26,26,17,25,28,12,15,13,16,18,17,23,25,30,27,20,24,17,14,19,12,10,15,25,28,14,19,17,22,19,21,24,21,27,27,17,17,8,13,13,14,17,21,22,20,18,20,16,11,16,6,8,13,12,11,6,13,13,15,16,19,19,12,21,18,8,10,5
20.0,0.6428571428571429,0.6,0.5714285714285714,0.6857142857142857,0.5625,0.5882352941176471,0.6857142857142857,0.6666666666666666,0.6341463414634146,0.6666666666666666,0.7428571428571429,0.6666666666666666,0.5217391304347826,0.47619047619047616,0.8,0.5454545454545454,0.6666666666666666,0.6060606060606061,0.5,0.65,0.8108108108108109,0.7368421052631579,0.7027027027027027,0.7878787878787878,0.8571428571428571,0.8387096774193549,0.6842105263157895,0.47619047619047616,0.43478260869565216,0.72,-1.0402312729601095,-0.42863993830114805,-1.4084415767965994,0.3255217164822581,-1.2381832355012599,-0.7839339946179511,0.4155177154687256,0.29833397659253863,0.0897284983446846,-0.39058939785594804,-0.0480228003979708,-0.6343896012276099,-0.899280512915623,-0.6574297705866258,1.4309121643562404,-1.2011224450757383,-0.29300232032008566,-0.33027816556371065,-1.3414541274791452,-1.578938922254822,1.1538946068925249,-0.17326920896872178,-0.9031692509003691,-0.14045476117279987,1.7196210264955942,1.2880704829946015,-0.22255858371599352,-0.5221397444365381,-1.4897631610965651,0.8301368203802811,14,19,13,14,15,11,16,20,15,23,19,18,10,11,14,12,12,10,12,24,20,23,22,17,13,14,15,10,10,11,14,11,15,21,17,23,19,22,26,13,16,12,13,10,11,21,18,23,12,16,17,15,15,16,15,17,23,11,13,14,9,9,8,12,9,10,12,14,13,12,13,10,6,5,10,9,10,10,6,13,15,14,13,13,12,13,13,5,5,9
30.0,0.7272727272727273,0.6666666666666666,0.5217391304347826,0.6666666666666666,0.8235294117647058,0.8484848484848485,0.6875,0.8235294117647058,0.8108108108108109,0.75,0.7096774193548387,0.9230769230769231,0.5454545454545454,0.5217391304347826,0.2,0.7586206896551724,0.6206896551724138,0.7096774193548387,0.7142857142857143,0.7407407407407407,0.7407407407407407,0.9032258064516129,0.875,0.8823529411764706,0.64,0.6896551724137931,0.7428571428571429,0.6086956521739131,0.6666666666666666,0.47058823529411764,1.2732745566390173,-0.5076777631560997,-0.9604643443281017,-0.22272297198506466,0.9410156596652475,0.7669496237587214,-0.17271774960724234,0.7776300577764711,1.0644641170650622,1.022524177065345,-0.26438182805757987,2.7548479533934462,0.1563967045919384,-0.8158654442426453,-1.6132044772023144,0.8769807342164899,-0.21513668111801001,0.10003006683427872,0.9307620408700008,-0.6055357022361485,1.1787001736943823,1.6351774197499467,0.42894244390062825,0.7297964251810601,-0.3621682005756782,-0.6127250568711976,0.09563472768691414,0.18915797146274158,0.5790637461983488,-0.3875189178903495,13,14,12,11,17,16,17,17,16,19,17,14,13,12,13,13,14,13,14,11,13,17,15,17,12,13,15,11,10,8,9,13,11,16,17,17,15,17,21,13,14,12,9,11,7,16,15,18,14,16,14,14,17,17,13,16,20,12,11,9,8,9,6,9,14,14,11,14,15,12,11,12,6,6,2,11,9,11,10,10,10,14,14,15,8,10,13,7,7,4
40.0,0.7407407407407407,0.6,0.7407407407407407,0.6923076923076923,0.6153846153846154,0.6666666666666666,0.75,0.8571428571428571,0.5714285714285714,0.72,0.56,0.8666666666666667,0.5,0.6666666666666666,0.47619047619047616,0.8,0.875,0.7741935483870968,0.6086956521739131,0.64,0.7333333333333333,0.6896551724137931,0.9090909090909091,0.9032258064516129,0.7272727272727273,0.8387096774193549,0.8,0.2222222222222222,0.8461538461538461,0.5263157894736842,1.267361732009407,0.7860069904779304,0.18994401399466662,-0.17132679014039282,0.5138515376605172,0.15282988320587862,0.6020932444856651,0.8514116185863407,-1.194004911656722,1.1641057601248685,-0.1804142317810369,1.5491561480575418,0.05975533249001904,0.28442040346952363,-0.9137540385566374,0.6876625936746827,1.5789955184159061,0.5903316706951793,0.2555763367865771,0.0679233004785836,0.22413016476178318,-1.4036088702347211,1.163559085786611,1.3724783070213944,0.9499744956035452,1.044440251941601,0.7758122233932606,-1.8276825634501868,1.6812443011724243,-0.11133428483981557,16,13,11,10,16,14,18,17,12,15,16,17,8,12,8,13,15,14,13,15,13,15,17,16,12,16,13,9,14,10,11,7,16,16,10,13,14,18,16,10,9,13,8,12,13,17,17,17,10,10,17,14,16,15,10,15,17,9,12,9,10,6,10,9,8,9,12,15,8,9,7,13,4,8,5,12,14,12,7,8,11,10,15,14,8,13,12,2,11,5
50.0,0.7272727272727273,0.6153846153846154,0.64,0.7333333333333333,0.7058823529411765,0.8235294117647058,0.6875,0.6875,0.7878787878787878,0.6153846153846154,0.8484848484848485,0.7741935483870968,0.6956521739130435,0.72,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.7333333333333333,0.7692307692307693,0.8,0.6896551724137931,0.5185185185185185,0.7878787878787878,0.8,0.6153846153846154,0.7857142857142857,0.8888888888888888,0.45454545454545453,0.6956521739130435,0.6666666666666666,1.0520025317640254,-0.4944571551271096,-0.98367554110241,0.2922316717141092,-0.22397879082941458,0.3321158110215301,-0.1256703397689111,0.3779054218130699,0.7471864070318153,-0.42755204642598554,1.4132195870785134,0.34525060972694527,0.9273099659950609,0.5336422614102679,0.14654263912075596,0.17260474055788208,-1.314123976722586,0.26867277798714934,0.39787516503910614,0.4652832980331244,-0.32389478805763433,-2.705860626894596,0.14737088707601878,0.4729928256490979,-1.203525335933938,0.2521300894970616,1.8252266773651895,-1.1323364476375093,0.5597916818503592,0.4715529833198696,11,15,10,15,20,17,16,17,17,14,18,17,14,13,15,12,13,12,11,14,14,14,19,16,12,12,16,10,9,9,11,11,15,15,14,17,16,15,16,12,15,14,9,12,15,12,15,18,15,16,15,13,14,14,14,16,20,12,14,12,8,8,8,11,12,14,11,11,13,8,14,12,8,9,10,8,8,11,10,12,10,7,13,12,8,11,16,5,8,7
60.0,0.8148148148148148,0.8148148148148148,0.56,0.2222222222222222,0.6896551724137931,0.64,0.7333333333333333,0.7428571428571429,0.7407407407407407,0.6666666666666666,0.6666666666666666,0.7586206896551724,0.6666666666666666,0.6363636363636364,0.5833333333333334,0.7857142857142857,0.6923076923076923,0.6896551724137931,0.6086956521739131,0.7741935483870968,0.6666666666666666,0.72,0.8235294117647058,0.7857142857142857,0.7407407407407407,0.8666666666666667,0.6428571428571429,0.6086956521739131,0.4,0.5714285714285714,1.4870799076913164,0.7972875152562325,-1.1245624693228895,-4.316625817738871,-0.03846994007320489,-0.5224556063645117,0.40663773736078346,0.18666639271141633,0.6890753689637275,-0.8965018351204831,0.35105580261457875,0.8894298341196888,0.14198370523367948,0.8237467026396179,-0.24765323479548051,0.9314270030404688,-0.10457850796643363,-0.4264446204821448,0.15244053797712337,0.65921551169126,-0.04412356385165323,0.8746189434285859,-0.1780667156753004,0.19819835217331205,-0.5045450647609778,0.9743655772434329,-1.173049754768936,0.06515823321503282,-1.2481582737146897,-0.0285912393581958,15,13,11,6,16,9,16,17,14,16,14,16,12,13,11,13,10,11,12,17,11,14,17,14,11,14,13,10,10,10,12,14,14,12,13,16,14,18,13,14,10,13,12,9,13,15,16,18,11,14,13,11,17,14,16,16,15,13,10,11,11,11,7,2,10,8,11,13,10,10,8,11,8,7,7,11,9,10,7,12,8,9,14,11,10,13,9,7,4,6
70.0,0.64,0.8148148148148148,0.9285714285714286,0.75,0.7857142857142857,0.8648648648648649,0.8235294117647058,0.6060606060606061,0.7428571428571429,0.6896551724137931,0.7857142857142857,0.5925925925925926,0.6363636363636364,0.6666666666666666,0.6666666666666666,0.7857142857142857,0.7142857142857143,0.8823529411764706,0.38095238095238093,0.6923076923076923,0.7857142857142857,0.7586206896551724,0.8666666666666667,0.6153846153846154,0.6896551724137931,0.6666666666666666,0.75,0.7,0.6956521739130435,0.3333333333333333,-0.5929642988470117,0.9529953840371357,2.264374816834099,0.8584919704529815,0.40642447774975154,0.870412721718329,0.9676339486809298,-0.09813234300686795,-0.004186118197057568,0.129490903032304,1.4368685314743053,-1.2630286459626057,0.09231193871558453,0.3837267850544213,1.0459461637640497,0.724784866321884,-0.0424072732514846,1.819301420981405,-1.2988899434207328,0.14785436320695264,1.2864387619040438,-0.1366167075011978,0.8829316785433308,-1.4070180295941097,-0.2034292321164422,-0.6472516249409804,0.06448145778705963,0.711416554278235,0.514427297535976,-1.9358986331464447,11,14,15,19,12,20,19,20,17,17,16,16,11,10,16,13,11,15,13,14,14,14,16,12,13,13,13,10,10,7,14,13,13,13,16,17,15,13,18,12,12,11,11,11,8,15,17,19,8,12,14,15,14,14,16,14,19,10,13,11,8,11,13,12,11,16,14,10,13,10,11,8,7,7,8,11,10,15,4,9,11,11,13,8,10,9,12,7,8,3
80.0,0.5263157894736842,0.6666666666666666,0.5,0.7333333333333333,0.6428571428571429,0.8387096774193549,0.8,0.7333333333333333,0.7096774193548387,0.6086956521739131,0.8387096774193549,0.56,0.7692307692307693,0.64,0.3333333333333333,0.72,0.7142857142857143,0.56,0.7692307692307693,0.6923076923076923,0.48,0.7586206896551724,0.8387096774193549,0.8,0.6666666666666666,0.7878787878787878,0.8333333333333334,0.5,0.25,0.5555555555555556,-0.16037836972265487,-0.15896870688859285,-1.0722900323068638,0.32349260223000875,-0.1527859054234245,1.2069373259761063,0.9892412557328042,0.20679014463793596,-0.2308018733524606,0.28599577003744503,1.4013121876307661,-2.1280694646386684,0.9567951329373083,0.6033022598179526,-2.2347731551775203,0.5269364093528953,-0.33976837026015494,-1.2864315018835808,0.28155218664091974,-0.7042404087336718,-2.704597426173183,-0.0811038759052238,0.21680660242782657,0.8736471173132897,-0.16410423055377757,-0.2688586647775138,1.1893289485930008,0.41596762187335445,-2.3758870773550043,0.1736429731570197,11,15,12,14,15,16,15,12,14,13,17,13,14,15,5,13,10,8,10,12,10,14,16,16,12,14,17,9,5,8,8,12,12,16,13,15,15,18,17,10,14,12,12,10,13,12,18,17,16,14,15,15,15,14,12,19,19,7,11,10,5,9,6,11,9,13,12,11,11,7,13,7,10,8,3,9,10,7,10,9,6,11,13,12,8,13,15,4,2,5
90.0,0.6956521739130435,0.8571428571428571,0.8125,0.6666666666666666,0.8387096774193549,0.7741935483870968,0.6428571428571429,0.7741935483870968,0.75,0.4444444444444444,0.6666666666666666,0.7857142857142857,0.7,0.6428571428571429,0.6086956521739131,0.7692307692307693,0.8484848484848485,0.8,0.5454545454545454,0.6896551724137931,0.6896551724137931,0.9090909090909091,0.9032258064516129,0.5925925925925926,0.6428571428571429,0.7333333333333333,0.7142857142857143,0.4444444444444444,0.7272727272727273,0.6363636363636364,0.853626163143636,1.3582928196255695,1.1729763616964968,0.29482144950822614,1.5750559119393257,0.5196212608929918,0.10893891134320038,0.3010624926193244,0.7300695564039079,-0.630364105811955,1.3206508482366968,0.5470986784408765,0.9231849867034497,-0.2608485001871339,0.9350595902376997,0.5799348486676424,1.1621382831070213,0.9866857634870868,-0.24622213385080277,-0.6980354101933848,-0.8652798667524206,1.7249081186166553,1.3574703319869081,-1.5006547370630439,-0.729055949842197,-0.1345402502099734,-0.42624386875643566,-0.5499727829845784,1.157910857611323,0.4116489246089803,13,14,16,17,16,17,16,14,15,11,13,15,10,13,15,11,15,14,11,14,13,17,17,13,12,15,10,9,13,11,10,14,16,13,15,14,12,17,17,7,8,13,10,15,8,15,18,16,11,15,16,16,14,14,16,15,18,9,9,11,8,12,13,10,13,12,9,12,12,4,7,11,7,9,7,10,14,12,6,10,10,15,14,8,9,11,10,4,8,7
