t_start,S__20170706_01_02_01,S__20170706_01_02_02,S__20170706_01_02_03,S__20170706_03_04_01,S__20170706_03_04_02,S__20170706_03_04_03,S__20170706_05_06_01,S__20170706_05_06_02,S__20170706_05_06_03,S__20170706_11_12_01,S__20170706_11_12_02,S__20170706_11_12_03,S__20170710_01_02_01,S__20170710_01_02_02,S__20170710_01_02_03,S__20170710_07_08_01,S__20170710_07_08_02,S__20170710_07_08_03,S__20170714_01_02_01,S__20170714_01_02_02,S__20170714_01_02_03,S__20170714_03_04_01,S__20170714_03_04_02,S__20170714_03_04_03,S__20170714_05_06_01,S__20170714_05_06_02,S__20170714_05_06_03,S__20170714_07_08_01,S__20170714_07_08_02,S__20170714_07_08_03,z_S_epoch__20170706_01_02_01,z_S_epoch__20170706_01_02_02,z_S_epoch__20170706_01_02_03,z_S_epoch__20170706_03_04_01,z_S_epoch__20170706_03_04_02,z_S_epoch__20170706_03_04_03,z_S_epoch__20170706_05_06_01,z_S_epoch__20170706_05_06_02,z_S_epoch__20170706_05_06_03,z_S_epoch__20170706_11_12_01,z_S_epoch__20170706_11_12_02,z_S_epoch__20170706_11_12_03,z_S_epoch__20170710_01_02_01,z_S_epoch__20170710_01_02_02,z_S_epoch__20170710_01_02_03,z_S_epoch__20170710_07_08_01,z_S_epoch__20170710_07_08_02,z_S_epoch__20170710_07_08_03,z_S_epoch__20170714_01_02_01,z_S_epoch__20170714_01_02_02,z_S_epoch__20170714_01_02_03,z_S_epoch__20170714_03_04_01,z_S_epoch__20170714_03_04_02,z_S_epoch__20170714_03_04_03,z_S_epoch__20170714_05_06_01,z_S_epoch__20170714_05_06_02,z_S_epoch__20170714_05_06_03,z_S_epoch__20170714_07_08_01,z_S_epoch__20170714_07_08_02,z_S_epoch__20170714_07_08_03,nA__20170706_01_02_01,nA__20170706_01_02_02,nA__20170706_01_02_03,nA__20170706_03_04_01,nA__20170706_03_04_02,nA__20170706_03_04_03,nA__20170706_05_06_01,nA__20170706_05_06_02,nA__20170706_05_06_03,nA__20170706_11_12_01,nA__20170706_11_12_02,nA__20170706_11_12_03,nA__20170710_01_02_01,nA__20170710_01_02_02,nA__20170710_01_02_03,nA__20170710_07_08_01,nA__20170710_07_08_02,nA__20170710_07_08_03,nA__20170714_01_02_01,nA__20170714_01_02_02,nA__20170714_01_02_03,nA__20170714_03_04_01,nA__20170714_03_04_02,nA__20170714_03_04_03,nA__20170714_05_06_01,nA__20170714_05_06_02,nA__20170714_05_06_03,nA__20170714_07_08_01,nA__20170714_07_08_02,nA__20170714_07_08_03,nB__20170706_01_02_01,nB__20170706_01_02_02,nB__20170706_01_02_03,nB__20170706_03_04_01,nB__20170706_03_04_02,nB__20170706_03_04_03,nB__20170706_05_06_01,nB__20170706_05_06_02,nB__20170706_05_06_03,nB__20170706_11_12_01,nB__20170706_11_12_02,nB__20170706_11_12_03,nB__20170710_01_02_01,nB__20170710_01_02_02,nB__20170710_01_02_03,nB__20170710_07_08_01,nB__20170710_07_08_02,nB__20170710_07_08_03,nB__20170714_01_02_01,nB__20170714_01_02_02,nB__20170714_01_02_03,nB__20170714_03_04_01,nB__20170714_03_04_02,nB__20170714_03_04_03,nB__20170714_05_06_01,nB__20170714_05_06_02,nB__20170714_05_06_03,nB__20170714_07_08_01,nB__20170714_07_08_02,nB__20170714_07_08_03,nM__20170706_01_02_01,nM__20170706_01_02_02,nM__20170706_01_02_03,nM__20170706_03_04_01,nM__20170706_03_04_02,nM__20170706_03_04_03,nM__20170706_05_06_01,nM__20170706_05_06_02,nM__20170706_05_06_03,nM__20170706_11_12_01,nM__20170706_11_12_02,nM__20170706_11_12_03,nM__20170710_01_02_01,nM__20170710_01_02_02,nM__20170710_01_02_03,nM__20170710_07_08_01,nM__20170710_07_08_02,nM__20170710_07_08_03,nM__20170714_01_02_01,nM__20170714_01_02_02,nM__20170714_01_02_03,nM__20170714_03_04_01,nM__20170714_03_04_02,nM__20170714_03_04_03,nM__20170714_05_06_01,nM__20170714_05_06_02,nM__20170714_05_06_03,nM__20170714_07_08_01,nM__20170714_07_08_02,nM__20170714_07_08_03
0.0,0.6666666666666666,0.7804878048780488,0.7619047619047619,0.7027027027027027,0.8205128205128205,0.9444444444444444,0.8205128205128205,0.782608695652174,0.7619047619047619,0.9696969696969697,0.8,0.7647058823529411,0.9,0.6829268292682927,0.9302325581395349,0.9090909090909091,0.7857142857142857,0.7333333333333333,0.8292682926829268,0.8421052631578947,0.8,0.7727272727272727,0.85,0.7894736842105263,0.7058823529411765,0.631578947368421,0.6111111111111112,0.7647058823529411,0.6666666666666666,0.5789473684210527,0.05902175660649904,1.5542203921870088,1.3713414734441554,0.8063921958250911,1.7870886126109742,3.855998454902351,1.832245920275506,1.5432485421427948,1.0381738704100296,3.543981729567558,2.031724455709481,1.5982889264990419,2.606212881085625,0.3551785811055539,3.6549518376191434,2.5320394062173484,1.671448443520339,1.0450588070802542,2.0233165449441763,1.9853941294353596,1.886517116397355,1.8881060932812654,2.4303650065376607,1.9917104529428922,0.394820273379282,-0.41804970730813423,-0.45565102215281594,1.4746227672902323,0.07489239978397447,-0.3794287161890385,22,23,23,20,19,18,21,26,23,16,16,17,21,22,21,10,14,11,20,18,19,22,21,18,18,23,17,16,18,20,17,18,19,17,20,18,18,20,19,17,19,17,19,19,22,12,14,19,21,20,21,22,19,20,16,15,19,18,15,18,13,16,16,13,16,17,16,18,16,16,14,13,18,14,20,10,11,11,17,16,16,17,17,15,12,12,11,13,11,11
10.0,0.6285714285714286,0.6976744186046512,0.5882352941176471,0.6060606060606061,0.5454545454545454,0.7111111111111111,0.7916666666666666,0.7755102040816326,0.7083333333333334,0.8421052631578947,0.75,0.72,0.6666666666666666,0.7916666666666666,0.7906976744186046,0.14285714285714285,0.48,0.625,0.6,0.75,0.7,0.7586206896551724,0.6285714285714286,0.7441860465116279,0.7317073170731707,0.6666666666666666,0.7272727272727273,0.6666666666666666,0.6,0.5,-0.4593574657822091,-0.19989097168625963,-0.15169910708410955,-0.6335987017844146,-1.6315812092924953,1.5297056018789492,1.6338020604524626,1.7416212505883373,0.8224165352174869,2.75629703632449,0.9093584264781779,1.0223432834136457,-0.343678417531978,1.5869947888110412,1.149788366156116,-1.6239335744480268,0.0942066484803114,0.12166161632917902,0.2603722951598229,0.6569036183174854,1.1128824174830845,0.9212690826173524,-0.3672634028699834,1.0100557769984015,0.47263599269295614,0.33131400482411055,0.774745314782005,1.1688793269040572,-0.0015938614209270133,-0.4539040306178619,23,25,22,13,17,18,24,26,26,19,15,12,18,25,22,3,16,18,16,16,17,12,18,22,24,23,22,16,20,20,12,18,12,20,16,27,24,23,22,19,17,13,21,23,21,11,9,14,14,24,23,17,17,21,17,16,22,8,10,8,11,15,10,10,9,16,19,19,17,16,12,9,13,19,17,1,6,10,9,15,14,11,11,16,15,13,16,8,9,7
20.0,0.5925925925925926,0.8275862068965517,0.7142857142857143,0.8148148148148148,0.8666666666666667,0.7096774193548387,0.5142857142857142,0.5641025641025641,0.6842105263157895,0.7777777777777778,0.5454545454545454,0.5833333333333334,0.7741935483870968,0.875,0.6428571428571429,0.45454545454545453,0.4,0.5833333333333334,0.6206896551724138,0.7272727272727273,0.6,0.48,0.48,0.6363636363636364,0.6206896551724138,0.7142857142857143,0.7,0.631578947368421,0.72,0.7692307692307693,-0.44001104681552594,0.41322003722075473,0.4921784645695626,0.7205994350280784,1.3579070858123252,-0.9498333444487177,-0.4714555286396707,-1.1290046512304108,0.23692887760241887,1.411960540078317,0.12288875186018651,0.056978438957561446,0.5015969499485355,1.4599592163056674,0.28800434486210125,0.11251436533205839,-0.8117812625033585,0.22185347197326227,-1.4474412781907324,0.39304248855484714,-2.007947808312478,-1.366182320471064,-2.2880733778564375,-0.5113331407974497,0.1723671741523124,0.5389060553559363,-0.015478781398922946,0.47362368521135756,0.35036479115769575,0.9739888248104688,17,15,17,14,15,14,23,26,22,8,12,14,15,16,17,10,7,12,13,17,11,12,12,9,20,17,18,9,13,13,10,14,11,13,15,17,12,13,16,10,10,10,16,16,11,12,13,12,16,16,19,13,13,13,9,11,22,10,12,13,8,12,10,11,13,11,9,11,13,7,6,7,12,14,9,5,4,7,9,12,9,6,6,7,9,10,14,6,9,10
30.0,0.72,0.7,0.6923076923076923,0.6153846153846154,0.7692307692307693,0.896551724137931,0.6060606060606061,0.65,0.6363636363636364,0.3,0.7777777777777778,0.7619047619047619,0.5925925925925926,0.5925925925925926,0.7777777777777778,0.5,0.3157894736842105,0.3157894736842105,0.7647058823529411,0.6470588235294118,0.7586206896551724,0.64,0.8666666666666667,0.8148148148148148,0.64,0.4,0.7407407407407407,0.6363636363636364,0.3157894736842105,0.5,1.087661202140563,1.6076949819358084,0.23389755862197734,-1.1174790741238498,0.3440070217306189,2.046078710503056,0.031812739042095625,-1.0159538727574158,1.2360725243249078,-1.5604300682338328,1.8857941520439179,1.1475685977920063,-0.44567608060022257,0.5948495057154285,0.1201443962665817,0.5341630919044733,0.23575071065582645,-0.9403165096802683,0.32253678950660497,-0.511435735147091,0.6878189694064363,-0.47962771301326806,1.6741853120607866,0.9645169858174059,0.4599899700938316,-1.3685038517036827,-0.40031082085876174,0.1941772123369724,-0.22771931240380708,-0.06306067848698017,16,13,14,11,13,15,22,25,15,10,9,10,16,18,20,11,15,9,18,17,16,10,14,12,16,12,13,11,15,12,9,7,12,15,13,14,11,15,7,10,9,11,11,9,16,9,4,10,16,17,13,15,16,15,9,8,14,11,4,8,9,7,9,8,10,13,10,13,7,3,7,8,8,8,14,5,3,3,13,11,11,8,13,11,8,4,10,7,3,5
40.0,0.6666666666666666,0.8,0.6086956521739131,0.7857142857142857,0.7692307692307693,0.75,0.6153846153846154,0.6,0.7586206896551724,0.7,0.7142857142857143,0.6086956521739131,0.6086956521739131,0.75,0.6428571428571429,0.5217391304347826,0.3333333333333333,0.6428571428571429,0.7407407407407407,0.6666666666666666,0.7741935483870968,0.7096774193548387,0.7142857142857143,0.6086956521739131,0.6923076923076923,0.6666666666666666,0.7586206896551724,0.7692307692307693,0.5,0.64,0.6756632172630699,1.0935835539409318,-0.11998979684155368,0.7014840053452727,1.1592604390576653,-0.11278017132010945,0.29174346340446955,0.05081969710382105,0.6195296193627192,0.8089855083288,0.511081561303289,-0.4688964139584336,0.21227148678289878,0.03989788631682983,-0.9661262227147429,0.3536655877328434,-1.5535074034438892,0.5149106811300621,-0.03305910647801836,0.16124257797207028,0.25235850923797754,0.1305916576916477,0.038423852616283304,-0.5209715952119401,0.42667039501129805,-0.11598920466447966,-0.07621384951005628,0.8190796447849049,-2.3587434596915196,-0.36651168880490786,15,14,13,15,14,14,16,20,15,9,13,8,13,17,14,11,4,14,13,14,13,14,14,11,15,13,14,13,11,11,9,11,10,13,12,18,10,10,14,11,15,15,10,15,14,12,14,14,14,13,18,17,14,12,11,11,15,13,13,14,8,10,7,11,10,12,8,9,11,7,10,7,7,12,9,6,3,9,10,9,12,11,10,7,9,8,11,10,6,8
50.0,0.7692307692307693,0.5833333333333334,0.5833333333333334,0.8695652173913043,0.72,0.896551724137931,0.72,0.6666666666666666,0.8571428571428571,0.6363636363636364,0.782608695652174,0.3157894736842105,0.6875,0.7333333333333333,0.7741935483870968,0.2222222222222222,0.5,0.5454545454545454,0.8235294117647058,0.6666666666666666,0.5517241379310345,0.5454545454545454,0.6086956521739131,0.6363636363636364,0.5384615384615384,0.6923076923076923,0.7142857142857143,0.35294117647058826,0.6666666666666666,0.5833333333333334,0.861668320639134,-0.16361552417303357,-0.4225947068274573,1.9040636640007131,0.306460435520425,1.5610580348294971,0.5222702818195553,0.1717387431759309,1.6282981021998946,0.28589577234349645,1.3036647085479198,-1.2048347674999387,-0.17415691062046218,0.6920148369418981,0.9285229674905633,-1.1327793837346567,0.24975672180053093,0.930570396533619,0.6912468393274355,-0.040392682216025017,-1.7816513652735235,-1.3136286462765616,-1.5162136333326266,-1.1996394225864624,-0.7103266546744155,0.02359653269759206,-1.0501383028705114,-1.112265586605826,0.39144238262922076,-0.17323904122823838,15,15,14,11,13,15,12,15,14,8,11,10,17,18,18,7,4,15,16,16,12,9,10,8,16,14,12,10,11,13,11,9,10,12,12,14,13,12,14,14,12,9,15,12,13,11,8,7,18,14,17,13,13,14,10,12,16,7,10,11,10,7,7,10,9,13,9,9,12,7,9,3,11,11,12,2,3,6,14,10,8,6,7,7,7,9,10,3,7,7
60.0,0.64,0.8,0.5714285714285714,0.6896551724137931,0.5,0.8666666666666667,0.6086956521739131,0.6666666666666666,0.6086956521739131,0.5454545454545454,0.5217391304347826,0.5454545454545454,0.6666666666666666,0.7142857142857143,0.8484848484848485,0.5384615384615384,0.7407407407407407,0.4,0.7692307692307693,0.6451612903225806,0.8571428571428571,0.7619047619047619,0.7407407407407407,0.896551724137931,0.6923076923076923,0.6153846153846154,0.7096774193548387,0.5,0.5833333333333334,0.7058823529411765,-0.021352229831078758,1.3942965348760092,0.5636674364822639,-0.10137496206757109,-0.048986036475452806,1.2053940596719515,0.35102271500520343,0.03507927349876626,-0.35737580169873606,-0.21817159528415406,-0.5408660219971002,-0.7082309631521281,-0.043168899064845286,0.3318058733116441,1.2219623909978745,0.26476871671167057,0.7397296731111563,-0.5896113369086091,0.36549442144011685,-0.6505713883686386,0.9451157331210551,1.0439519575670915,0.5771034963539129,1.7663144506122284,0.31564868356042053,0.07491368577483813,-0.6800541886085992,-1.1099320833658728,0.0734680974115815,1.9812182768159532,15,14,14,15,13,14,13,15,12,10,10,8,14,15,18,12,13,6,11,13,16,10,13,15,15,17,16,8,14,10,10,11,7,14,7,16,10,12,11,12,13,14,13,13,15,14,14,9,15,18,19,11,14,14,11,9,15,12,10,7,8,10,6,10,5,13,7,9,7,6,6,6,9,10,14,7,10,3,10,10,15,8,10,13,9,8,11,5,7,6
70.0,0.8888888888888888,0.7692307692307693,0.782608695652174,0.6923076923076923,0.7586206896551724,0.5833333333333334,0.6363636363636364,0.64,0.8275862068965517,0.47058823529411764,0.88,0.6666666666666666,0.8148148148148148,0.7586206896551724,0.7428571428571429,0.5,0.26666666666666666,0.5833333333333334,0.6666666666666666,0.8421052631578947,0.6896551724137931,0.8148148148148148,0.6666666666666666,0.7142857142857143,0.5454545454545454,0.7407407407407407,0.8275862068965517,0.5333333333333333,0.5454545454545454,0.5833333333333334,1.5340624122359154,1.017341184100552,0.8230708445733628,-0.43479890629926615,0.04538509890820423,-1.4774677089226775,0.22505296590977683,-0.35034255743688475,1.285560243954966,-1.0569713260682612,1.451320830177945,0.8821838939486698,1.099082268804686,0.6824758251954137,-0.1562597658320991,0.3374462469184591,0.5626577481118035,0.5458158690928403,-0.9574119293640379,0.7032438141001806,-0.7418070525881327,0.9157718097603226,-0.6076836616051818,0.1932107451677717,-0.6771684680923826,0.3259112314437435,1.3745421062272476,1.382257404068597,-0.20441016920067284,-0.9350565417553598,14,15,11,12,14,11,11,12,16,7,12,8,12,15,20,6,13,15,14,19,12,14,12,14,13,14,16,10,13,10,13,11,12,14,15,13,11,13,13,10,13,10,15,14,15,10,2,9,16,19,17,13,15,14,9,13,13,5,9,14,12,10,9,9,11,7,7,8,12,4,11,6,11,11,13,4,2,7,10,16,10,11,9,10,6,10,12,4,6,7
80.0,0.5454545454545454,0.7857142857142857,0.7619047619047619,0.8148148148148148,0.8148148148148148,0.8235294117647058,0.7,0.6363636363636364,0.47619047619047616,0.7,0.8235294117647058,0.75,0.8275862068965517,0.5714285714285714,0.6875,0.3157894736842105,0.7857142857142857,0.72,0.7741935483870968,0.7741935483870968,0.8571428571428571,0.7272727272727273,0.4,0.75,0.6923076923076923,0.7857142857142857,0.7692307692307693,0.782608695652174,0.631578947368421,0.5,0.49311734736198326,0.3661037180492618,1.5680430044873321,0.7453178261736201,2.0014718039779247,0.9185756981916032,1.4368886787981405,0.18981914757334284,0.32060958295682057,0.609416875032224,1.608449729680041,1.0213561712759425,1.0804197864681584,-0.9993843353138573,0.5254700551803712,-0.9615736681486166,1.2777854236380293,0.36764211714693296,0.3709441002358333,0.04380617762558645,2.0444107529324693,0.6848211406739244,-1.6492784519924564,0.17889546882769888,-0.029261485447197724,1.4843679784465864,0.3920651892541242,1.0406670468949897,0.5509187042884082,0.21587961189396862,15,15,12,13,14,16,11,11,15,9,7,12,15,15,21,5,14,10,16,13,15,11,12,10,14,16,13,10,11,13,7,13,9,14,13,18,9,11,6,11,10,12,14,13,11,14,14,15,15,18,13,11,8,14,12,12,13,13,8,7,6,11,8,11,11,14,7,7,5,7,7,9,12,8,11,3,11,9,12,12,12,8,4,9,9,11,10,9,6,5
90.0,0.6666666666666666,0.6956521739130435,0.5263157894736842,0.8461538461538461,0.64,0.6666666666666666,0.72,0.6666666666666666,0.8148148148148148,0.7619047619047619,0.7368421052631579,0.3333333333333333,0.5454545454545454,0.75,0.6666666666666666,0.14285714285714285,0.0,0.56,0.9285714285714286,0.8333333333333334,0.7878787878787878,0.64,0.6086956521739131,0.8571428571428571,0.7407407407407407,0.7407407407407407,0.8,0.3333333333333333,0.23529411764705882,0.4166666666666667,-0.8787950154184323,0.5004458868715804,0.15662717160143313,1.3863639656602993,-0.23758772791694305,-0.8396574620892499,0.6072582060245635,-0.18822577762516365,1.3112523359961223,1.5268991194510722,0.8860367203817859,-2.149643586993741,-0.623912360124176,0.2868120015088133,-0.8243870582389563,-1.572737033254224,-1.8032603765073154,0.16507336372523712,2.1814856056808796,0.6905381706704331,0.4715895026351846,0.14969438368444746,0.2044333344927966,1.6744603940433598,0.1982622743412156,0.3439166274348037,0.7972252397967298,-0.8810576132438264,-0.6987700721933314,-1.7788492370325244,15,13,12,13,14,13,11,11,15,11,8,6,12,18,10,3,0,15,14,18,15,14,14,14,14,14,17,12,13,13,12,10,7,13,11,14,14,13,12,10,11,12,10,14,14,11,3,10,14,18,18,11,9,14,13,13,13,6,4,11,9,8,5,11,8,9,9,8,11,8,7,3,6,12,8,1,0,7,13,15,13,8,7,12,10,10,12,3,2,5
