t_center,S,nA,nB,nM,S_null_mean,S_null_sd,z_S_t,S_excess,episode
3.5,0.8,8,7,6,0.5970068199430429,0.12218677232452357,1.6613351526940632,0.2029931800569571,0
4.5,0.6666666666666666,10,8,6,0.6451849642703358,0.13041786972792518,0.16471440946816177,0.02148170239633085,0
5.5,0.6363636363636364,12,10,7,0.6526625541222661,0.1253900157801446,-0.1299857700569068,-0.016298917758629794,0
6.5,0.64,13,12,8,0.6655890097632883,0.12733317703470634,-0.20096105633423125,-0.025589009763288262,0
7.5,0.6153846153846154,14,12,8,0.6784038769883143,0.13870486152796035,-0.4543406835887676,-0.06301926160369886,0
8.5,0.6428571428571429,15,13,9,0.6660057797720942,0.11920358020231557,-0.19419414144829192,-0.02314863691495128,0
9.5,0.7586206896551724,15,14,11,0.6372266635291841,0.10961129667193778,1.10749557583755,0.12139402612598826,0
10.5,0.7692307692307693,14,12,10,0.6391120526393336,0.11964913100301738,1.087502395551492,0.1301187165914357,0
11.5,0.7692307692307693,14,12,10,0.6288977745018625,0.1180038250799759,1.1892241173860048,0.1403329947289068,0
12.5,0.7857142857142857,14,14,11,0.6277027730373005,0.11175054395246085,1.4139663852034936,0.1580115126769852,0
13.5,0.8148148148148148,13,14,11,0.6273805977665111,0.11496718418784661,1.630327979000095,0.18743421704830365,0
14.5,0.7407407407407407,14,13,10,0.6543239368562069,0.1307302742622827,0.6610313056573008,0.08641680388453377,0
15.5,0.8,15,15,12,0.6456661031623581,0.12014939521176485,1.2845166350244752,0.15433389683764198,0
16.5,0.8275862068965517,15,14,12,0.6781920714677498,0.12479087150598311,1.1971559588125735,0.14939413542880187,0
17.5,0.8148148148148148,15,12,11,0.6667318768238387,0.12889529651729958,1.1488622315330272,0.14808293799097605,0
18.5,0.782608695652174,13,10,9,0.6970257112953303,0.12035409480941768,0.7110932494018208,0.08558298435684364,0
19.5,0.8,10,10,8,0.6903397288959376,0.10913618859419837,1.004802096505429,0.1096602711040624,0
20.5,0.7777777777777778,9,9,7,0.7311531015883654,0.10711171596567264,0.43529016194974146,0.04662467618941235,0
21.5,0.7777777777777778,9,9,7,0.7375991020413757,0.12480771395712369,0.3219246187796136,0.0401786757364021,0
22.5,0.8421052631578947,9,10,8,0.7540834956472761,0.1287411298794067,0.6837113173782896,0.08802176751061863,0
23.5,0.8421052631578947,9,10,8,0.7744380025879657,0.1247548298032675,0.5424019308642165,0.067667260569929,0
