t_center,S,nA,nB,nM,S_null_mean,S_null_sd,z_S_t,S_excess,episode
3.5,0.9230769230769231,7,6,6,0.76906967993307,0.09729706542793917,1.582855993307579,0.15400724314385317,0
4.5,0.9333333333333333,8,7,7,0.7352886123766155,0.08679664291890346,2.2817094566866674,0.19804472095671788,1
5.5,0.9411764705882353,9,8,8,0.7510966631150068,0.0908476361677676,2.0922922762922487,0.1900798074732285,1
6.5,0.9,10,10,9,0.7098043192587613,0.09079698457156736,2.0947356527167926,0.19019568074123872,1
7.5,0.8695652173913043,11,12,10,0.6874929539632231,0.08885784807625564,2.049028503051652,0.18207226342808125,1
8.5,0.88,12,13,11,0.6867679355651303,0.08914739658418262,2.167557010511228,0.19323206443486973,1
9.5,0.8461538461538461,13,13,11,0.6905563672941079,0.08343474289656339,1.864900321591897,0.1555974788597383,1
10.5,0.8148148148148148,13,14,11,0.6665545352443979,0.08298673830574299,1.7865538831540835,0.14826027957041688,1
11.5,0.8461538461538461,13,13,11,0.7045509819524188,0.08705094008227435,1.6266666858232015,0.14160286420142731,1
12.5,0.8,14,11,10,0.7484769137541988,0.08420969493959266,0.6118426896423393,0.051523086245801264,0
13.5,0.782608695652174,13,10,9,0.7299891043985404,0.08704875122897385,0.6044841598614381,0.05261959125363358,0
14.5,0.7619047619047619,12,9,8,0.7123931497123447,0.08213702952861182,0.6027928265310615,0.049511612192417176,0
15.5,0.7368421052631579,12,7,7,0.7212826323745055,0.09562899167432833,0.1627066501092188,0.015559472888652337,0
16.5,0.631578947368421,13,6,6,0.7290576612499988,0.09712224672886938,-1.0036702935188841,-0.0974787138815778,0
17.5,0.6666666666666666,12,6,6,0.7485898122001837,0.102913512106739,-0.796038769413959,-0.0819231455335171,0
18.5,0.6666666666666666,11,7,6,0.7646727850237138,0.09725154541585344,-1.0077589814945065,-0.0980061183570472,0
19.5,0.631578947368421,11,8,6,0.775611994103248,0.09307498374031721,-1.5474947289454781,-0.14403304673482697,0
20.5,0.6666666666666666,12,9,7,0.7985607955168328,0.0901329218676284,-1.4633291156795003,-0.13189412885016616,0
21.5,0.7619047619047619,11,10,8,0.7825767440875632,0.0914389669440259,-0.22607410028435254,-0.020671982182801307,0
22.5,0.8421052631578947,10,9,8,0.8003917196494597,0.09124576302182234,0.4571559503366619,0.041713543508435036,0
23.5,0.7619047619047619,12,9,8,0.8162485128218875,0.08958083046640894,-0.6066448662529811,-0.05434375091712562,0
24.5,0.7619047619047619,12,9,8,0.8150309009531921,0.09143391927211711,-0.5810331600280763,-0.05312613904843022,0
25.5,0.7619047619047619,12,9,8,0.8130952850898672,0.08887665953935434,-0.5759726282516084,-0.05119052318510531,0
26.5,0.7619047619047619,13,8,8,0.8337034512529096,0.08714345477862531,-0.823913735466896,-0.0717986893481477,0
27.5,0.782608695652174,14,9,9,0.8252165399529952,0.08731242115166203,-0.4879929308890794,-0.04260784430082121,0
28.5,0.7,13,7,7,0.7917953937101772,0.08850710253620232,-1.0371528507853915,-0.0917953937101772,0
29.5,0.7368421052631579,12,7,7,0.8176053278592753,0.0891427747949764,-0.9059985263176801,-0.08076322259611746,0
30.5,0.7142857142857143,9,5,5,0.7169944619106384,0.09942380628903934,-0.027244457097623118,-0.002708747624924124,0
31.5,0.7692307692307693,7,6,5,0.7710573165053041,0.09559465290922736,-0.019107211741949705,-0.0018265472745347955,0
32.5,0.7692307692307693,6,7,5,0.7633614800490188,0.10298927864594011,0.05698932217913751,0.005869289181750448,0
33.5,0.6,3,7,3,0.7773130665430201,0.09887627349680787,-1.7932822533885697,-0.17731306654302015,0
34.5,0.7272727272727273,4,7,4,0.7809116588949407,0.09969784801268902,-0.5380149390525116,-0.05363893162221345,0
35.5,0.8,6,9,6,0.8261435387453964,0.08936533973639858,-0.2925467392896626,-0.026143538745396322,0
36.5,0.8235294117647058,8,9,7,0.8213492159285504,0.08849763209535566,0.02463564035031272,0.002180195836155474,0
37.5,0.875,8,8,7,0.833472846176871,0.08716982274173549,0.47639369356255984,0.04152715382312899,0
38.5,0.8235294117647058,8,9,7,0.8248808366298305,0.08553701538000855,-0.015799298807899247,-0.0013514248651246286,0
39.5,0.75,8,8,6,0.8117288877445225,0.09449189664231857,-0.6532717612620862,-0.061728887744522454,0
40.5,0.75,8,8,6,0.8425342238858493,0.08752016299932121,-1.0572903513281504,-0.09253422388584931,0
41.5,0.75,8,8,6,0.8028814980856778,0.09176958315809582,-0.5762421083963769,-0.05288149808567777,0
42.5,0.8,8,7,6,0.799150234509213,0.09354618745063244,0.009083913668160241,0.00084976549078708,0
43.5,0.6666666666666666,9,6,5,0.7784861757351695,0.09422253454005658,-1.186759723821326,-0.11181950906850291,0
44.5,0.6666666666666666,7,5,4,0.6592888877462406,0.10953879062081802,0.06735311644954255,0.007377778920426015,0
45.5,0.4,7,3,2,0.505597890997891,0.10961746391343746,-0.963330907575816,-0.10559789099789096,0
46.5,0.4444444444444444,6,3,2,0.5258912587412587,0.10501618292990623,-0.7755644132597789,-0.08144681429681433,0
47.5,0.7272727272727273,7,4,4,0.5820756233962116,0.11352922842924676,1.2789402859987278,0.14519710387651574,0
48.5,0.7272727272727273,7,4,4,0.6261094606374018,0.11202075218457756,0.9030761235082397,0.10116326663532549,0
49.5,0.6666666666666666,6,6,4,0.7469534903091405,0.10203367082291614,-0.7868659727220353,-0.08028682364247386,0
50.5,0.8,7,8,6,0.8256022165485015,0.08723278377050622,-0.2934930589382119,-0.025602216548501477,0
51.5,0.8,6,9,6,0.8310087456918727,0.08557624453000834,-0.36235226098288326,-0.03100874569187262,0
