n_A,n_B,n_matched,z_S,p_S,ETR,Max_episode,T_overlap,timeline_csv,file_a,file_b,condition
227,202,164,0.727775774,0.272072793,0.04494382,4,178,out/pair_20170705_01_02_01_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170705_01_02_01_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170705_01_02_01_B.csv,invisible_pair_Human
248,223,180,0.355135471,0.403759624,0,0,178.6,out/pair_20170705_01_02_02_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170705_01_02_02_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170705_01_02_02_B.csv,invisible_pair_Human
226,240,176,-0.037447623,0.557244276,0.016787913,3,178.7,out/pair_20170705_01_02_03_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170705_01_02_03_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170705_01_02_03_B.csv,invisible_pair_Human
247,261,190,1.695287261,0.057794221,0,0,178.8,out/pair_20170705_03_04_01_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170705_03_04_01_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170705_03_04_01_B.csv,invisible_pair_Human
290,273,212,1.108791685,0.158984102,0,0,178.6,out/pair_20170705_03_04_02_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170705_03_04_02_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170705_03_04_02_B.csv,invisible_pair_Human
280,299,230,2.694431599,0.00389961,0.016872891,3,177.8,out/pair_20170705_03_04_03_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170705_03_04_03_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170705_03_04_03_B.csv,invisible_pair_Human
259,267,203,2.630410062,0.01139886,0.050647158,9,177.7,out/pair_20170707_01_02_01_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_01_02_01_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_01_02_01_B.csv,invisible_pair_Human
254,283,199,1.811669505,0.055494451,0,0,173.2,out/pair_20170707_01_02_02_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_01_02_02_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_01_02_02_B.csv,invisible_pair_Human
274,316,222,1.672141017,0.053094691,0.033594625,6,178.6,out/pair_20170707_01_02_03_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_01_02_03_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_01_02_03_B.csv,invisible_pair_Human
294,216,183,0.41416934,0.404059594,0,0,178.9,out/pair_20170707_03_04_01_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_03_04_01_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_03_04_01_B.csv,invisible_pair_Human
293,210,188,1.003316259,0.196980302,0,0,178.7,out/pair_20170707_03_04_02_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_03_04_02_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_03_04_02_B.csv,invisible_pair_Human
291,223,204,3.029577652,0.00049995,0.033613445,3,178.5,out/pair_20170707_03_04_03_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_03_04_03_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_03_04_03_B.csv,invisible_pair_Human
197,181,134,-0.12854649,0.606039396,0,0,178.4,out/pair_20170707_05_06_01_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_05_06_01_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_05_06_01_B.csv,invisible_pair_Human
210,191,142,-0.006701073,0.553444656,0,0,178.3,out/pair_20170707_05_06_02_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_05_06_02_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_05_06_02_B.csv,invisible_pair_Human
200,202,143,-0.628669477,0.779822018,0,0,177.1,out/pair_20170707_05_06_03_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_05_06_03_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_05_06_03_B.csv,invisible_pair_Human
218,277,200,2.142581294,0.02469753,0.016930023,3,177.2,out/pair_20170707_07_08_01_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_07_08_01_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_07_08_01_B.csv,invisible_pair_Human
233,303,199,-1.832302384,0.97580242,0.016797312,3,178.6,out/pair_20170707_07_08_02_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_07_08_02_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_07_08_02_B.csv,invisible_pair_Human
210,299,191,0.042575906,0.559144086,0.022421525,4,178.4,out/pair_20170707_07_08_03_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_07_08_03_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_07_08_03_B.csv,invisible_pair_Human
228,237,177,1.37687359,0.101689831,0.050420168,5,178.5,out/pair_20170707_09_10_01_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_09_10_01_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_09_10_01_B.csv,invisible_pair_Human
273,258,208,0.15870213,0.479652035,0.039215686,7,178.5,out/pair_20170707_09_10_02_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_09_10_02_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_09_10_02_B.csv,invisible_pair_Human
251,264,196,0.68216663,0.282571743,0.044742729,5,178.8,out/pair_20170707_09_10_03_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_09_10_03_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_09_10_03_B.csv,invisible_pair_Human
275,254,215,1.557967289,0.081691831,0,0,178.4,out/pair_20170707_11_12_01_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_11_12_01_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_11_12_01_B.csv,invisible_pair_Human
307,284,252,1.911971244,0.04189581,0.016825575,3,178.3,out/pair_20170707_11_12_02_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_11_12_02_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_11_12_02_B.csv,invisible_pair_Human
274,272,226,1.788063281,0.058694131,0,0,178.5,out/pair_20170707_11_12_03_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_11_12_03_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_11_12_03_B.csv,invisible_pair_Human
222,262,181,-0.5777752,0.775622438,0.016939582,3,177.1,out/pair_20170710_13_14_01_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170710_13_14_01_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170710_13_14_01_B.csv,invisible_pair_Human
263,306,230,2.695026109,0.00749925,0.055959709,6,178.7,out/pair_20170710_13_14_02_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170710_13_14_02_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170710_13_14_02_B.csv,invisible_pair_Human
269,340,235,-0.1850201,0.637336266,0.022408964,4,178.5,out/pair_20170710_13_14_03_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170710_13_14_03_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170710_13_14_03_B.csv,invisible_pair_Human
