delta,condition,period,dyad_id,pair_id,n_matches,median_dt,median_abs_dt,prop_pos,prop_band_150_300
0.1,invisible,P1,20170705_01_02,20170705_01_02_01,8,0,0.0999999999999996,0.375,0
0.1,invisible,P1,20170705_01_02,20170705_01_02_02,7,0.0999999999999996,0.0999999999999996,0.5714285714285714,0
0.1,invisible,P1,20170705_01_02,20170705_01_02_03,10,0,0.0499999999999998,0.2,0
0.1,invisible,P1,20170705_03_04,20170705_03_04_01,17,0,0.0999999999999996,0.35294117647058826,0
0.1,invisible,P1,20170705_03_04,20170705_03_04_02,20,0,0.0999999999999996,0.3,0
0.1,invisible,P1,20170705_03_04,20170705_03_04_03,21,0,0.0999999999999978,0.38095238095238093,0
0.1,invisible,P1,20170707_01_02,20170707_01_02_01,24,0,0.0999999999999987,0.3333333333333333,0
0.1,invisible,P1,20170707_01_02,20170707_01_02_02,15,-0.0999999999999996,0.0999999999999996,0.26666666666666666,0
0.1,invisible,P1,20170707_01_02,20170707_01_02_03,18,0,0.0999999999999978,0.2777777777777778,0
0.1,invisible,P1,20170707_03_04,20170707_03_04_01,13,-0.0999999999999978,0.0999999999999996,0.3076923076923077,0
0.1,invisible,P1,20170707_03_04,20170707_03_04_02,9,0.0999999999999978,0.0999999999999978,0.6666666666666666,0
0.1,invisible,P1,20170707_03_04,20170707_03_04_03,13,0,0.0999999999999996,0.3076923076923077,0
0.1,invisible,P1,20170707_05_06,20170707_05_06_01,4,-0.09999999999999959,0.1000000000000014,0.25,0
0.1,invisible,P1,20170707_05_06,20170707_05_06_02,6,-0.0499999999999989,0.0999999999999987,0.16666666666666666,0
0.1,invisible,P1,20170707_05_06,20170707_05_06_03,11,0,0.0999999999999978,0.36363636363636365,0
0.1,invisible,P1,20170707_07_08,20170707_07_08_01,7,0,0,0.2857142857142857,0
0.1,invisible,P1,20170707_07_08,20170707_07_08_02,12,0,0.0499999999999989,0.25,0
0.1,invisible,P1,20170707_07_08,20170707_07_08_03,14,0,0.0999999999999943,0.35714285714285715,0
0.1,invisible,P1,20170707_09_10,20170707_09_10_01,13,-0.0999999999999996,0.0999999999999996,0.3076923076923077,0
0.1,invisible,P1,20170707_09_10,20170707_09_10_02,13,0,0.0999999999999996,0.38461538461538464,0
0.1,invisible,P1,20170707_09_10,20170707_09_10_03,12,0.0999999999999996,0.0999999999999996,0.6666666666666666,0
0.1,invisible,P1,20170707_11_12,20170707_11_12_01,12,0.0499999999999998,0.0999999999999996,0.5,0
0.1,invisible,P1,20170707_11_12,20170707_11_12_02,20,0,0,0.4,0
0.1,invisible,P1,20170707_11_12,20170707_11_12_03,15,0,0.0999999999999978,0.3333333333333333,0
0.1,invisible,P1,20170710_13_14,20170710_13_14_01,9,0,0.0999999999999996,0.3333333333333333,0
0.1,invisible,P1,20170710_13_14,20170710_13_14_02,15,0,0.0999999999999978,0.3333333333333333,0
0.1,invisible,P1,20170710_13_14,20170710_13_14_03,13,0,0,0.3076923076923077,0
0.1,invisible,P1,20170710_15_16,20170710_15_16_01,9,0,0,0.2222222222222222,0
0.1,invisible,P1,20170710_15_16,20170710_15_16_02,10,0,0.0999999999999987,0.2,0
0.1,invisible,P1,20170710_15_16,20170710_15_16_03,7,0,0,0.2857142857142857,0
0.1,invisible,P2,20170705_01_02,20170705_01_02_01,24,0,0.1000000000000014,0.2916666666666667,0
0.1,invisible,P2,20170705_01_02,20170705_01_02_02,12,0,0.1000000000000014,0.3333333333333333,0
0.1,invisible,P2,20170705_01_02,20170705_01_02_03,17,0,0.1000000000000014,0.35294117647058826,0
0.1,invisible,P2,20170705_03_04,20170705_03_04_01,21,0,0.0999999999999943,0.23809523809523808,0
0.1,invisible,P2,20170705_03_04,20170705_03_04_02,27,0,0.1000000000000014,0.37037037037037035,0
0.1,invisible,P2,20170705_03_04,20170705_03_04_03,34,0,0.09999999999999605,0.14705882352941177,0
0.1,invisible,P2,20170707_01_02,20170707_01_02_01,24,0,0.1000000000000014,0.375,0
0.1,invisible,P2,20170707_01_02,20170707_01_02_02,29,0,0,0.20689655172413793,0
0.1,invisible,P2,20170707_01_02,20170707_01_02_03,24,0,0.1000000000000014,0.3333333333333333,0
0.1,invisible,P2,20170707_03_04,20170707_03_04_01,26,0,0.0999999999999978,0.34615384615384615,0
0.1,invisible,P2,20170707_03_04,20170707_03_04_02,24,0,0.0999999999999943,0.20833333333333334,0
0.1,invisible,P2,20170707_03_04,20170707_03_04_03,29,0.0999999999999978,0.1000000000000014,0.5172413793103449,0
0.1,invisible,P2,20170707_05_06,20170707_05_06_01,19,0,0.0999999999999943,0.47368421052631576,0
0.1,invisible,P2,20170707_05_06,20170707_05_06_02,15,0.0999999999999943,0.1000000000000014,0.5333333333333333,0
0.1,invisible,P2,20170707_05_06,20170707_05_06_03,10,0,0.1000000000000014,0.4,0
0.1,invisible,P2,20170707_07_08,20170707_07_08_01,24,0,0.1000000000000014,0.3333333333333333,0
0.1,invisible,P2,20170707_07_08,20170707_07_08_02,19,0,0.0999999999999943,0.21052631578947367,0
0.1,invisible,P2,20170707_07_08,20170707_07_08_03,26,0,0.0999999999999943,0.19230769230769232,0
0.1,invisible,P2,20170707_09_10,20170707_09_10_01,17,0,0.0999999999999978,0.29411764705882354,0
0.1,invisible,P2,20170707_09_10,20170707_09_10_02,24,0,0.0999999999999943,0.20833333333333334,0
0.1,invisible,P2,20170707_09_10,20170707_09_10_03,32,0,0.09999999999999605,0.34375,0
0.1,invisible,P2,20170707_11_12,20170707_11_12_01,24,0,0.09999999999999784,0.375,0
0.1,invisible,P2,20170707_11_12,20170707_11_12_02,33,0,0.1000000000000014,0.36363636363636365,0
0.1,invisible,P2,20170707_11_12,20170707_11_12_03,28,0,0.09999999999999959,0.39285714285714285,0
