delta,dropped_dyad,dropped_condition,n_rows,estimate,se,df,t,p,ci_lo,ci_hi
0.1,20170705_01_02,invisible,168,0.8012054033819596,0.26983749852964656,88.33194948573254,2.9692144633260917,0.003843188216748937,0.26498816287671667,1.3374226438872023
0.1,20170705_03_04,invisible,168,0.9327605995606496,0.2568707941074772,102.23167494626004,3.6312442712750506,4.427903839653852e-4,0.42327245566194005,1.4422487434593592
0.1,20170706_01_02,visible,168,0.924061423117651,0.2697650539254558,87.19246963977622,3.425430424257239,9.379750645698215e-4,0.38789085576855653,1.4602319904667456
0.1,20170706_03_04,visible,168,0.7147642849969117,0.2719858691257492,91.84597644364621,2.6279463977095427,0.010067853673308542,0.1745648017738437,1.2549637682199797
0.1,20170706_05_06,visible,168,0.8325648433397888,0.27437805880430743,90.43239045181551,3.03437106803643,0.00314687033519639,0.287500445206632,1.3776292414729454
0.1,20170706_11_12,visible,168,0.7923658110548109,0.2704875196525684,88.95417422367646,2.9293987836206883,0.004313902725861512,0.2549090559628334,1.3298225661467882
0.1,20170707_01_02,invisible,168,0.8388928779598857,0.2706165037368633,89.30476637370226,3.099932437142088,0.002589326521468044,0.3012089326399422,1.3765768232798292
0.1,20170707_03_04,invisible,168,0.7347858084317936,0.27071982603439787,92.36796863137256,2.714192821394733,0.007927436846581327,0.1971414037760506,1.2724302130875367
0.1,20170707_05_06,invisible,169,0.7498258598740255,0.2698396988625321,92.28039226945214,2.778782599575976,0.006610972157288242,0.21392262196571765,1.2857290977823332
0.1,20170707_07_08,invisible,169,0.930720965170342,0.26971621329783285,87.44761579030323,3.4507416287303343,8.629311386411107e-4,0.3946694742985771,1.466772456042107
0.1,20170707_09_10,invisible,168,0.8007127203380429,0.27360076736692945,91.2863738890907,2.926573372011771,0.004324810664700443,0.25726137481196343,1.3441640658641223
0.1,20170707_11_12,invisible,168,0.7870747475547027,0.2743700128741516,89.59398643834255,2.868661699978559,0.005140153791704868,0.24195717320707633,1.3321923219023293
0.1,20170710_01_02,visible,168,0.6576151386932025,0.2675625104967416,93.65897820821577,2.457800001473715,0.015818311237593388,0.12633828292961202,1.188891994456793
0.1,20170710_07_08,visible,169,0.8066923549529003,0.27629404094729665,92.51973159917802,2.9196878520690848,0.004400222006728103,0.25798960979956986,1.3553951001062305
0.1,20170710_13_14,invisible,168,0.7464080156207523,0.2676902635068321,90.18372874409461,2.7883270980518953,0.006461820676427012,0.21460934462486525,1.2782066866166395
0.1,20170710_15_16,invisible,168,0.7524411530145916,0.27625090594412927,91.18320485342727,2.7237599472950507,0.0077353446299189155,0.203717517570846,1.3011647884583373
0.1,20170714_01_02,visible,168,0.8153169765139074,0.27494914437079665,90.39552948044539,2.965337384044994,0.003866489159769595,0.26911507142796376,1.3615188815998511
0.1,20170714_03_04,visible,168,0.873644992807948,0.2712669481528713,87.50444308811645,3.2206098043157447,0.0017962605577267383,0.33451638200904943,1.4127736036068468
0.1,20170714_05_06,visible,168,0.7824983410866926,0.2720951002570288,89.05205687242453,2.8758266515917494,0.005041131218599506,0.24185552734432691,1.3231411548290581
0.1,20170714_07_08,visible,168,0.8753039843429318,0.26909743994630236,94.89981120939936,3.2527399165060666,0.0015835743932720357,0.3410707470815678,1.4095372216042956
