pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,n_matched,S,z_S,p_right,p_left,null_mean,null_sd,STR,Max_episode,n_windows,n_episodes
20170705_01_02_01,invisible,0.1,P1,0.0,20.0,10.0,15,11,1,4,0.3076923076923077,-0.41680617784344104,0.7737226277372263,0.44445555444455553,0.36132307692307697,0.12867076373065137,0.0,0.0,6,0.0
20170705_01_02_01,invisible,0.1,P2,20.0,60.0,40.0,55,44,1,20,0.40404040404040403,0.6902577176527048,0.28997100289971,0.7974202579742026,0.3617757575757576,0.06123024108788222,0.0,0.0,36,0.0
20170705_01_02_01,invisible,0.1,P3,60.0,180.0,119.0,140,133,1,54,0.3956043956043956,1.3711402183512595,0.0973902609739026,0.9293070692930707,0.34075897435897434,0.039999863260790816,0.05042016806722689,3.0,115,2.0
20170705_01_02_02,invisible,0.1,P1,0.0,20.0,12.8,18,16,1,5,0.29411764705882354,-0.8608869474627078,0.835916408359164,0.25677432256774324,0.3815705882352941,0.10158469870430796,0.0,0.0,8,0.0
20170705_01_02_02,invisible,0.1,P2,20.0,60.0,40.0,54,42,1,13,0.2708333333333333,-1.3437106952549012,0.9456054394560544,0.11728827117288271,0.35408125,0.06195375013434318,0.0,0.0,36,0.0
20170705_01_02_02,invisible,0.1,P3,60.0,180.0,119.6,151,149,1,41,0.2733333333333333,-2.4684980377484695,0.9957004299570043,0.0066993300669933005,0.3762806666666667,0.04170444203683962,0.0,0.0,115,0.0
20170705_01_02_03,invisible,0.1,P1,0.0,20.0,14.0,19,18,1,9,0.4864864864864865,0.9549602229167233,0.23747625237476253,0.8931106889311069,0.3874540540540541,0.1037032015113246,0.0,0.0,10,0.0
20170705_01_02_03,invisible,0.1,P2,20.0,60.0,40.0,44,58,1,17,0.3333333333333333,-0.5526448940457596,0.7349265073492651,0.3477652234776522,0.3752588235294118,0.07586334488527278,0.0,0.0,36,0.0
20170705_01_02_03,invisible,0.1,P3,60.0,180.0,119.69999999999999,144,150,1,52,0.35374149659863946,-0.36166942541039815,0.6621337866213378,0.40915908409159085,0.36715714285714285,0.03709366984306239,0.0,0.0,115,0.0
20170705_03_04_01,invisible,0.1,P1,0.0,20.0,16.8,22,23,1,14,0.6222222222222222,2.8778695138648946,0.005599440055994401,0.9945005499450055,0.38139555555555554,0.08368227451120377,0.23809523809523808,4.0,12,1.0
20170705_03_04_01,invisible,0.1,P2,20.0,60.0,40.0,49,61,1,23,0.41818181818181815,0.1480691117890804,0.48835116488351166,0.6351364863513649,0.40815454545454544,0.06772021933619916,0.0,0.0,36,0.0
20170705_03_04_01,invisible,0.1,P3,60.0,180.0,119.80000000000001,160,153,1,68,0.43450479233226835,1.1338839138073487,0.14078592140785923,0.8868113188681132,0.3908594249201278,0.0384919186882089,0.09181969949916527,5.0,115,3.0
20170705_03_04_02,invisible,0.1,P1,0.0,20.0,16.2,30,26,1,18,0.6428571428571429,1.412812889471739,0.13658634136586342,0.9393060693930607,0.5146607142857144,0.090738433607696,0.0,0.0,12,0.0
20170705_03_04_02,invisible,0.1,P2,20.0,60.0,40.0,66,54,1,26,0.43333333333333335,-0.1744133365796709,0.6227377262273772,0.48475152484751527,0.4435283333333333,0.05845309882792674,0.0,0.0,36,0.0
20170705_03_04_02,invisible,0.1,P3,60.0,180.0,119.6,175,170,1,74,0.4289855072463768,-0.06498257291525932,0.5518448155184481,0.5071492850714928,0.4313026086956522,0.03565727464034095,0.05016722408026756,6.0,115,1.0
20170705_03_04_03,invisible,0.1,P1,0.0,20.0,16.7,30,31,1,19,0.6229508196721312,0.7259640936083251,0.29917008299170084,0.8122187781221878,0.5411049180327868,0.11274097763229342,0.0,0.0,12,0.0
20170705_03_04_03,invisible,0.1,P2,20.0,60.0,40.0,57,62,1,34,0.5714285714285714,1.8601307389729413,0.043695630436956304,0.9751024897510249,0.44263865546218495,0.0692370236500134,0.075,3.0,36,1.0
20170705_03_04_03,invisible,0.1,P3,60.0,180.0,118.80000000000001,181,181,1,89,0.49171270718232046,1.02406171112494,0.17248275172482752,0.8502149785021498,0.45352209944751376,0.03729326789579313,0.02525252525252525,3.0,114,1.0
20170707_01_02_01,invisible,0.1,P1,0.0,20.0,16.1,27,28,1,20,0.7272727272727273,1.865650324839589,0.05599440055994401,0.9935006499350065,0.4990472727272727,0.12233024136775349,0.0,0.0,12,0.0
20170707_01_02_01,invisible,0.1,P2,20.0,60.0,40.0,64,59,1,24,0.3902439024390244,-1.0487874455235076,0.8748125187481252,0.1887811218878112,0.4582373983739838,0.06483057765915581,0.0,0.0,36,0.0
