pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,n_matched,S,z_S,p_right,p_left,null_mean,null_sd,STR,Max_episode,n_windows,n_episodes
20170705_01_02_01,invisible,0.1,P1,0.0,20.0,10.0,15,11,1,4,0.3076923076923077,-0.416806177843441,0.7737226277372263,0.4444555544445555,0.3613230769230769,0.1286707637306513,0.0,0.0,6,0.0
20170705_01_02_01,invisible,0.1,P2,20.0,60.0,40.0,55,44,1,20,0.404040404040404,0.6902577176527048,0.28997100289971,0.7974202579742026,0.3617757575757576,0.0612302410878822,0.0,0.0,36,0.0
20170705_01_02_01,invisible,0.1,P3,60.0,180.0,119.0,140,133,1,54,0.3956043956043956,1.3711402183512595,0.0973902609739026,0.9293070692930708,0.3407589743589743,0.0399998632607908,0.0504201680672268,3.0,115,2.0
20170705_01_02_02,invisible,0.1,P1,0.0,20.0,12.8,18,16,1,5,0.2941176470588235,-0.8608869474627078,0.835916408359164,0.2567743225677432,0.3815705882352941,0.1015846987043079,0.0,0.0,8,0.0
20170705_01_02_02,invisible,0.1,P2,20.0,60.0,40.0,54,42,1,13,0.2708333333333333,-1.3437106952549012,0.9456054394560544,0.1172882711728827,0.35408125,0.0619537501343431,0.0,0.0,36,0.0
20170705_01_02_02,invisible,0.1,P3,60.0,180.0,119.6,151,149,1,41,0.2733333333333333,-2.4684980377484695,0.9957004299570044,0.0066993300669933,0.3762806666666667,0.0417044420368396,0.0,0.0,115,0.0
20170705_01_02_03,invisible,0.1,P1,0.0,20.0,14.0,19,18,1,9,0.4864864864864865,0.9549602229167232,0.2374762523747625,0.8931106889311069,0.3874540540540541,0.1037032015113246,0.0,0.0,10,0.0
20170705_01_02_03,invisible,0.1,P2,20.0,60.0,40.0,44,58,1,17,0.3333333333333333,-0.5526448940457596,0.7349265073492651,0.3477652234776522,0.3752588235294118,0.0758633448852727,0.0,0.0,36,0.0
20170705_01_02_03,invisible,0.1,P3,60.0,180.0,119.7,144,150,1,52,0.3537414965986394,-0.3616694254103981,0.6621337866213378,0.4091590840915908,0.3671571428571428,0.0370936698430623,0.0,0.0,115,0.0
20170705_03_04_01,invisible,0.1,P1,0.0,20.0,16.8,22,23,1,14,0.6222222222222222,2.877869513864894,0.0055994400559944,0.9945005499450056,0.3813955555555555,0.0836822745112037,0.238095238095238,4.0,12,1.0
20170705_03_04_01,invisible,0.1,P2,20.0,60.0,40.0,49,61,1,23,0.4181818181818181,0.1480691117890804,0.4883511648835116,0.6351364863513649,0.4081545454545454,0.0677202193361991,0.0,0.0,36,0.0
20170705_03_04_01,invisible,0.1,P3,60.0,180.0,119.8,160,153,1,68,0.4345047923322683,1.1338839138073489,0.1407859214078592,0.8868113188681132,0.3908594249201278,0.0384919186882089,0.0918196994991652,5.0,115,3.0
20170705_03_04_02,invisible,0.1,P1,0.0,20.0,16.2,30,26,1,18,0.6428571428571429,1.412812889471739,0.1365863413658634,0.9393060693930608,0.5146607142857144,0.090738433607696,0.0,0.0,12,0.0
20170705_03_04_02,invisible,0.1,P2,20.0,60.0,40.0,66,54,1,26,0.4333333333333333,-0.1744133365796709,0.6227377262273772,0.4847515248475152,0.4435283333333333,0.0584530988279267,0.0,0.0,36,0.0
20170705_03_04_02,invisible,0.1,P3,60.0,180.0,119.6,175,170,1,74,0.4289855072463768,-0.0649825729152593,0.5518448155184481,0.5071492850714928,0.4313026086956522,0.0356572746403409,0.0501672240802675,6.0,115,1.0
20170705_03_04_03,invisible,0.1,P1,0.0,20.0,16.7,30,31,1,19,0.6229508196721312,0.7259640936083251,0.2991700829917008,0.8122187781221878,0.5411049180327868,0.1127409776322934,0.0,0.0,12,0.0
20170705_03_04_03,invisible,0.1,P2,20.0,60.0,40.0,57,62,1,34,0.5714285714285714,1.8601307389729411,0.0436956304369563,0.9751024897510248,0.4426386554621849,0.0692370236500134,0.075,3.0,36,1.0
20170705_03_04_03,invisible,0.1,P3,60.0,180.0,118.8,181,181,1,89,0.4917127071823204,1.02406171112494,0.1724827517248275,0.8502149785021498,0.4535220994475137,0.0372932678957931,0.0252525252525252,3.0,114,1.0
20170707_01_02_01,invisible,0.1,P1,0.0,20.0,16.1,27,28,1,20,0.7272727272727273,1.865650324839589,0.055994400559944,0.9935006499350064,0.4990472727272727,0.1223302413677534,0.0,0.0,12,0.0
20170707_01_02_01,invisible,0.1,P2,20.0,60.0,40.0,64,59,1,24,0.3902439024390244,-1.0487874455235076,0.8748125187481252,0.1887811218878112,0.4582373983739838,0.0648305776591558,0.0,0.0,36,0.0
20170707_01_02_01,invisible,0.1,P3,60.0,180.0,118.7,152,158,1,61,0.3935483870967742,0.0477854455525367,0.501949805019498,0.569043095690431,0.391676129032258,0.0391805086855936,0.04212299915754,5.0,114,1.0
20170707_01_02_02,invisible,0.1,P1,0.0,20.0,14.7,29,15,1,9,0.4090909090909091,0.058898961895799,0.5528447155284472,0.6354364563543645,0.4041227272727273,0.0843509233145953,0.0,0.0,10,0.0
20170707_01_02_02,invisible,0.1,P2,20.0,60.0,40.0,70,63,1,28,0.4210526315789473,-1.2922725795871357,0.9307069293070692,0.1113888611138886,0.4951413533834586,0.0573321162847715,0.0,0.0,36,0.0
20170707_01_02_02,invisible,0.1,P3,60.0,180.0,114.2,139,175,1,66,0.4203821656050955,0.4483448462887962,0.3493650634936506,0.7106289371062894,0.4021866242038217,0.0405838085390935,0.0262697022767075,3.0,110,1.0
20170707_01_02_03,invisible,0.1,P1,0.0,20.0,16.3,29,31,1,14,0.4666666666666667,-0.8610595340003205,0.8453154684531546,0.2466753324667533,0.5336766666666667,0.0778227257860837,0.0,0.0,12,0.0
20170707_01_02_03,invisible,0.1,P2,20.0,60.0,40.0,60,66,1,23,0.365079365079365,-1.4738682711324942,0.9462053794620536,0.07999200079992,0.4648158730158729,0.0676698928187606,0.0,0.0,36,0.0
20170707_01_02_03,invisible,0.1,P3,60.0,180.0,119.6,168,192,1,74,0.4111111111111111,-0.9375957230449176,0.8489151084891511,0.1887811218878112,0.4459455555555556,0.0371529472546193,0.0250836120401337,3.0,115,1.0
20170707_03_04_01,invisible,0.1,P1,0.0,20.0,15.5,28,24,1,11,0.4230769230769231,-0.6765574214747364,0.7967203279672033,0.3557644235576442,0.4861653846153845,0.0932492343383706,0.0,0.0,11,0.0
20170707_03_04_01,invisible,0.1,P2,20.0,60.0,40.0,59,49,1,24,0.4444444444444444,0.8723279206439938,0.2572742725727427,0.8349165083491651,0.3944555555555555,0.0573051575054306,0.075,3.0,36,1.0
20170707_03_04_01,invisible,0.1,P3,60.0,180.0,119.9,178,131,1,60,0.3883495145631068,0.3949959905224355,0.3744625537446255,0.7030296970302969,0.374842718446602,0.034194767644705,0.0250208507089241,3.0,115,1.0
20170707_03_04_02,invisible,0.1,P1,0.0,20.0,14.4,23,16,1,6,0.3076923076923077,-0.7581178431762695,0.8358164183581642,0.3027697230276972,0.3764,0.0906293037766123,0.0,0.0,10,0.0
20170707_03_04_02,invisible,0.1,P2,20.0,60.0,40.0,64,53,1,24,0.4102564102564102,-0.3215775712253276,0.6626337366263374,0.4340565943405659,0.4320871794871795,0.0678864796061058,0.0,0.0,36,0.0
20170707_03_04_02,invisible,0.1,P3,60.0,180.0,119.7,178,127,1,45,0.2950819672131147,-2.09506381936605,0.9892010798920108,0.0171982801719828,0.3675875409836066,0.0346078115140337,0.0,0.0,115,0.0
20170707_03_04_03,invisible,0.1,P1,0.0,20.0,14.9,26,22,1,10,0.4166666666666667,-0.5124530389262189,0.7893210678932107,0.3226677332266773,0.4666583333333333,0.097553654421521,0.0,0.0,10,0.0
20170707_03_04_03,invisible,0.1,P2,20.0,60.0,40.0,66,50,1,27,0.4655172413793103,0.6883226978147163,0.2837716228377162,0.7917208279172083,0.4231948275862068,0.0614862969468658,0.125,5.0,36,1.0
20170707_03_04_03,invisible,0.1,P3,60.0,180.0,119.5,181,138,1,53,0.3322884012539185,-1.5522884796184662,0.9577042295770424,0.0724927507249275,0.3889391849529781,0.0364950100724729,0.0,0.0,115,0.0
20170707_05_06_01,invisible,0.1,P1,0.0,20.0,5.4,6,3,0,0,0.0,-0.9712872127716106,1.0,0.4333566643335666,0.1879555555555555,0.1935118192477961,,,0,
20170707_05_06_01,invisible,0.1,P2,20.0,60.0,40.0,46,38,1,15,0.3571428571428571,0.8260529654141565,0.2771722827717228,0.835016498350165,0.3059119047619048,0.062018967942651,0.0,0.0,36,0.0
20170707_05_06_01,invisible,0.1,P3,60.0,180.0,119.4,129,119,1,38,0.3064516129032258,-0.0247651146627703,0.5543445655434457,0.5189481051894811,0.3074129032258064,0.0388163081685928,0.0,0.0,115,0.0
20170707_05_06_02,invisible,0.1,P1,0.0,20.0,8.9,14,8,1,3,0.2727272727272727,-0.3365581278718615,0.7164283571642835,0.5123487651234877,0.3194727272727273,0.1388926627356689,,,0,
20170707_05_06_02,invisible,0.1,P2,20.0,60.0,40.0,47,45,1,13,0.2826086956521739,-0.9471078276796926,0.8588141185881412,0.2171782821717828,0.3457608695652174,0.0666789694556312,0.0,0.0,36,0.0
