pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,n_matched,S,z_S,p_right,p_left,null_mean,null_sd,STR,Max_episode,n_windows,n_episodes
20170705_01_02_01,invisible,0.1,P1,0.0,15.0,5.0,9,6,1,3,0.4,0.12888981179404838,0.6402359764023597,0.7357264273572642,0.3842666666666666,0.12206809145220535,,,0.0,
20170705_01_02_01,invisible,0.1,P2,15.0,55.0,40.0,53,43,1,17,0.3541666666666667,-0.016579847718771933,0.5716428357164284,0.5849415058494151,0.35524583333333337,0.06508905781111844,0.0,0.0,36.0,0.0
20170705_01_02_01,invisible,0.1,P3,55.0,180.0,124.0,147,139,1,58,0.40559440559440557,1.5085879192153575,0.08149185081491851,0.9445055494450555,0.3443909090909091,0.040570056092805964,0.04838709677419355,3.0,120.0,2.0
20170705_01_02_02,invisible,0.1,P1,0.0,15.0,7.8,12,9,1,4,0.38095238095238093,0.18264746825497352,0.5561443855614439,0.7181281871812819,0.3554285714285714,0.13974357141473537,,,0.0,
20170705_01_02_02,invisible,0.1,P2,15.0,55.0,40.0,53,43,1,13,0.2708333333333333,-1.3191570272135835,0.9394060593940606,0.12758724127587243,0.35552083333333334,0.06419819494793803,0.0,0.0,36.0,0.0
20170705_01_02_02,invisible,0.1,P3,55.0,180.0,124.6,158,155,1,42,0.268370607028754,-2.6114559738498184,0.9962003799620038,0.0044995500449955,0.3769884984025559,0.041592847997998984,0.0,0.0,120.0,0.0
20170705_01_02_03,invisible,0.1,P1,0.0,15.0,9.0,11,13,1,4,0.3333333333333333,-0.34758617897192085,0.7608239176082392,0.5402459754024598,0.385225,0.1492915133166404,,,0.0,
20170705_01_02_03,invisible,0.1,P2,15.0,55.0,40.0,49,56,1,21,0.4,0.17982535566909005,0.4864513548645136,0.6187381261873812,0.38684,0.07318211578692325,0.0,0.0,36.0,0.0
20170705_01_02_03,invisible,0.1,P3,55.0,180.0,124.69999999999999,147,158,1,53,0.3475409836065574,-0.5023884341944229,0.7315268473152685,0.3418658134186581,0.36580983606557377,0.036363998881284734,0.0,0.0,120.0,0.0
20170705_03_04_01,invisible,0.1,P1,0.0,15.0,11.8,15,17,1,11,0.6875,2.2072518612116117,0.008799120087991202,0.9913008699130087,0.38694375,0.13616762784606634,0.0,0.0,7.0,0.0
20170705_03_04_01,invisible,0.1,P2,15.0,55.0,40.0,48,59,1,23,0.42990654205607476,0.5740997681318354,0.35836416358364165,0.7728227177282272,0.395414953271028,0.06007943340107076,0.0,0.0,36.0,0.0
20170705_03_04_01,invisible,0.1,P3,55.0,180.0,124.80000000000001,168,162,1,71,0.4303030303030303,0.8705591856079156,0.20787921207879212,0.8307169283071693,0.3947381818181818,0.04085287832557114,0.08814102564102563,5.0,120.0,3.0
20170705_03_04_02,invisible,0.1,P1,0.0,15.0,11.2,20,17,1,13,0.7027027027027027,2.000097939968406,0.029197080291970802,1.0,0.490772972972973,0.10595967602120394,0.0,0.0,7.0,0.0
20170705_03_04_02,invisible,0.1,P2,15.0,55.0,40.0,65,57,1,28,0.45901639344262296,0.05182592189741134,0.5326467353264673,0.5924407559244076,0.45609672131147544,0.05633613497367149,0.0,0.0,36.0,0.0
