pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,n_matched,S,z_S,p_right,p_left,null_mean,null_sd,STR,Max_episode,n_windows,n_episodes
20170705_01_02_01,invisible,0.1,P1,0.0,15.0,5.0,9,6,1,3,0.4,0.1288898117940483,0.6402359764023597,0.7357264273572642,0.3842666666666666,0.1220680914522053,,,0.0,
20170705_01_02_01,invisible,0.1,P2,15.0,55.0,40.0,53,43,1,17,0.3541666666666667,-0.0165798477187719,0.5716428357164284,0.5849415058494151,0.3552458333333333,0.0650890578111184,0.0,0.0,36.0,0.0
20170705_01_02_01,invisible,0.1,P3,55.0,180.0,124.0,147,139,1,58,0.4055944055944055,1.5085879192153575,0.0814918508149185,0.9445055494450556,0.3443909090909091,0.0405700560928059,0.0483870967741935,3.0,120.0,2.0
20170705_01_02_02,invisible,0.1,P1,0.0,15.0,7.8,12,9,1,4,0.3809523809523809,0.1826474682549735,0.5561443855614439,0.7181281871812819,0.3554285714285714,0.1397435714147353,,,0.0,
20170705_01_02_02,invisible,0.1,P2,15.0,55.0,40.0,53,43,1,13,0.2708333333333333,-1.3191570272135835,0.9394060593940606,0.1275872412758724,0.3555208333333333,0.064198194947938,0.0,0.0,36.0,0.0
20170705_01_02_02,invisible,0.1,P3,55.0,180.0,124.6,158,155,1,42,0.268370607028754,-2.6114559738498184,0.9962003799620038,0.0044995500449955,0.3769884984025559,0.0415928479979989,0.0,0.0,120.0,0.0
20170705_01_02_03,invisible,0.1,P1,0.0,15.0,9.0,11,13,1,4,0.3333333333333333,-0.3475861789719208,0.7608239176082392,0.5402459754024598,0.385225,0.1492915133166404,,,0.0,
20170705_01_02_03,invisible,0.1,P2,15.0,55.0,40.0,49,56,1,21,0.4,0.17982535566909,0.4864513548645136,0.6187381261873812,0.38684,0.0731821157869232,0.0,0.0,36.0,0.0
20170705_01_02_03,invisible,0.1,P3,55.0,180.0,124.7,147,158,1,53,0.3475409836065574,-0.5023884341944229,0.7315268473152685,0.3418658134186581,0.3658098360655737,0.0363639988812847,0.0,0.0,120.0,0.0
20170705_03_04_01,invisible,0.1,P1,0.0,15.0,11.8,15,17,1,11,0.6875,2.2072518612116117,0.0087991200879912,0.9913008699130088,0.38694375,0.1361676278460663,0.0,0.0,7.0,0.0
