pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,n_matched,S,z_S,p_right,p_left,null_mean,null_sd,STR,Max_episode,n_windows,n_episodes
20170705_01_02_01,invisible,0.1,P1,0.0,25.0,15.0,22,18,1,7,0.35,-0.26474378670763765,0.673032696730327,0.45385461453854614,0.38181499999999996,0.12017279194972755,0.0,0.0,11,0.0
20170705_01_02_01,invisible,0.1,P2,25.0,65.0,40.0,54,41,1,20,0.42105263157894735,1.2305529152730827,0.1591840815918408,0.9104089591040896,0.3485915789473685,0.05888495466730775,0.0,0.0,36,0.0
20170705_01_02_01,invisible,0.1,P3,65.0,180.0,114.0,133,129,1,51,0.3893129770992366,1.198639010918132,0.14388561143885611,0.9004099590040996,0.3425099236641221,0.039046829786779924,0.05263157894736842,3.0,110,2.0
20170705_01_02_02,invisible,0.1,P1,0.0,25.0,17.8,23,23,1,6,0.2608695652173913,-1.12841772347619,0.8943105689431057,0.18948105189481051,0.3777565217391304,0.10358482864099168,0.0,0.0,13,0.0
20170705_01_02_02,invisible,0.1,P2,25.0,65.0,40.0,55,43,1,13,0.2653061224489796,-1.4748081757679414,0.9534046595340466,0.0999900009999,0.35943469387755106,0.06382428099814279,0.0,0.0,36,0.0
20170705_01_02_02,invisible,0.1,P3,65.0,180.0,114.6,145,142,1,40,0.2787456445993031,-2.3093726852672005,0.9952004799520048,0.010698930106989302,0.3745735191637631,0.04149519701856715,0.0,0.0,110,0.0
20170705_01_02_03,invisible,0.1,P1,0.0,25.0,19.0,25,25,1,10,0.4,0.08558311880171264,0.5512448755124487,0.6198380161983802,0.39079200000000003,0.10759131156851144,0.0,0.0,15,0.0
20170705_01_02_03,invisible,0.1,P2,25.0,65.0,40.0,47,56,1,17,0.3300970873786408,-0.720238064560095,0.8116188381161884,0.2862713728627137,0.3827456310679611,0.07309880757479383,0.0,0.0,36,0.0
20170705_01_02_03,invisible,0.1,P3,65.0,180.0,114.69999999999999,135,145,1,51,0.36428571428571427,0.004882977349200094,0.5282471752824718,0.545945405459454,0.36408142857142856,0.04183630184546678,0.0,0.0,110,0.0
20170705_03_04_01,invisible,0.1,P1,0.0,25.0,21.8,30,29,1,17,0.576271186440678,2.1191281207075963,0.027897210278972105,0.9908009199080092,0.3959864406779661,0.08507496267026703,0.18348623853211007,4.0,17,1.0
