pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,n_matched,S,z_S,p_right,p_left,null_mean,null_sd,STR,Max_episode,n_windows,n_episodes
20170705_01_02_01,invisible,0.1,P1,0.0,20.0,20.0,29,24,1,8,0.3018867924528302,-0.7473071133996226,0.7728227177282272,0.2987701229877012,0.3840905660377358,0.1099999881052211,0.0,0.0,16,0
20170705_01_02_01,invisible,0.1,P2,20.0,60.0,40.0,55,42,1,24,0.4948453608247423,2.4036418308011576,0.0158984101589841,0.9914008599140086,0.3533628865979381,0.0588617124289464,0.0,0.0,36,0
20170705_01_02_01,invisible,0.1,P3,60.0,180.0,109.0,125,122,1,46,0.3724696356275304,0.8125844502315027,0.2455754424557544,0.8084191580841916,0.33762995951417,0.0428751449814658,0.0275229357798165,3.0,105,1
20170705_01_02_02,invisible,0.1,P1,0.0,20.0,20.0,26,25,1,7,0.2745098039215686,-0.9381270615418632,0.875012498750125,0.2362763723627637,0.3749215686274509,0.1070342907930297,0.0,0.0,16,0
20170705_01_02_02,invisible,0.1,P2,20.0,60.0,40.0,55,42,1,12,0.2474226804123711,-1.81394159884239,0.974102589741026,0.0447955204479552,0.3576082474226804,0.0607437235469029,0.0,0.0,36,0
20170705_01_02_02,invisible,0.1,P3,60.0,180.0,112.4,142,140,1,40,0.2836879432624113,-2.306268541173157,0.9898010198980102,0.0148985101489851,0.3775063829787233,0.0406797552155779,0.0,0.0,108,0
20170705_01_02_03,invisible,0.1,P1,0.0,20.0,20.0,26,27,1,10,0.3773584905660377,-0.2110912320392355,0.6415358464153584,0.5005499450054994,0.3969622641509433,0.0928687250319416,0.0,0.0,16,0
20170705_01_02_03,invisible,0.1,P2,20.0,60.0,40.0,46,55,1,17,0.3366336633663366,-0.5153854410137466,0.7435256474352565,0.3464653534646535,0.3752435643564356,0.074914613253635,0.0,0.0,36,0
20170705_01_02_03,invisible,0.1,P3,60.0,180.0,113.7,135,144,1,51,0.3655913978494624,-0.0089855696449131,0.5264473552644735,0.5392460753924607,0.365952688172043,0.0402078373278399,0.0,0.0,109,0
20170705_03_04_01,invisible,0.1,P1,0.0,20.0,20.0,28,26,1,17,0.6296296296296297,2.976551855174002,0.0101989801019898,1.0,0.3819333333333333,0.0832158512090885,0.2,4.0,16,1
20170705_03_04_01,invisible,0.1,P2,20.0,60.0,40.0,49,61,1,21,0.3818181818181818,-0.3661993427241081,0.7062293770622937,0.4191580841915808,0.4049345454545454,0.063125082269138,0.0,0.0,36,0
20170705_03_04_01,invisible,0.1,P3,60.0,180.0,116.6,155,150,1,67,0.4393442622950819,1.1724886703380768,0.1432856714328567,0.8879112088791121,0.3919698360655738,0.0404050183409006,0.0771869639794168,6.0,112,2
20170705_03_04_02,invisible,0.1,P1,0.0,20.0,20.0,34,31,1,20,0.6153846153846154,1.7738954120179595,0.0413958604139586,0.9847015298470152,0.4798092307692308,0.0764280597925194,0.0,0.0,16,0
20170705_03_04_02,invisible,0.1,P2,20.0,60.0,40.0,66,54,1,27,0.45,0.0730791567927532,0.5372462753724627,0.5973402659734026,0.4458399999999999,0.0569245757965911,0.0,0.0,36,0
20170705_03_04_02,invisible,0.1,P3,60.0,180.0,115.8,170,165,1,71,0.4238805970149253,-0.2383599573318522,0.6199380061993801,0.4443555644435556,0.4325779104477612,0.0364881481360864,0.0518134715025906,6.0,111,1
20170705_03_04_03,invisible,0.1,P1,0.0,20.0,20.0,34,35,1,21,0.6086956521739131,0.912111495269756,0.2401759824017598,0.8509149085091491,0.517072463768116,0.1004517417891982,0.0,0.0,16,0
20170705_03_04_03,invisible,0.1,P2,20.0,60.0,40.0,58,62,1,34,0.5666666666666667,1.6897186530565902,0.0593940605939406,0.9597040295970404,0.449085,0.0695865352814618,0.0999999999999999,3.999999999999997,36,1
20170705_03_04_03,invisible,0.1,P3,60.0,180.0,115.5,175,177,1,87,0.4943181818181818,0.9798523560877724,0.1854814518548145,0.8494150584941506,0.4563607954545454,0.0387378630339654,0.0259740259740259,3.0,111,1
20170707_01_02_01,invisible,0.1,P1,0.0,20.0,20.0,33,35,1,24,0.7058823529411765,2.028772683027019,0.0265973402659734,0.9953004699530048,0.4855441176470588,0.1086066650726799,0.0,0.0,16,0
20170707_01_02_01,invisible,0.1,P2,20.0,60.0,40.0,66,58,1,24,0.3870967741935484,-1.2443280189880654,0.921907809219078,0.1330866913308669,0.462333870967742,0.0604640381202532,0.0,0.0,36,0
20170707_01_02_01,invisible,0.1,P3,60.0,180.0,114.79999999999998,145,152,1,57,0.3838383838383838,-0.0573645490622723,0.5646435356464353,0.5011498850114988,0.3861299663299663,0.0399477121156286,0.0435540069686411,5.0,110,1
20170707_01_02_02,invisible,0.1,P1,0.0,20.0,20.0,41,23,1,15,0.46875,0.5051144240566621,0.3877612238776122,0.7612238776122388,0.4300125,0.0766905440729495,0.0,0.0,16,0
20170707_01_02_02,invisible,0.1,P2,20.0,60.0,40.0,70,64,1,29,0.4328358208955223,-1.200499376156818,0.921007899210079,0.1417858214178582,0.4994373134328358,0.0554781567238511,0.0,0.0,36,0
20170707_01_02_02,invisible,0.1,P3,60.0,180.0,108.9,127,166,1,59,0.4027303754266211,0.1758214916699216,0.4564543545645435,0.6066393360663933,0.3951624573378839,0.0430431912325304,0.0550964187327823,6.0,104,1
20170707_01_02_03,invisible,0.1,P1,0.0,20.0,20.0,34,38,1,18,0.5,-0.4231237952338918,0.7499250074992501,0.3968603139686031,0.5286777777777777,0.0677763295300501,0.0,0.0,16,0
20170707_01_02_03,invisible,0.1,P2,20.0,60.0,40.0,63,64,1,24,0.3779527559055118,-1.5345020019782631,0.9491050894910508,0.084991500849915,0.4762708661417323,0.0640716728355322,0.0,0.0,36,0
20170707_01_02_03,invisible,0.1,P3,60.0,180.0,115.9,160,185,1,69,0.4,-1.0859634937526923,0.8795120487951205,0.1520847915208479,0.4407304347826086,0.0375062651893196,0.0,0.0,111,0
20170707_03_04_01,invisible,0.1,P1,0.0,20.0,20.0,35,30,1,13,0.4,-0.8811334973047577,0.8479152084791521,0.2570742925707429,0.4736246153846155,0.0835567091817767,0.0,0.0,16,0
20170707_03_04_01,invisible,0.1,P2,20.0,60.0,40.0,60,48,1,26,0.4814814814814814,1.4878322134148907,0.0700929907009299,0.9542045795420458,0.3970555555555555,0.0567442519154431,0.075,3.0,36,1
20170707_03_04_01,invisible,0.1,P3,60.0,180.0,115.4,169,126,1,56,0.3796610169491525,0.1471564843793246,0.4916508349165083,0.579042095790421,0.3741498305084746,0.0374511966898568,0.0433275563258232,5.0,111,1
20170707_03_04_02,invisible,0.1,P1,0.0,20.0,20.0,30,25,1,9,0.3272727272727272,-0.8810052941200597,0.8517148285171483,0.2583741625837416,0.3977745454545455,0.0800242843628253,0.0,0.0,16,0
20170707_03_04_02,invisible,0.1,P2,20.0,60.0,39.99999999999999,66,49,1,24,0.417391304347826,-0.0266475873303847,0.5204479552044795,0.5475452454754525,0.4192660869565217,0.0703546848520091,0.0,0.0,36,0
20170707_03_04_02,invisible,0.1,P3,60.0,180.0,114.1,169,122,1,42,0.2886597938144329,-2.161811069216963,0.989001099890011,0.0176982301769823,0.3711986254295532,0.0381804093754672,0.0,0.0,110,0
20170707_03_04_03,invisible,0.1,P1,0.0,20.0,20.0,35,26,1,13,0.4262295081967213,-0.1191159923600678,0.6724327567243276,0.4833516648335166,0.435111475409836,0.074565698838037,0.0,0.0,16,0
