pair_id,condition,delta,period,a_time,b_time,dt,a_time_rel,b_time_rel
20170705_01_02_01,invisible,0.1,P1,10.1,10.0,0.0999999999999996,0.0999999999999996,0.0
20170705_01_02_01,invisible,0.1,P1,11.5,11.5,0.0,1.5,1.5
20170705_01_02_01,invisible,0.1,P1,12.5,12.6,-0.0999999999999996,2.5,2.5999999999999996
20170705_01_02_01,invisible,0.1,P1,18.9,19.0,-0.1000000000000014,8.899999999999999,9.0
20170705_01_02_01,invisible,0.1,P1,21.9,22.0,-0.1000000000000014,11.9,12.0
20170705_01_02_01,invisible,0.1,P1,23.6,23.5,0.1000000000000014,13.6,13.5
20170705_01_02_01,invisible,0.1,P1,24.1,24.1,0.0,14.1,14.1
20170705_01_02_01,invisible,0.1,P1,26.9,26.8,0.0999999999999978,16.9,16.8
20170705_01_02_01,invisible,0.1,P2,30.1,30.1,0.0,20.1,20.1
20170705_01_02_01,invisible,0.1,P2,30.7,30.7,0.0,20.7,20.7
20170705_01_02_01,invisible,0.1,P2,35.5,35.6,-0.1000000000000014,25.5,25.6
20170705_01_02_01,invisible,0.1,P2,37.0,36.9,0.1000000000000014,27.0,26.9
20170705_01_02_01,invisible,0.1,P2,37.6,37.5,0.1000000000000014,27.6,27.5
20170705_01_02_01,invisible,0.1,P2,39.5,39.4,0.1000000000000014,29.5,29.4
20170705_01_02_01,invisible,0.1,P2,41.1,41.1,0.0,31.1,31.1
20170705_01_02_01,invisible,0.1,P2,44.5,44.4,0.1000000000000014,34.5,34.4
20170705_01_02_01,invisible,0.1,P2,46.6,46.5,0.1000000000000014,36.6,36.5
20170705_01_02_01,invisible,0.1,P2,47.6,47.5,0.1000000000000014,37.6,37.5
20170705_01_02_01,invisible,0.1,P2,48.2,48.3,-0.0999999999999943,38.2,38.3
20170705_01_02_01,invisible,0.1,P2,53.5,53.4,0.1000000000000014,43.5,43.4
20170705_01_02_01,invisible,0.1,P2,56.5,56.5,0.0,46.5,46.5
20170705_01_02_01,invisible,0.1,P2,57.1,57.1,0.0,47.1,47.1
20170705_01_02_01,invisible,0.1,P2,58.8,58.9,-0.1000000000000014,48.8,48.9
20170705_01_02_01,invisible,0.1,P2,59.4,59.5,-0.1000000000000014,49.4,49.5
20170705_01_02_01,invisible,0.1,P2,61.1,61.2,-0.1000000000000014,51.1,51.2
20170705_01_02_01,invisible,0.1,P2,63.3,63.4,-0.1000000000000014,53.3,53.4
20170705_01_02_01,invisible,0.1,P2,64.1,64.2,-0.1000000000000085,54.099999999999994,54.2
20170705_01_02_01,invisible,0.1,P2,66.7,66.7,0.0,56.7,56.7
20170705_01_02_01,invisible,0.1,P2,67.3,67.3,0.0,57.3,57.3
20170705_01_02_01,invisible,0.1,P2,67.8,67.9,-0.1000000000000085,57.8,57.900000000000006
20170705_01_02_01,invisible,0.1,P2,68.8,68.8,0.0,58.8,58.8
20170705_01_02_01,invisible,0.1,P2,69.3,69.4,-0.1000000000000085,59.3,59.400000000000006
20170705_01_02_01,invisible,0.1,P3,70.2,70.3,-0.0999999999999943,60.2,60.3
20170705_01_02_01,invisible,0.1,P3,72.7,72.6,0.1000000000000085,62.7,62.599999999999994
20170705_01_02_01,invisible,0.1,P3,76.1,76.0,0.0999999999999943,66.1,66.0
20170705_01_02_01,invisible,0.1,P3,76.6,76.6,0.0,66.6,66.6
20170705_01_02_01,invisible,0.1,P3,81.4,81.5,-0.0999999999999943,71.4,71.5
20170705_01_02_01,invisible,0.1,P3,91.0,91.1,-0.0999999999999943,81.0,81.1
20170705_01_02_01,invisible,0.1,P3,93.3,93.3,0.0,83.3,83.3
20170705_01_02_01,invisible,0.1,P3,94.0,94.0,0.0,84.0,84.0
20170705_01_02_01,invisible,0.1,P3,94.7,94.8,-0.0999999999999943,84.7,84.8
20170705_01_02_01,invisible,0.1,P3,95.3,95.4,-0.1000000000000085,85.3,85.4
20170705_01_02_01,invisible,0.1,P3,97.3,97.2,0.0999999999999943,87.3,87.2
20170705_01_02_01,invisible,0.1,P3,97.9,97.9,0.0,87.9,87.9
20170705_01_02_01,invisible,0.1,P3,106.1,106.0,0.0999999999999943,96.1,96.0
