pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,n_matched,S,z_S,p_right,p_left,null_mean,null_sd,STR,Max_episode,n_windows,n_episodes
20170706_01_02_01,visible,0.1,P1,0.0,20.0,15.7,25,16,1,6,0.2926829268292683,-0.6912140321346871,0.7882211778822118,0.3725627437256274,0.3582487804878048,0.0948560801869842,0.0,0.0,11,0.0
20170706_01_02_01,visible,0.1,P2,20.0,60.0,40.0,62,39,1,22,0.4356435643564356,1.0983324426172545,0.1693830616938306,0.8788121187881212,0.3583069306930692,0.0704127736398992,0.0,0.0,36,0.0
20170706_01_02_01,visible,0.1,P3,60.0,180.0,119.7,165,126,1,45,0.3092783505154639,-1.2502542848946314,0.9126087391260874,0.1135886411358864,0.3573305841924398,0.0384339683994969,0.0,0.0,115,0.0
20170706_01_02_02,visible,0.1,P1,0.0,20.0,15.0,24,21,1,11,0.4888888888888889,0.618302492820176,0.3851614838516148,0.771922807719228,0.4328755555555555,0.0905921195268801,0.0,0.0,11,0.0
20170706_01_02_02,visible,0.1,P2,20.0,60.0,40.0,57,40,1,23,0.4742268041237113,1.8038730966520584,0.0546945305469453,0.9732026797320268,0.3530721649484536,0.0671636155559487,0.0,0.0,36,0.0
20170706_01_02_02,visible,0.1,P3,60.0,180.0,119.6,164,131,1,51,0.3457627118644067,-0.4622642071652909,0.684931506849315,0.3646635336466353,0.3654115254237288,0.0425055915096975,0.0,0.0,115,0.0
20170706_01_02_03,visible,0.1,P1,0.0,20.0,15.0,22,18,1,3,0.15,-1.9436309714377824,0.9946005399460054,0.0348965103489651,0.383365,0.1200665164474975,0.0,0.0,11,0.0
20170706_01_02_03,visible,0.1,P2,20.0,60.0,40.0,60,42,1,22,0.4313725490196078,0.97677441990169,0.2030796920307969,0.8724127587241276,0.3700823529411765,0.0627475441920357,0.0,0.0,36,0.0
20170706_01_02_03,visible,0.1,P3,60.0,180.0,119.5,151,107,1,39,0.3023255813953488,-0.3021926080687059,0.6542345765423457,0.4256574342565743,0.314862015503876,0.0414849131772174,0.0,0.0,115,0.0
20170706_03_04_01,visible,0.1,P1,0.0,20.0,14.1,19,18,1,6,0.3243243243243243,-0.3108523609797903,0.6233376662333766,0.4348565143485651,0.3776648648648649,0.1715944520170733,0.0,0.0,10,0.0
20170706_03_04_01,visible,0.1,P2,20.0,60.0,40.0,51,52,1,19,0.3689320388349514,-0.2417358821737213,0.6636336366363363,0.45995400459954,0.3843495145631067,0.0637781846431703,0.075,3.0,36,1.0
20170706_03_04_01,visible,0.1,P3,60.0,180.0,119.7,154,157,1,70,0.45016077170418,1.483544270019394,0.0840915908409159,0.9333066693330668,0.3884225080385852,0.0416153834524855,0.100250626566416,5.0,115,3.0
20170706_03_04_02,visible,0.1,P1,0.0,20.0,14.9,21,21,1,8,0.3809523809523809,-0.4102637686582279,0.7076292370762923,0.4167583241675832,0.4234428571428572,0.1035686780956597,0.0,0.0,10,0.0
20170706_03_04_02,visible,0.1,P2,20.0,60.0,40.0,55,53,1,22,0.4074074074074074,0.1037772182250531,0.4962503749625037,0.6053394660533946,0.39945,0.0766777867388079,0.075,3.0,36,1.0
20170706_03_04_02,visible,0.1,P3,60.0,180.0,119.3,153,157,1,62,0.4,0.3200308987233096,0.402959704029597,0.6566343365663434,0.3863283870967742,0.0427196653753297,0.0754400670578373,5.0,115,2.0
20170706_03_04_03,visible,0.1,P1,0.0,20.0,13.8,19,26,1,13,0.5777777777777777,1.4520450567377536,0.1228877112288771,0.9515048495150484,0.4387777777777777,0.0957270570599821,0.0,0.0,9,0.0
20170706_03_04_03,visible,0.1,P2,20.0,60.0,40.0,58,63,1,25,0.4132231404958678,-0.5219294786956126,0.7213278672132787,0.3516648335166483,0.4505818181818182,0.0715780181248161,0.0,0.0,36,0.0
20170706_03_04_03,visible,0.1,P3,60.0,180.0,119.4,156,171,1,79,0.4831804281345566,1.8327364603886147,0.0385961403859614,0.9715028497150284,0.4079412844036698,0.0410528984155927,0.050251256281407,6.0,115,1.0
20170706_05_06_01,visible,0.1,P1,0.0,20.0,15.5,26,19,1,6,0.2666666666666666,-1.5602250143460032,0.9573042695730428,0.1125887411258874,0.4019511111111111,0.0867082909199166,0.0,0.0,11,0.0
20170706_05_06_01,visible,0.1,P2,20.0,60.0,40.0,57,44,1,19,0.3762376237623762,0.126094605507575,0.5068493150684932,0.6185381461853815,0.3681683168316831,0.0639940693593618,0.0,0.0,36,0.0
20170706_05_06_01,visible,0.1,P3,60.0,180.0,119.3,122,131,1,44,0.3478260869565217,0.7662584525875927,0.2523747625237476,0.8067193280671933,0.3178197628458498,0.0391595342398416,0.0251466890192791,3.0,115,1.0
20170706_05_06_02,visible,0.1,P1,0.0,20.0,15.5,28,21,1,13,0.5306122448979592,0.999282372044854,0.2278772122787721,0.891010898910109,0.4430612244897958,0.087613894588179,0.0,0.0,11,0.0
20170706_05_06_02,visible,0.1,P2,20.0,60.0,40.0,59,51,1,24,0.4363636363636363,0.5306993638589032,0.3450654934506549,0.7526247375262474,0.4004181818181818,0.0677322359764715,0.0,0.0,36,0.0
20170706_05_06_02,visible,0.1,P3,60.0,180.0,119.8,142,148,1,50,0.3448275862068966,-0.378044959024405,0.6801319868013199,0.3841615838416158,0.3609282758620689,0.0425893515330089,0.025041736227045,3.0,115,1.0
20170706_05_06_03,visible,0.1,P1,0.0,20.0,16.0,25,20,1,7,0.3111111111111111,-1.019737023280614,0.9051094890510948,0.2432756724327567,0.4032088888888888,0.0903152240971778,0.0,0.0,12,0.0
20170706_05_06_03,visible,0.1,P2,20.0,60.0,40.0,59,46,1,22,0.419047619047619,0.5459680942325862,0.3524647535246475,0.7697230276972302,0.3872152380952381,0.0583044710646042,0.0,0.0,36,0.0
20170706_05_06_03,visible,0.1,P3,60.0,180.0,119.7,152,147,1,56,0.3745819397993311,0.0674830603104593,0.5125487451254874,0.5617438256174383,0.3719150501672241,0.0395193937535992,0.0417710944026733,5.0,115,1.0
20170706_11_12_01,visible,0.1,P1,0.0,20.0,13.6,17,18,1,6,0.3428571428571428,-0.2352560989624146,0.6781321867813219,0.5115488451154885,0.3741485714285714,0.1330100631160589,0.0,0.0,9,0.0
20170706_11_12_01,visible,0.1,P2,20.0,60.0,40.0,36,45,1,19,0.4691358024691358,2.650318694887995,0.0074992500749925,0.9974002599740026,0.296558024691358,0.0651158587496101,0.225,6.0,36,2.0
20170706_11_12_01,visible,0.1,P3,60.0,180.0,118.7,110,130,1,38,0.3166666666666666,0.407132799389243,0.3732626737326267,0.7033296670332967,0.3006925,0.0392357645727146,0.033698399326032,4.0,114,1.0
20170706_11_12_02,visible,0.1,P1,0.0,20.0,14.0,18,18,1,7,0.3888888888888889,0.0308468574289173,0.5434456554344566,0.6164383561643836,0.3850666666666666,0.1239096148134394,0.0,0.0,10,0.0
20170706_11_12_02,visible,0.1,P2,20.0,60.0,40.0,44,46,1,20,0.4444444444444444,1.0992877220885566,0.1678832116788321,0.8795120487951205,0.3366555555555555,0.0980533910486135,0.0,0.0,36,0.0
20170706_11_12_02,visible,0.1,P3,60.0,180.0,119.2,97,125,1,36,0.3243243243243243,1.187199581802123,0.1445855414458554,0.8977102289771023,0.2741603603603604,0.0422540276570995,0.0251677852348993,3.0,115,1.0
20170706_11_12_03,visible,0.1,P1,0.0,20.0,13.9,15,16,1,4,0.2580645161290322,-0.4758445093521791,0.7257274272572742,0.4110588941105889,0.3221870967741935,0.1347553231883638,0.0,0.0,9,0.0
20170706_11_12_03,visible,0.1,P2,20.0,60.0,40.0,43,45,1,10,0.2272727272727272,-1.4781893305438218,0.9577042295770424,0.0760923907609239,0.3275590909090909,0.0678440586494211,0.0,0.0,36,0.0
20170706_11_12_03,visible,0.1,P3,60.0,180.0,119.3,113,135,1,38,0.3064516129032258,-0.0532619556233208,0.557044295570443,0.5238476152384761,0.3084354838709677,0.0372474300750853,0.0,0.0,115,0.0
20170710_01_02_01,visible,0.1,P1,0.0,20.0,15.0,20,23,1,8,0.3720930232558139,-0.4296648269504711,0.7201279872012799,0.3976602339766023,0.4157441860465116,0.1015935213978534,0.0,0.0,11,0.0
20170710_01_02_01,visible,0.1,P2,20.0,60.0,40.0,60,49,1,18,0.3302752293577982,-1.0433363810545973,0.8734126587341265,0.1994800519948005,0.4045669724770642,0.0712059355623854,0.0,0.0,36,0.0
