pair_id,condition,delta,period,a_time,b_time,dt,a_time_rel,b_time_rel
20170706_01_02_01,visible,0.1,P1,5.3,5.4,-0.10000000000000053,1.0,1.1000000000000005
20170706_01_02_01,visible,0.1,P1,6.6,6.7,-0.10000000000000053,2.3,2.4000000000000004
20170706_01_02_01,visible,0.1,P1,7.8,7.9,-0.10000000000000053,3.5,3.6000000000000005
20170706_01_02_01,visible,0.1,P1,12.5,12.5,0.0,8.2,8.2
20170706_01_02_01,visible,0.1,P1,14.1,14.2,-0.09999999999999964,9.8,9.899999999999999
20170706_01_02_01,visible,0.1,P1,18.0,18.0,0.0,13.7,13.7
20170706_01_02_01,visible,0.1,P2,20.4,20.3,0.09999999999999787,16.099999999999998,16.0
20170706_01_02_01,visible,0.1,P2,21.0,21.1,-0.10000000000000142,16.7,16.8
20170706_01_02_01,visible,0.1,P2,22.8,22.7,0.10000000000000142,18.5,18.4
20170706_01_02_01,visible,0.1,P2,25.5,25.5,0.0,21.2,21.2
20170706_01_02_01,visible,0.1,P2,26.7,26.8,-0.10000000000000142,22.4,22.5
20170706_01_02_01,visible,0.1,P2,27.8,27.7,0.10000000000000142,23.5,23.4
20170706_01_02_01,visible,0.1,P2,29.3,29.4,-0.09999999999999787,25.0,25.099999999999998
20170706_01_02_01,visible,0.1,P2,37.0,36.9,0.10000000000000142,32.7,32.6
20170706_01_02_01,visible,0.1,P2,37.7,37.6,0.10000000000000142,33.400000000000006,33.300000000000004
20170706_01_02_01,visible,0.1,P2,38.5,38.4,0.10000000000000142,34.2,34.1
20170706_01_02_01,visible,0.1,P2,39.1,39.0,0.10000000000000142,34.800000000000004,34.7
20170706_01_02_01,visible,0.1,P2,39.6,39.7,-0.10000000000000142,35.300000000000004,35.400000000000006
20170706_01_02_01,visible,0.1,P2,41.2,41.1,0.10000000000000142,36.900000000000006,36.800000000000004
20170706_01_02_01,visible,0.1,P2,41.9,41.9,0.0,37.6,37.6
20170706_01_02_01,visible,0.1,P2,43.2,43.3,-0.09999999999999432,38.900000000000006,39.0
20170706_01_02_01,visible,0.1,P2,44.9,44.8,0.10000000000000142,40.6,40.5
20170706_01_02_01,visible,0.1,P2,50.0,50.1,-0.10000000000000142,45.7,45.800000000000004
20170706_01_02_01,visible,0.1,P2,52.5,52.5,0.0,48.2,48.2
20170706_01_02_01,visible,0.1,P2,53.5,53.4,0.10000000000000142,49.2,49.1
20170706_01_02_01,visible,0.1,P2,54.1,54.1,0.0,49.800000000000004,49.800000000000004
20170706_01_02_01,visible,0.1,P2,56.3,56.2,0.09999999999999432,52.0,51.900000000000006
20170706_01_02_01,visible,0.1,P2,57.6,57.6,0.0,53.300000000000004,53.300000000000004
20170706_01_02_01,visible,0.1,P3,60.9,60.8,0.10000000000000142,56.6,56.5
20170706_01_02_01,visible,0.1,P3,69.1,69.2,-0.10000000000000853,64.8,64.9
20170706_01_02_01,visible,0.1,P3,77.1,77.0,0.09999999999999432,72.8,72.7
20170706_01_02_01,visible,0.1,P3,77.9,77.8,0.10000000000000853,73.60000000000001,73.5
20170706_01_02_01,visible,0.1,P3,78.5,78.4,0.09999999999999432,74.2,74.10000000000001
20170706_01_02_01,visible,0.1,P3,79.2,79.1,0.10000000000000853,74.9,74.8
20170706_01_02_01,visible,0.1,P3,79.7,79.6,0.10000000000000853,75.4,75.3
20170706_01_02_01,visible,0.1,P3,84.4,84.4,0.0,80.10000000000001,80.10000000000001
20170706_01_02_01,visible,0.1,P3,86.4,86.3,0.10000000000000853,82.10000000000001,82.0
20170706_01_02_01,visible,0.1,P3,88.4,88.5,-0.09999999999999432,84.10000000000001,84.2
20170706_01_02_01,visible,0.1,P3,89.6,89.7,-0.10000000000000853,85.3,85.4
20170706_01_02_01,visible,0.1,P3,94.5,94.6,-0.09999999999999432,90.2,90.3
20170706_01_02_01,visible,0.1,P3,97.4,97.4,0.0,93.10000000000001,93.10000000000001
20170706_01_02_01,visible,0.1,P3,100.6,100.6,0.0,96.3,96.3
20170706_01_02_01,visible,0.1,P3,105.3,105.3,0.0,101.0,101.0
20170706_01_02_01,visible,0.1,P3,106.0,106.1,-0.09999999999999432,101.7,101.8
20170706_01_02_01,visible,0.1,P3,107.1,107.1,0.0,102.8,102.8
20170706_01_02_01,visible,0.1,P3,109.8,109.8,0.0,105.5,105.5
20170706_01_02_01,visible,0.1,P3,111.3,111.3,0.0,107.0,107.0
20170706_01_02_01,visible,0.1,P3,113.4,113.3,0.10000000000000853,109.10000000000001,109.0
20170706_01_02_01,visible,0.1,P3,115.5,115.6,-0.09999999999999432,111.2,111.3
20170706_01_02_01,visible,0.1,P3,117.5,117.6,-0.09999999999999432,113.2,113.3
20170706_01_02_01,visible,0.1,P3,119.7,119.8,-0.09999999999999432,115.4,115.5
20170706_01_02_01,visible,0.1,P3,122.1,122.0,0.09999999999999432,117.8,117.7
20170706_01_02_01,visible,0.1,P3,123.1,123.0,0.09999999999999432,118.8,118.7
20170706_01_02_01,visible,0.1,P3,124.2,124.2,0.0,119.9,119.9
20170706_01_02_01,visible,0.1,P3,125.8,125.7,0.09999999999999432,121.5,121.4
20170706_01_02_01,visible,0.1,P3,126.5,126.4,0.09999999999999432,122.2,122.10000000000001
20170706_01_02_01,visible,0.1,P3,131.3,131.4,-0.09999999999999432,127.00000000000001,127.10000000000001
20170706_01_02_01,visible,0.1,P3,132.1,132.1,0.0,127.8,127.8
20170706_01_02_01,visible,0.1,P3,136.0,135.9,0.09999999999999432,131.7,131.6
20170706_01_02_01,visible,0.1,P3,136.7,136.7,0.0,132.39999999999998,132.39999999999998
20170706_01_02_01,visible,0.1,P3,139.8,139.8,0.0,135.5,135.5
20170706_01_02_01,visible,0.1,P3,146.7,146.8,-0.10000000000002274,142.39999999999998,142.5
20170706_01_02_01,visible,0.1,P3,152.6,152.6,0.0,148.29999999999998,148.29999999999998
20170706_01_02_01,visible,0.1,P3,155.4,155.3,0.09999999999999432,151.1,151.0
20170706_01_02_01,visible,0.1,P3,156.0,156.1,-0.09999999999999432,151.7,151.79999999999998
20170706_01_02_01,visible,0.1,P3,156.7,156.7,0.0,152.39999999999998,152.39999999999998
20170706_01_02_01,visible,0.1,P3,159.9,159.8,0.09999999999999432,155.6,155.5
20170706_01_02_01,visible,0.1,P3,164.8,164.8,0.0,160.5,160.5
20170706_01_02_01,visible,0.1,P3,169.6,169.5,0.09999999999999432,165.29999999999998,165.2
20170706_01_02_01,visible,0.1,P3,172.5,172.4,0.09999999999999432,168.2,168.1
20170706_01_02_01,visible,0.1,P3,173.2,173.1,0.09999999999999432,168.89999999999998,168.79999999999998
20170706_01_02_01,visible,0.1,P3,175.6,175.5,0.09999999999999432,171.29999999999998,171.2
20170706_01_02_01,visible,0.1,P3,179.7,179.7,0.0,175.39999999999998,175.39999999999998
20170706_01_02_02,visible,0.1,P1,6.0,5.9,0.09999999999999964,1.0,0.9000000000000004
20170706_01_02_02,visible,0.1,P1,8.8,8.9,-0.09999999999999964,3.8000000000000007,3.9000000000000004
20170706_01_02_02,visible,0.1,P1,9.4,9.4,0.0,4.4,4.4
20170706_01_02_02,visible,0.1,P1,9.9,10.0,-0.09999999999999964,4.9,5.0
20170706_01_02_02,visible,0.1,P1,10.7,10.7,0.0,5.699999999999999,5.699999999999999
20170706_01_02_02,visible,0.1,P1,11.5,11.6,-0.09999999999999964,6.5,6.6
20170706_01_02_02,visible,0.1,P1,12.4,12.3,0.09999999999999964,7.4,7.300000000000001
20170706_01_02_02,visible,0.1,P1,16.9,16.9,0.0,11.899999999999999,11.899999999999999
20170706_01_02_02,visible,0.1,P1,17.6,17.7,-0.09999999999999787,12.600000000000001,12.7
20170706_01_02_02,visible,0.1,P1,19.1,19.1,0.0,14.100000000000001,14.100000000000001
20170706_01_02_02,visible,0.1,P1,19.7,19.7,0.0,14.7,14.7
20170706_01_02_02,visible,0.1,P2,20.6,20.5,0.10000000000000142,15.600000000000001,15.5
20170706_01_02_02,visible,0.1,P2,22.6,22.7,-0.09999999999999787,17.6,17.7
20170706_01_02_02,visible,0.1,P2,23.9,24.0,-0.10000000000000142,18.9,19.0
20170706_01_02_02,visible,0.1,P2,25.4,25.3,0.09999999999999787,20.4,20.3
20170706_01_02_02,visible,0.1,P2,26.0,25.9,0.10000000000000142,21.0,20.9
20170706_01_02_02,visible,0.1,P2,26.6,26.5,0.10000000000000142,21.6,21.5
20170706_01_02_02,visible,0.1,P2,27.3,27.3,0.0,22.3,22.3
20170706_01_02_02,visible,0.1,P2,30.5,30.4,0.10000000000000142,25.5,25.4
20170706_01_02_02,visible,0.1,P2,34.1,34.1,0.0,29.1,29.1
20170706_01_02_02,visible,0.1,P2,36.3,36.4,-0.10000000000000142,31.299999999999997,31.4
20170706_01_02_02,visible,0.1,P2,38.1,38.2,-0.10000000000000142,33.1,33.2
20170706_01_02_02,visible,0.1,P2,39.8,39.8,0.0,34.8,34.8
20170706_01_02_02,visible,0.1,P2,40.5,40.6,-0.10000000000000142,35.5,35.6
20170706_01_02_02,visible,0.1,P2,41.3,41.4,-0.10000000000000142,36.3,36.4
20170706_01_02_02,visible,0.1,P2,43.6,43.5,0.10000000000000142,38.6,38.5
20170706_01_02_02,visible,0.1,P2,44.2,44.3,-0.09999999999999432,39.2,39.3
20170706_01_02_02,visible,0.1,P2,44.9,45.0,-0.10000000000000142,39.9,40.0
20170706_01_02_02,visible,0.1,P2,45.8,45.7,0.09999999999999432,40.8,40.7
20170706_01_02_02,visible,0.1,P2,47.9,47.8,0.10000000000000142,42.9,42.8
20170706_01_02_02,visible,0.1,P2,49.1,49.1,0.0,44.1,44.1
20170706_01_02_02,visible,0.1,P2,54.5,54.6,-0.10000000000000142,49.5,49.6
20170706_01_02_02,visible,0.1,P2,56.2,56.2,0.0,51.2,51.2
20170706_01_02_02,visible,0.1,P2,59.5,59.4,0.10000000000000142,54.5,54.4
20170706_01_02_02,visible,0.1,P3,60.9,60.9,0.0,55.9,55.9
20170706_01_02_02,visible,0.1,P3,65.8,65.7,0.09999999999999432,60.8,60.7
20170706_01_02_02,visible,0.1,P3,66.5,66.4,0.09999999999999432,61.5,61.400000000000006
20170706_01_02_02,visible,0.1,P3,67.8,67.9,-0.10000000000000853,62.8,62.900000000000006
20170706_01_02_02,visible,0.1,P3,70.4,70.3,0.10000000000000853,65.4,65.3
20170706_01_02_02,visible,0.1,P3,70.9,71.0,-0.09999999999999432,65.9,66.0
20170706_01_02_02,visible,0.1,P3,72.4,72.4,0.0,67.4,67.4
20170706_01_02_02,visible,0.1,P3,73.0,73.1,-0.09999999999999432,68.0,68.1
20170706_01_02_02,visible,0.1,P3,76.3,76.2,0.09999999999999432,71.3,71.2
20170706_01_02_02,visible,0.1,P3,80.4,80.3,0.10000000000000853,75.4,75.3
20170706_01_02_02,visible,0.1,P3,81.2,81.1,0.10000000000000853,76.2,76.1
20170706_01_02_02,visible,0.1,P3,83.6,83.7,-0.10000000000000853,78.6,78.7
20170706_01_02_02,visible,0.1,P3,86.0,86.1,-0.09999999999999432,81.0,81.1
20170706_01_02_02,visible,0.1,P3,88.3,88.2,0.09999999999999432,83.3,83.2
20170706_01_02_02,visible,0.1,P3,88.9,88.9,0.0,83.9,83.9
20170706_01_02_02,visible,0.1,P3,93.3,93.3,0.0,88.3,88.3
20170706_01_02_02,visible,0.1,P3,94.6,94.6,0.0,89.6,89.6
20170706_01_02_02,visible,0.1,P3,98.1,98.2,-0.10000000000000853,93.1,93.2
20170706_01_02_02,visible,0.1,P3,104.0,104.0,0.0,99.0,99.0
20170706_01_02_02,visible,0.1,P3,104.8,104.8,0.0,99.8,99.8
20170706_01_02_02,visible,0.1,P3,107.7,107.7,0.0,102.7,102.7
20170706_01_02_02,visible,0.1,P3,108.3,108.4,-0.10000000000000853,103.3,103.4
20170706_01_02_02,visible,0.1,P3,109.6,109.7,-0.10000000000000853,104.6,104.7
20170706_01_02_02,visible,0.1,P3,113.9,114.0,-0.09999999999999432,108.9,109.0
20170706_01_02_02,visible,0.1,P3,115.6,115.5,0.09999999999999432,110.6,110.5
20170706_01_02_02,visible,0.1,P3,119.1,119.1,0.0,114.1,114.1
20170706_01_02_02,visible,0.1,P3,119.8,119.7,0.09999999999999432,114.8,114.7
20170706_01_02_02,visible,0.1,P3,124.8,124.7,0.09999999999999432,119.8,119.7
20170706_01_02_02,visible,0.1,P3,125.6,125.5,0.09999999999999432,120.6,120.5
20170706_01_02_02,visible,0.1,P3,126.3,126.2,0.09999999999999432,121.3,121.2
20170706_01_02_02,visible,0.1,P3,128.1,128.1,0.0,123.1,123.1
20170706_01_02_02,visible,0.1,P3,129.0,128.9,0.09999999999999432,124.0,123.9
20170706_01_02_02,visible,0.1,P3,130.2,130.1,0.09999999999999432,125.19999999999999,125.1
20170706_01_02_02,visible,0.1,P3,130.8,130.8,0.0,125.80000000000001,125.80000000000001
20170706_01_02_02,visible,0.1,P3,131.5,131.6,-0.09999999999999432,126.5,126.6
20170706_01_02_02,visible,0.1,P3,134.3,134.2,0.10000000000002274,129.3,129.2
20170706_01_02_02,visible,0.1,P3,134.9,134.9,0.0,129.9,129.9
20170706_01_02_02,visible,0.1,P3,137.7,137.6,0.09999999999999432,132.7,132.6
20170706_01_02_02,visible,0.1,P3,138.3,138.3,0.0,133.3,133.3
20170706_01_02_02,visible,0.1,P3,139.0,139.0,0.0,134.0,134.0
20170706_01_02_02,visible,0.1,P3,145.3,145.4,-0.09999999999999432,140.3,140.4
20170706_01_02_02,visible,0.1,P3,150.7,150.8,-0.10000000000002274,145.7,145.8
20170706_01_02_02,visible,0.1,P3,154.4,154.5,-0.09999999999999432,149.4,149.5
20170706_01_02_02,visible,0.1,P3,155.9,155.8,0.09999999999999432,150.9,150.8
20170706_01_02_02,visible,0.1,P3,157.4,157.3,0.09999999999999432,152.4,152.3
20170706_01_02_02,visible,0.1,P3,162.4,162.4,0.0,157.4,157.4
20170706_01_02_02,visible,0.1,P3,163.9,163.9,0.0,158.9,158.9
20170706_01_02_02,visible,0.1,P3,167.8,167.7,0.10000000000002274,162.8,162.7
20170706_01_02_02,visible,0.1,P3,172.8,172.9,-0.09999999999999432,167.8,167.9
20170706_01_02_02,visible,0.1,P3,173.9,173.8,0.09999999999999432,168.9,168.8
20170706_01_02_02,visible,0.1,P3,176.5,176.6,-0.09999999999999432,171.5,171.6
20170706_01_02_03,visible,0.1,P1,6.6,6.7,-0.10000000000000053,1.5999999999999996,1.7000000000000002
20170706_01_02_03,visible,0.1,P1,10.5,10.4,0.09999999999999964,5.5,5.4
20170706_01_02_03,visible,0.1,P1,19.5,19.5,0.0,14.5,14.5
20170706_01_02_03,visible,0.1,P2,20.1,20.2,-0.09999999999999787,15.100000000000001,15.2
20170706_01_02_03,visible,0.1,P2,23.4,23.5,-0.10000000000000142,18.4,18.5
20170706_01_02_03,visible,0.1,P2,24.3,24.4,-0.09999999999999787,19.3,19.4
20170706_01_02_03,visible,0.1,P2,27.4,27.5,-0.10000000000000142,22.4,22.5
20170706_01_02_03,visible,0.1,P2,28.4,28.3,0.09999999999999787,23.4,23.3
20170706_01_02_03,visible,0.1,P2,28.9,28.9,0.0,23.9,23.9
20170706_01_02_03,visible,0.1,P2,29.6,29.7,-0.09999999999999787,24.6,24.7
20170706_01_02_03,visible,0.1,P2,30.2,30.3,-0.10000000000000142,25.2,25.3
20170706_01_02_03,visible,0.1,P2,32.0,31.9,0.10000000000000142,27.0,26.9
20170706_01_02_03,visible,0.1,P2,32.7,32.6,0.10000000000000142,27.700000000000003,27.6
20170706_01_02_03,visible,0.1,P2,33.8,33.8,0.0,28.799999999999997,28.799999999999997
20170706_01_02_03,visible,0.1,P2,35.9,35.9,0.0,30.9,30.9
20170706_01_02_03,visible,0.1,P2,39.3,39.3,0.0,34.3,34.3
20170706_01_02_03,visible,0.1,P2,40.9,41.0,-0.10000000000000142,35.9,36.0
20170706_01_02_03,visible,0.1,P2,41.6,41.7,-0.10000000000000142,36.6,36.7
20170706_01_02_03,visible,0.1,P2,42.8,42.8,0.0,37.8,37.8
20170706_01_02_03,visible,0.1,P2,51.2,51.2,0.0,46.2,46.2
20170706_01_02_03,visible,0.1,P2,52.0,51.9,0.10000000000000142,47.0,46.9
20170706_01_02_03,visible,0.1,P2,52.5,52.5,0.0,47.5,47.5
20170706_01_02_03,visible,0.1,P2,53.2,53.3,-0.09999999999999432,48.2,48.3
20170706_01_02_03,visible,0.1,P2,54.1,54.2,-0.10000000000000142,49.1,49.2
20170706_01_02_03,visible,0.1,P2,58.0,58.1,-0.10000000000000142,53.0,53.1
20170706_01_02_03,visible,0.1,P3,70.7,70.7,0.0,65.7,65.7
20170706_01_02_03,visible,0.1,P3,73.4,73.5,-0.09999999999999432,68.4,68.5
20170706_01_02_03,visible,0.1,P3,74.2,74.1,0.10000000000000853,69.2,69.1
20170706_01_02_03,visible,0.1,P3,74.9,74.9,0.0,69.9,69.9
20170706_01_02_03,visible,0.1,P3,77.6,77.5,0.09999999999999432,72.6,72.5
20170706_01_02_03,visible,0.1,P3,79.7,79.6,0.10000000000000853,74.7,74.6
20170706_01_02_03,visible,0.1,P3,84.2,84.1,0.10000000000000853,79.2,79.1
20170706_01_02_03,visible,0.1,P3,86.1,86.1,0.0,81.1,81.1
20170706_01_02_03,visible,0.1,P3,87.8,87.8,0.0,82.8,82.8
20170706_01_02_03,visible,0.1,P3,93.5,93.4,0.09999999999999432,88.5,88.4
20170706_01_02_03,visible,0.1,P3,94.4,94.3,0.10000000000000853,89.4,89.3
