pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,n_matched,S,z_S,p_right,p_left,null_mean,null_sd,STR,Max_episode,n_windows,n_episodes
20170706_01_02_01,visible,0.1,P1,0.0,15.0,10.7,17,12,1,5,0.3448275862068966,-0.19247481733776975,0.7037296270372962,0.5593440655934406,0.363248275862069,0.09570441427070613,0.0,0.0,6.0,0.0
20170706_01_02_01,visible,0.1,P2,15.0,55.0,40.0,62,39,1,21,0.4158415841584158,1.1968925222122777,0.1645835416458354,0.9115088491150884,0.35201584158415833,0.053326210490717334,0.0,0.0,36.0,0.0
20170706_01_02_01,visible,0.1,P3,55.0,180.0,124.69999999999999,173,131,1,47,0.3092105263157895,-1.2011258569144325,0.898010198980102,0.13308669133086692,0.35683223684210524,0.03964756087147352,0.0,0.0,120.0,0.0
20170706_01_02_02,visible,0.1,P1,0.0,15.0,10.0,15,14,1,7,0.4827586206896552,0.5177149935516219,0.3481651834816518,0.8087191280871913,0.41508275862068966,0.130720305403358,0.0,0.0,6.0,0.0
20170706_01_02_02,visible,0.1,P2,15.0,55.0,40.0,58,41,1,25,0.5050505050505051,2.2750026300570942,0.019598040195980403,0.9882011798820118,0.3577272727272727,0.0647573898934504,0.0,0.0,36.0,0.0
20170706_01_02_02,visible,0.1,P3,55.0,180.0,124.6,172,137,1,53,0.343042071197411,-0.5450897982363774,0.7343265673432656,0.3330666933306669,0.36478964401294495,0.039897229568224585,0.0,0.0,120.0,0.0
20170706_01_02_03,visible,0.1,P1,0.0,15.0,10.0,14,15,1,2,0.13793103448275862,-2.0199228482781075,1.0,0.0206979302069793,0.4193517241379311,0.13932249436906505,0.0,0.0,6.0,0.0
20170706_01_02_03,visible,0.1,P2,15.0,55.0,40.0,61,42,1,22,0.42718446601941745,0.9205396114754251,0.2293770622937706,0.8391160883911609,0.37205825242718443,0.059884672973363605,0.0,0.0,36.0,0.0
20170706_01_02_03,visible,0.1,P3,55.0,180.0,124.5,158,110,1,40,0.29850746268656714,-0.3443653938021147,0.6582341765823417,0.41585841415858416,0.3123268656716418,0.040130057299009016,0.0,0.0,120.0,0.0
20170706_03_04_01,visible,0.1,P1,0.0,15.0,9.1,14,10,1,4,0.3333333333333333,-0.15669760410177466,0.591040895910409,0.5004499550044995,0.35878333333333334,0.16241473598709474,,,0.0,
20170706_03_04_01,visible,0.1,P2,15.0,55.0,40.0,53,55,1,20,0.37037037037037035,-0.4916600264615746,0.7326267373262674,0.3574642535746425,0.4033,0.06697642244097149,0.075,3.0,36.0,1.0
20170706_03_04_01,visible,0.1,P3,55.0,180.0,124.69999999999999,158,161,1,71,0.445141065830721,1.5338451987667936,0.07429257074292571,0.9459054094590541,0.38197993730407526,0.04117829398783337,0.10425020048115478,5.0,120.0,3.0
20170706_03_04_02,visible,0.1,P1,0.0,15.0,9.9,15,16,1,7,0.45161290322580644,0.14497482830269848,0.5743425657434257,0.6986301369863014,0.4383548387096774,0.09145080336599554,,,0.0,
20170706_03_04_02,visible,0.1,P2,15.0,55.0,40.0,55,53,1,20,0.37037037037037035,-0.4668853321026807,0.7228277172282772,0.36446355364463556,0.40454444444444443,0.07319586143382692,0.075,3.0,36.0,1.0
20170706_03_04_02,visible,0.1,P3,55.0,180.0,124.30000000000001,159,161,1,64,0.4,0.36770081456038944,0.39466053394660533,0.6656334366563343,0.38481937499999996,0.04128526345025778,0.07240547063555912,5.0,120.0,2.0
