pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,n_matched,S,z_S,p_right,p_left,null_mean,null_sd,STR,Max_episode,n_windows,n_episodes
20170706_01_02_01,visible,0.1,P1,0.0,25.0,20.7,33,20,1,9,0.33962264150943394,-0.1159809659658261,0.6121387861213878,0.5312468753124687,0.34920754716981134,0.0826420575183138,0.0,0.0,16,0.0
20170706_01_02_01,visible,0.1,P2,25.0,65.0,40.0,61,41,1,20,0.39215686274509803,0.39044348286260144,0.40995900409959,0.7027297270272973,0.36705490196078433,0.06429089454964006,0.0,0.0,36,0.0
20170706_01_02_01,visible,0.1,P3,65.0,180.0,114.69999999999999,158,120,1,44,0.31654676258992803,-0.9603383458745743,0.8560143985601439,0.18468153184681532,0.3551748201438849,0.04022338347718328,0.0,0.0,110,0.0
20170706_01_02_02,visible,0.1,P1,0.0,25.0,20.0,30,28,1,14,0.4827586206896552,0.6403398629403874,0.29187081291870814,0.7954204579542046,0.4227379310344828,0.09373255224118386,0.0,0.0,16,0.0
20170706_01_02_02,visible,0.1,P2,25.0,65.0,40.0,57,38,1,21,0.4421052631578947,1.5291714347932488,0.0766923307669233,0.9537046295370463,0.33971999999999997,0.0669547317117768,0.0,0.0,36,0.0
20170706_01_02_02,visible,0.1,P3,65.0,180.0,114.6,157,127,1,50,0.352112676056338,-0.2814606445204733,0.6383361663833617,0.41585841415858416,0.36494295774647884,0.04558463834970563,0.0,0.0,110,0.0
20170706_01_02_03,visible,0.1,P1,0.0,25.0,20.0,31,25,1,6,0.21428571428571427,-1.9275924356233067,0.9843015698430156,0.0410958904109589,0.40516785714285714,0.09902619419411612,0.0,0.0,16,0.0
20170706_01_02_03,visible,0.1,P2,25.0,65.0,40.0,57,41,1,19,0.3877551020408163,0.46752033161108775,0.37946205379462056,0.7315268473152685,0.3569734693877551,0.0658402011030983,0.15,3.0,36,2.0
20170706_01_02_03,visible,0.1,P3,65.0,180.0,114.5,146,101,1,39,0.3157894736842105,0.10390008061073988,0.4874512548745126,0.5858414158584142,0.31129230769230765,0.04328356595555906,0.0,0.0,110,0.0
20170706_03_04_01,visible,0.1,P1,0.0,25.0,19.1,25,25,1,9,0.36,-0.19705458801474462,0.6158384161583842,0.5129487051294871,0.380944,0.10628526953370343,0.0,0.0,15,0.0
20170706_03_04_01,visible,0.1,P2,25.0,65.0,40.0,51,53,1,19,0.36538461538461536,-0.28546828625903425,0.6618338166183382,0.4430556944305569,0.38437307692307693,0.06651688629689469,0.0,0.0,36,0.0
20170706_03_04_01,visible,0.1,P3,65.0,180.0,114.69999999999999,149,148,1,67,0.4511784511784512,1.586287205342601,0.07589241075892411,0.9526047395260474,0.3859441077441077,0.04112391704013926,0.09590235396687011,5.0,110,3.0
20170706_03_04_02,visible,0.1,P1,0.0,25.0,19.9,28,30,1,13,0.4482758620689655,0.21273937730461073,0.47235276472352766,0.6328367163283671,0.42622068965517246,0.10367226177508916,0.0,0.0,15,0.0
20170706_03_04_02,visible,0.1,P2,25.0,65.0,40.0,52,49,1,18,0.3564356435643564,-0.29144713290772983,0.6732326767323268,0.44425557444255576,0.37829900990099,0.07501657716960762,0.075,3.0,36,1.0
20170706_03_04_02,visible,0.1,P3,65.0,180.0,114.30000000000001,148,151,1,60,0.4013377926421405,0.2103117675998079,0.4567543245675432,0.6045395460453955,0.39188628762541805,0.04494044781510866,0.07874015748031496,5.0,110,2.0
20170706_03_04_03,visible,0.1,P1,0.0,25.0,18.8,26,33,1,15,0.5084745762711864,0.6390403751946602,0.34526547345265474,0.7784221577842215,0.45352881355932206,0.08598167634576633,0.0,0.0,14,0.0
20170706_03_04_03,visible,0.1,P2,25.0,65.0,40.0,55,62,1,25,0.42735042735042733,-0.15254429547789766,0.6063393660633937,0.5022497750224978,0.4373880341880343,0.0658012599301776,0.0,0.0,36,0.0
20170706_03_04_03,visible,0.1,P3,65.0,180.0,114.4,151,164,1,77,0.4888888888888889,1.6357950206332112,0.047995200479952004,0.9619038096190381,0.4112850793650794,0.047441035426168045,0.026223776223776224,3.0,110,1.0
20170706_05_06_01,visible,0.1,P1,0.0,25.0,20.5,33,24,1,9,0.3157894736842105,-1.0285157611106808,0.8911108889111089,0.22247775222477753,0.39580350877192977,0.07779563339050162,0.0,0.0,16,0.0
20170706_05_06_01,visible,0.1,P2,25.0,65.0,40.0,55,43,1,18,0.3673469387755102,0.1006716052700454,0.5468453154684532,0.6043395660433957,0.3616551020408163,0.05653865078863022,0.0,0.0,36,0.0
20170706_05_06_01,visible,0.1,P3,65.0,180.0,114.30000000000001,116,127,1,42,0.345679012345679,0.6580871800750061,0.2842715728427157,0.7836216378362164,0.3192658436213992,0.040136276049731474,0.052493438320209966,3.0,110,2.0
20170706_05_06_02,visible,0.1,P1,0.0,25.0,20.5,34,27,1,16,0.5245901639344263,1.3464525380724122,0.13408659134086592,0.9432056794320568,0.42914754098360647,0.07088450595329257,0.0,0.0,16,0.0
20170706_05_06_02,visible,0.1,P2,25.0,65.0,40.0,59,51,1,22,0.4,-0.1489003010925151,0.6047395260473952,0.506049395060494,0.4099836363636363,0.06704913482635064,0.0,0.0,36,0.0
20170706_05_06_02,visible,0.1,P3,65.0,180.0,114.80000000000001,135,141,1,49,0.35507246376811596,-0.07208876263816762,0.567043295670433,0.5138486151384861,0.35818840579710143,0.04322368584165042,0.026132404181184666,3.0,110,1.0
20170706_05_06_03,visible,0.1,P1,0.0,25.0,21.0,33,26,1,10,0.3389830508474576,-0.8307240290822202,0.8556144385561444,0.2860713928607139,0.40536949152542373,0.07991395259302843,0.0,0.0,17,0.0
20170706_05_06_03,visible,0.1,P2,25.0,65.0,40.0,60,45,1,22,0.41904761904761906,0.5881595194372559,0.32826717328267174,0.7816218378162184,0.3848247619047619,0.058186352531709756,0.0,0.0,36,0.0
20170706_05_06_03,visible,0.1,P3,65.0,180.0,114.69999999999999,144,142,1,53,0.3706293706293706,0.019048656334622674,0.5285471452854714,0.5398460153984601,0.36983986013986014,0.04144704359411816,0.06102877070619007,7.0,110,1.0
20170706_11_12_01,visible,0.1,P1,0.0,25.0,18.6,21,23,1,9,0.4090909090909091,0.7917145963876221,0.2786721327867213,0.8283171682831717,0.3262227272727273,0.10466926111541554,0.0,0.0,14,0.0
20170706_11_12_01,visible,0.1,P2,25.0,65.0,40.0,38,48,1,19,0.4418604651162791,1.848586453207919,0.05629437056294371,0.9744025597440256,0.3144255813953489,0.06893639380500048,0.075,3.0,36,1.0
20170706_11_12_01,visible,0.1,P3,65.0,180.0,113.69999999999999,105,122,1,35,0.30837004405286345,0.2538693484722944,0.4330566943305669,0.6306369363063694,0.29766696035242296,0.04215981080366048,0.03518029903254178,4.0,109,1.0
20170706_11_12_02,visible,0.1,P1,0.0,25.0,19.0,23,22,1,9,0.4,0.49015058196049344,0.4006599340065993,0.7603239676032397,0.3532577777777778,0.09536298423897353,0.0,0.0,15,0.0
20170706_11_12_02,visible,0.1,P2,25.0,65.0,40.0,43,47,1,18,0.4,0.7510507841617412,0.2515748425157484,0.8008199180081992,0.3311311111111111,0.09169671391230155,0.0,0.0,36,0.0
20170706_11_12_02,visible,0.1,P3,65.0,180.0,114.19999999999999,93,121,1,36,0.3364485981308411,1.4653242558388722,0.08509149085091491,0.944905509449055,0.2744233644859813,0.0423286746245468,0.05253940455341507,3.0,110,2.0
20170706_11_12_03,visible,0.1,P1,0.0,25.0,18.9,24,23,1,8,0.3404255319148936,-0.1161096824542867,0.5668433156684332,0.5575442455754425,0.3528,0.10657567761395197,0.0,0.0,14,0.0
20170706_11_12_03,visible,0.1,P2,25.0,65.0,40.0,38,46,1,7,0.16666666666666666,-2.241213786406071,0.9957004299570043,0.004399560043995601,0.3121380952380952,0.06490743072069945,0.0,0.0,36,0.0
20170706_11_12_03,visible,0.1,P3,65.0,180.0,114.30000000000001,109,127,1,37,0.3135593220338983,0.1515494167879357,0.48235176482351766,0.6076392360763924,0.30751525423728815,0.03988182815027038,0.0,0.0,110,0.0
20170710_01_02_01,visible,0.1,P1,0.0,25.0,20.0,29,30,1,11,0.3728813559322034,-0.5373008110188768,0.7639236076392361,0.35296470352964704,0.4330033898305084,0.11189641382505332,0.0,0.0,16,0.0
20170710_01_02_01,visible,0.1,P2,25.0,65.0,40.0,54,49,1,17,0.3300970873786408,-0.8753954388630191,0.8469153084691531,0.23777622237776222,0.38586601941747567,0.06370713115808402,0.0,0.0,36,0.0
20170710_01_02_01,visible,0.1,P3,65.0,180.0,113.0,158,146,1,78,0.5131578947368421,2.8614313868910624,0.0017998200179982,0.9983001699830018,0.400958552631579,0.039210914725852454,0.04424778761061947,5.0,109,1.0
20170710_01_02_02,visible,0.1,P1,0.0,25.0,19.3,35,30,1,16,0.49230769230769234,0.13197751951546563,0.5237476252374762,0.6654334566543346,0.4814615384615385,0.08218182828389077,0.15544041450777202,3.0,15,1.0
