pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,n_matched,S,z_S,p_right,p_left,null_mean,null_sd,STR,Max_episode,n_windows,n_episodes
20170706_01_02_01,visible,0.1,P1,0.0,25.0,20.7,33,20,1,9,0.3396226415094339,-0.1159809659658261,0.6121387861213878,0.5312468753124687,0.3492075471698113,0.0826420575183138,0.0,0.0,16,0.0
20170706_01_02_01,visible,0.1,P2,25.0,65.0,40.0,61,41,1,20,0.392156862745098,0.3904434828626014,0.40995900409959,0.7027297270272973,0.3670549019607843,0.06429089454964,0.0,0.0,36,0.0
20170706_01_02_01,visible,0.1,P3,65.0,180.0,114.7,158,120,1,44,0.316546762589928,-0.9603383458745745,0.8560143985601439,0.1846815318468153,0.3551748201438849,0.0402233834771832,0.0,0.0,110,0.0
20170706_01_02_02,visible,0.1,P1,0.0,25.0,20.0,30,28,1,14,0.4827586206896552,0.6403398629403874,0.2918708129187081,0.7954204579542046,0.4227379310344828,0.0937325522411838,0.0,0.0,16,0.0
20170706_01_02_02,visible,0.1,P2,25.0,65.0,40.0,57,38,1,21,0.4421052631578947,1.5291714347932488,0.0766923307669233,0.9537046295370464,0.3397199999999999,0.0669547317117768,0.0,0.0,36,0.0
20170706_01_02_02,visible,0.1,P3,65.0,180.0,114.6,157,127,1,50,0.352112676056338,-0.2814606445204733,0.6383361663833617,0.4158584141585841,0.3649429577464788,0.0455846383497056,0.0,0.0,110,0.0
20170706_01_02_03,visible,0.1,P1,0.0,25.0,20.0,31,25,1,6,0.2142857142857142,-1.9275924356233067,0.9843015698430156,0.0410958904109589,0.4051678571428571,0.0990261941941161,0.0,0.0,16,0.0
20170706_01_02_03,visible,0.1,P2,25.0,65.0,40.0,57,41,1,19,0.3877551020408163,0.4675203316110877,0.3794620537946205,0.7315268473152685,0.3569734693877551,0.0658402011030983,0.15,3.0,36,2.0
20170706_01_02_03,visible,0.1,P3,65.0,180.0,114.5,146,101,1,39,0.3157894736842105,0.1039000806107398,0.4874512548745126,0.5858414158584142,0.3112923076923076,0.043283565955559,0.0,0.0,110,0.0
20170706_03_04_01,visible,0.1,P1,0.0,25.0,19.1,25,25,1,9,0.36,-0.1970545880147446,0.6158384161583842,0.5129487051294871,0.380944,0.1062852695337034,0.0,0.0,15,0.0
20170706_03_04_01,visible,0.1,P2,25.0,65.0,40.0,51,53,1,19,0.3653846153846153,-0.2854682862590342,0.6618338166183382,0.4430556944305569,0.3843730769230769,0.0665168862968946,0.0,0.0,36,0.0
20170706_03_04_01,visible,0.1,P3,65.0,180.0,114.7,149,148,1,67,0.4511784511784512,1.586287205342601,0.0758924107589241,0.9526047395260474,0.3859441077441077,0.0411239170401392,0.0959023539668701,5.0,110,3.0
20170706_03_04_02,visible,0.1,P1,0.0,25.0,19.9,28,30,1,13,0.4482758620689655,0.2127393773046107,0.4723527647235276,0.6328367163283671,0.4262206896551724,0.1036722617750891,0.0,0.0,15,0.0
20170706_03_04_02,visible,0.1,P2,25.0,65.0,40.0,52,49,1,18,0.3564356435643564,-0.2914471329077298,0.6732326767323268,0.4442555744425557,0.37829900990099,0.0750165771696076,0.075,3.0,36,1.0
20170706_03_04_02,visible,0.1,P3,65.0,180.0,114.3,148,151,1,60,0.4013377926421405,0.2103117675998079,0.4567543245675432,0.6045395460453955,0.391886287625418,0.0449404478151086,0.0787401574803149,5.0,110,2.0
20170706_03_04_03,visible,0.1,P1,0.0,25.0,18.8,26,33,1,15,0.5084745762711864,0.6390403751946602,0.3452654734526547,0.7784221577842215,0.453528813559322,0.0859816763457663,0.0,0.0,14,0.0
20170706_03_04_03,visible,0.1,P2,25.0,65.0,40.0,55,62,1,25,0.4273504273504273,-0.1525442954778976,0.6063393660633937,0.5022497750224978,0.4373880341880343,0.0658012599301776,0.0,0.0,36,0.0
20170706_03_04_03,visible,0.1,P3,65.0,180.0,114.4,151,164,1,77,0.4888888888888889,1.6357950206332112,0.047995200479952,0.961903809619038,0.4112850793650794,0.047441035426168,0.0262237762237762,3.0,110,1.0
20170706_05_06_01,visible,0.1,P1,0.0,25.0,20.5,33,24,1,9,0.3157894736842105,-1.0285157611106808,0.8911108889111089,0.2224777522247775,0.3958035087719297,0.0777956333905016,0.0,0.0,16,0.0
20170706_05_06_01,visible,0.1,P2,25.0,65.0,40.0,55,43,1,18,0.3673469387755102,0.1006716052700454,0.5468453154684532,0.6043395660433957,0.3616551020408163,0.0565386507886302,0.0,0.0,36,0.0
20170706_05_06_01,visible,0.1,P3,65.0,180.0,114.3,116,127,1,42,0.345679012345679,0.6580871800750061,0.2842715728427157,0.7836216378362164,0.3192658436213992,0.0401362760497314,0.0524934383202099,3.0,110,2.0
20170706_05_06_02,visible,0.1,P1,0.0,25.0,20.5,34,27,1,16,0.5245901639344263,1.3464525380724122,0.1340865913408659,0.9432056794320568,0.4291475409836064,0.0708845059532925,0.0,0.0,16,0.0
20170706_05_06_02,visible,0.1,P2,25.0,65.0,40.0,59,51,1,22,0.4,-0.1489003010925151,0.6047395260473952,0.506049395060494,0.4099836363636363,0.0670491348263506,0.0,0.0,36,0.0
20170706_05_06_02,visible,0.1,P3,65.0,180.0,114.8,135,141,1,49,0.3550724637681159,-0.0720887626381676,0.567043295670433,0.5138486151384861,0.3581884057971014,0.0432236858416504,0.0261324041811846,3.0,110,1.0
20170706_05_06_03,visible,0.1,P1,0.0,25.0,21.0,33,26,1,10,0.3389830508474576,-0.8307240290822202,0.8556144385561444,0.2860713928607139,0.4053694915254237,0.0799139525930284,0.0,0.0,17,0.0
20170706_05_06_03,visible,0.1,P2,25.0,65.0,40.0,60,45,1,22,0.419047619047619,0.5881595194372559,0.3282671732826717,0.7816218378162184,0.3848247619047619,0.0581863525317097,0.0,0.0,36,0.0
20170706_05_06_03,visible,0.1,P3,65.0,180.0,114.7,144,142,1,53,0.3706293706293706,0.0190486563346226,0.5285471452854714,0.5398460153984601,0.3698398601398601,0.0414470435941181,0.06102877070619,7.0,110,1.0
20170706_11_12_01,visible,0.1,P1,0.0,25.0,18.6,21,23,1,9,0.4090909090909091,0.7917145963876221,0.2786721327867213,0.8283171682831717,0.3262227272727273,0.1046692611154155,0.0,0.0,14,0.0
