pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,n_matched,S,z_S,p_right,p_left,null_mean,null_sd,STR,Max_episode,n_windows,n_episodes
20170706_01_02_01,visible,0.1,P1,0.0,20.0,20.0,32,20,1,9,0.34615384615384615,-0.1548493957653273,0.6468353164683531,0.5002499750024998,0.35845,0.07940718002405733,0.0,0.0,16,0
20170706_01_02_01,visible,0.1,P2,20.0,60.0,40.0,61,40,1,20,0.39603960396039606,0.543331732188595,0.3454654534546545,0.7514248575142486,0.36158019801980196,0.06342240642155786,0.0,0.0,36,0
20170706_01_02_01,visible,0.1,P3,60.0,180.0,115.39999999999999,159,121,1,44,0.3142857142857143,-0.988010950298092,0.8657134286571343,0.19058094190580943,0.3557035714285714,0.041920443422576406,0.0,0.0,111,0
20170706_01_02_02,visible,0.1,P1,0.0,20.0,20.0,30,28,1,14,0.4827586206896552,0.6403398629403874,0.29187081291870814,0.7954204579542046,0.4227379310344828,0.09373255224118386,0.0,0.0,16,0
20170706_01_02_02,visible,0.1,P2,20.0,60.0,40.0,57,38,1,21,0.4421052631578947,1.5291714347932488,0.0766923307669233,0.9537046295370463,0.33971999999999997,0.0669547317117768,0.0,0.0,36,0
20170706_01_02_02,visible,0.1,P3,60.0,180.0,114.6,157,127,1,50,0.352112676056338,-0.2814606445204733,0.6383361663833617,0.41585841415858416,0.36494295774647884,0.04558463834970563,0.0,0.0,110,0
20170706_01_02_03,visible,0.1,P1,0.0,20.0,20.0,31,25,1,6,0.21428571428571427,-1.9275924356233067,0.9843015698430156,0.0410958904109589,0.40516785714285714,0.09902619419411612,0.0,0.0,16,0
20170706_01_02_03,visible,0.1,P2,20.0,60.0,40.0,57,41,1,19,0.3877551020408163,0.46752033161108775,0.37946205379462056,0.7315268473152685,0.3569734693877551,0.0658402011030983,0.15,3.0,36,2
20170706_01_02_03,visible,0.1,P3,60.0,180.0,114.5,146,101,1,39,0.3157894736842105,0.10390008061073988,0.4874512548745126,0.5858414158584142,0.31129230769230765,0.04328356595555906,0.0,0.0,110,0
20170706_03_04_01,visible,0.1,P1,0.0,20.0,20.0,27,27,1,11,0.4074074074074074,0.11135671156593839,0.5425457454254574,0.5765423457654234,0.3948740740740741,0.11255121633069992,0.0,0.0,16,0
20170706_03_04_01,visible,0.1,P2,20.0,60.0,40.00000000000001,51,51,1,17,0.3333333333333333,-0.7231513487740581,0.7989201079892011,0.27107289271072893,0.3819764705882353,0.06726550028201647,0.0,0.0,36,0
20170706_03_04_01,visible,0.1,P3,60.0,180.0,113.79999999999998,147,148,1,67,0.4542372881355932,1.4811326072021376,0.0842915708429157,0.9306069393060694,0.3886610169491525,0.04427440923761338,0.0351493848857645,4.0,109,1
20170706_03_04_02,visible,0.1,P1,0.0,20.0,20.0,28,30,1,13,0.4482758620689655,0.19545570348599012,0.4507549245075492,0.6295370462953704,0.428448275862069,0.10144286328445622,0.0,0.0,16,0
20170706_03_04_02,visible,0.1,P2,20.0,60.0,39.99999999999999,52,49,1,18,0.3564356435643564,-0.29144713290772983,0.6732326767323268,0.44425557444255576,0.37829900990099,0.07501657716960762,0.07500000000000001,3.0,36,1
20170706_03_04_02,visible,0.1,P3,60.0,180.0,114.20000000000002,148,151,1,60,0.4013377926421405,0.2000128113376578,0.45565443455654436,0.5894410558944105,0.392285618729097,0.045257970489509115,0.0350262697022767,4.0,110,1
20170706_03_04_03,visible,0.1,P1,0.0,20.0,20.0,28,35,1,15,0.47619047619047616,0.32277028326746066,0.4443555644435556,0.6865313468653135,0.4486349206349206,0.08537203387067048,0.0,0.0,16,0
