pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,n_matched,S,z_S,p_right,p_left,null_mean,null_sd,STR,Max_episode,n_windows,n_episodes
20170706_01_02_01,visible,0.1,P1,0.0,20.0,20.0,32,20,1,9,0.3461538461538461,-0.1548493957653273,0.6468353164683531,0.5002499750024998,0.35845,0.0794071800240573,0.0,0.0,16,0
20170706_01_02_01,visible,0.1,P2,20.0,60.0,40.0,61,40,1,20,0.396039603960396,0.543331732188595,0.3454654534546545,0.7514248575142486,0.3615801980198019,0.0634224064215578,0.0,0.0,36,0
20170706_01_02_01,visible,0.1,P3,60.0,180.0,115.4,159,121,1,44,0.3142857142857143,-0.988010950298092,0.8657134286571343,0.1905809419058094,0.3557035714285714,0.0419204434225764,0.0,0.0,111,0
20170706_01_02_02,visible,0.1,P1,0.0,20.0,20.0,30,28,1,14,0.4827586206896552,0.6403398629403874,0.2918708129187081,0.7954204579542046,0.4227379310344828,0.0937325522411838,0.0,0.0,16,0
20170706_01_02_02,visible,0.1,P2,20.0,60.0,40.0,57,38,1,21,0.4421052631578947,1.5291714347932488,0.0766923307669233,0.9537046295370464,0.3397199999999999,0.0669547317117768,0.0,0.0,36,0
20170706_01_02_02,visible,0.1,P3,60.0,180.0,114.6,157,127,1,50,0.352112676056338,-0.2814606445204733,0.6383361663833617,0.4158584141585841,0.3649429577464788,0.0455846383497056,0.0,0.0,110,0
20170706_01_02_03,visible,0.1,P1,0.0,20.0,20.0,31,25,1,6,0.2142857142857142,-1.9275924356233067,0.9843015698430156,0.0410958904109589,0.4051678571428571,0.0990261941941161,0.0,0.0,16,0
20170706_01_02_03,visible,0.1,P2,20.0,60.0,40.0,57,41,1,19,0.3877551020408163,0.4675203316110877,0.3794620537946205,0.7315268473152685,0.3569734693877551,0.0658402011030983,0.15,3.0,36,2
20170706_01_02_03,visible,0.1,P3,60.0,180.0,114.5,146,101,1,39,0.3157894736842105,0.1039000806107398,0.4874512548745126,0.5858414158584142,0.3112923076923076,0.043283565955559,0.0,0.0,110,0
20170706_03_04_01,visible,0.1,P1,0.0,20.0,20.0,27,27,1,11,0.4074074074074074,0.1113567115659383,0.5425457454254574,0.5765423457654234,0.3948740740740741,0.1125512163306999,0.0,0.0,16,0
