a_id,b_id,is_real,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,n_matched,S,z_S,p_right,p_left,sufficient
20170705_01_02_01,20170705_01_02_01,1,invisible,0.1,P1,0.0,20.0,20.0,29,24,8,0.3018867924528302,-0.7473071133996226,0.7728227177282272,0.2987701229877012,1
20170705_01_02_01,20170705_01_02_01,1,invisible,0.1,P2,20.0,60.0,40.0,55,42,24,0.4948453608247423,2.4036418308011576,0.015898410158984102,0.9914008599140086,1
20170705_01_02_01,20170705_01_02_01,1,invisible,0.1,P3,60.0,180.0,109.0,125,122,46,0.3724696356275304,0.8125844502315027,0.2455754424557544,0.8084191580841916,1
20170705_01_02_02,20170705_01_02_02,1,invisible,0.1,P1,0.0,20.0,20.0,26,25,7,0.27450980392156865,-0.9381270615418633,0.875012498750125,0.23627637236276372,1
20170705_01_02_02,20170705_01_02_02,1,invisible,0.1,P2,20.0,60.0,40.0,55,42,12,0.24742268041237114,-1.81394159884239,0.9741025897410259,0.044795520447955206,1
20170705_01_02_02,20170705_01_02_02,1,invisible,0.1,P3,60.0,180.0,112.39999999999999,142,140,40,0.28368794326241137,-2.306268541173157,0.9898010198980102,0.014898510148985102,1
20170705_01_02_03,20170705_01_02_03,1,invisible,0.1,P1,0.0,20.0,20.0,26,27,10,0.37735849056603776,-0.21109123203923552,0.6415358464153584,0.5005499450054994,1
20170705_01_02_03,20170705_01_02_03,1,invisible,0.1,P2,20.0,60.0,40.0,46,55,17,0.33663366336633666,-0.5153854410137466,0.7435256474352565,0.3464653534646535,1
20170705_01_02_03,20170705_01_02_03,1,invisible,0.1,P3,60.0,180.0,113.69999999999999,135,144,51,0.3655913978494624,-0.008985569644913122,0.5264473552644735,0.5392460753924607,1
20170705_03_04_01,20170705_03_04_01,1,invisible,0.1,P1,0.0,20.0,20.0,28,26,17,0.6296296296296297,2.976551855174002,0.010198980101989802,1.0,1
20170705_03_04_01,20170705_03_04_01,1,invisible,0.1,P2,20.0,60.0,40.0,49,61,21,0.38181818181818183,-0.36619934272410815,0.7062293770622937,0.41915808419158085,1
20170705_03_04_01,20170705_03_04_01,1,invisible,0.1,P3,60.0,180.0,116.60000000000001,155,150,67,0.43934426229508194,1.1724886703380768,0.14328567143285673,0.8879112088791121,1
20170705_03_04_02,20170705_03_04_02,1,invisible,0.1,P1,0.0,20.0,20.0,34,31,20,0.6153846153846154,1.7738954120179595,0.0413958604139586,0.9847015298470153,1
20170705_03_04_02,20170705_03_04_02,1,invisible,0.1,P2,20.0,60.0,40.0,66,54,27,0.45,0.07307915679275327,0.5372462753724627,0.5973402659734026,1
20170705_03_04_02,20170705_03_04_02,1,invisible,0.1,P3,60.0,180.0,115.8,170,165,71,0.42388059701492536,-0.2383599573318522,0.6199380061993801,0.4443555644435556,1
20170705_03_04_03,20170705_03_04_03,1,invisible,0.1,P1,0.0,20.0,20.0,34,35,21,0.6086956521739131,0.9121114952697561,0.24017598240175983,0.8509149085091491,1
20170705_03_04_03,20170705_03_04_03,1,invisible,0.1,P2,20.0,60.0,40.0,58,62,34,0.5666666666666667,1.6897186530565902,0.059394060593940604,0.9597040295970403,1
20170705_03_04_03,20170705_03_04_03,1,invisible,0.1,P3,60.0,180.0,115.50000000000001,175,177,87,0.4943181818181818,0.9798523560877723,0.18548145185481452,0.8494150584941506,1
20170707_01_02_01,20170707_01_02_01,1,invisible,0.1,P1,0.0,20.0,20.0,33,35,24,0.7058823529411765,2.028772683027019,0.026597340265973404,0.9953004699530047,1
20170707_01_02_01,20170707_01_02_01,1,invisible,0.1,P2,20.0,60.0,40.0,66,58,24,0.3870967741935484,-1.2443280189880654,0.9219078092190781,0.13308669133086692,1
