a_id,b_id,is_real,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,n_matched,S,z_S,p_right,p_left,sufficient
20170706_01_02_01,20170706_01_02_01,1,visible,0.1,P1,0.0,20.0,15.7,25,16,6,0.2926829268292683,-0.6912140321346871,0.7882211778822118,0.3725627437256274,1
20170706_01_02_01,20170706_01_02_01,1,visible,0.1,P2,20.0,60.0,40.0,62,39,22,0.4356435643564356,1.0983324426172545,0.1693830616938306,0.8788121187881212,1
20170706_01_02_01,20170706_01_02_01,1,visible,0.1,P3,60.0,180.0,119.7,165,126,45,0.3092783505154639,-1.2502542848946314,0.9126087391260874,0.1135886411358864,1
20170706_01_02_02,20170706_01_02_02,1,visible,0.1,P1,0.0,20.0,15.0,24,21,11,0.4888888888888889,0.618302492820176,0.3851614838516148,0.771922807719228,1
20170706_01_02_02,20170706_01_02_02,1,visible,0.1,P2,20.0,60.0,40.0,57,40,23,0.4742268041237113,1.8038730966520584,0.0546945305469453,0.9732026797320268,1
20170706_01_02_02,20170706_01_02_02,1,visible,0.1,P3,60.0,180.0,119.6,164,131,51,0.3457627118644067,-0.4622642071652909,0.684931506849315,0.3646635336466353,1
20170706_01_02_03,20170706_01_02_03,1,visible,0.1,P1,0.0,20.0,15.0,22,18,3,0.15,-1.9436309714377824,0.9946005399460054,0.0348965103489651,1
20170706_01_02_03,20170706_01_02_03,1,visible,0.1,P2,20.0,60.0,40.0,60,42,22,0.4313725490196078,0.97677441990169,0.2030796920307969,0.8724127587241276,1
20170706_01_02_03,20170706_01_02_03,1,visible,0.1,P3,60.0,180.0,119.5,151,107,39,0.3023255813953488,-0.3021926080687059,0.6542345765423457,0.4256574342565743,1
20170706_03_04_01,20170706_03_04_01,1,visible,0.1,P1,0.0,20.0,14.1,19,18,6,0.3243243243243243,-0.3108523609797903,0.6233376662333766,0.4348565143485651,1
20170706_03_04_01,20170706_03_04_01,1,visible,0.1,P2,20.0,60.0,40.0,51,52,19,0.3689320388349514,-0.2417358821737213,0.6636336366363363,0.45995400459954,1
20170706_03_04_01,20170706_03_04_01,1,visible,0.1,P3,60.0,180.0,119.7,154,157,70,0.45016077170418,1.483544270019394,0.0840915908409159,0.9333066693330668,1
20170706_03_04_02,20170706_03_04_02,1,visible,0.1,P1,0.0,20.0,14.9,21,21,8,0.3809523809523809,-0.4102637686582279,0.7076292370762923,0.4167583241675832,1
20170706_03_04_02,20170706_03_04_02,1,visible,0.1,P2,20.0,60.0,40.0,55,53,22,0.4074074074074074,0.1037772182250531,0.4962503749625037,0.6053394660533946,1
20170706_03_04_02,20170706_03_04_02,1,visible,0.1,P3,60.0,180.0,119.3,153,157,62,0.4,0.3200308987233096,0.402959704029597,0.6566343365663434,1
20170706_03_04_03,20170706_03_04_03,1,visible,0.1,P1,0.0,20.0,13.8,19,26,13,0.5777777777777777,1.4520450567377536,0.1228877112288771,0.9515048495150484,1
20170706_03_04_03,20170706_03_04_03,1,visible,0.1,P2,20.0,60.0,40.0,58,63,25,0.4132231404958678,-0.5219294786956126,0.7213278672132787,0.3516648335166483,1
20170706_03_04_03,20170706_03_04_03,1,visible,0.1,P3,60.0,180.0,119.4,156,171,79,0.4831804281345566,1.8327364603886147,0.0385961403859614,0.9715028497150284,1
20170706_05_06_01,20170706_05_06_01,1,visible,0.1,P1,0.0,20.0,15.5,26,19,6,0.2666666666666666,-1.5602250143460032,0.9573042695730428,0.1125887411258874,1
20170706_05_06_01,20170706_05_06_01,1,visible,0.1,P2,20.0,60.0,40.0,57,44,19,0.3762376237623762,0.126094605507575,0.5068493150684932,0.6185381461853815,1
20170706_05_06_01,20170706_05_06_01,1,visible,0.1,P3,60.0,180.0,119.3,122,131,44,0.3478260869565217,0.7662584525875927,0.2523747625237476,0.8067193280671933,1
20170706_05_06_02,20170706_05_06_02,1,visible,0.1,P1,0.0,20.0,15.5,28,21,13,0.5306122448979592,0.999282372044854,0.2278772122787721,0.891010898910109,1
20170706_05_06_02,20170706_05_06_02,1,visible,0.1,P2,20.0,60.0,40.0,59,51,24,0.4363636363636363,0.5306993638589032,0.3450654934506549,0.7526247375262474,1
20170706_05_06_02,20170706_05_06_02,1,visible,0.1,P3,60.0,180.0,119.8,142,148,50,0.3448275862068966,-0.378044959024405,0.6801319868013199,0.3841615838416158,1
20170706_05_06_03,20170706_05_06_03,1,visible,0.1,P1,0.0,20.0,16.0,25,20,7,0.3111111111111111,-1.019737023280614,0.9051094890510948,0.2432756724327567,1
20170706_05_06_03,20170706_05_06_03,1,visible,0.1,P2,20.0,60.0,40.0,59,46,22,0.419047619047619,0.5459680942325862,0.3524647535246475,0.7697230276972302,1
20170706_05_06_03,20170706_05_06_03,1,visible,0.1,P3,60.0,180.0,119.7,152,147,56,0.3745819397993311,0.0674830603104593,0.5125487451254874,0.5617438256174383,1
20170706_11_12_01,20170706_11_12_01,1,visible,0.1,P1,0.0,20.0,13.6,17,18,6,0.3428571428571428,-0.2352560989624146,0.6781321867813219,0.5115488451154885,1
20170706_11_12_01,20170706_11_12_01,1,visible,0.1,P2,20.0,60.0,40.0,36,45,19,0.4691358024691358,2.650318694887995,0.0074992500749925,0.9974002599740026,1
20170706_11_12_01,20170706_11_12_01,1,visible,0.1,P3,60.0,180.0,118.7,110,130,38,0.3166666666666666,0.407132799389243,0.3732626737326267,0.7033296670332967,1
20170706_11_12_02,20170706_11_12_02,1,visible,0.1,P1,0.0,20.0,14.0,18,18,7,0.3888888888888889,0.0308468574289173,0.5434456554344566,0.6164383561643836,1
20170706_11_12_02,20170706_11_12_02,1,visible,0.1,P2,20.0,60.0,40.0,44,46,20,0.4444444444444444,1.0992877220885566,0.1678832116788321,0.8795120487951205,1
20170706_11_12_02,20170706_11_12_02,1,visible,0.1,P3,60.0,180.0,119.2,97,125,36,0.3243243243243243,1.187199581802123,0.1445855414458554,0.8977102289771023,1
20170706_11_12_03,20170706_11_12_03,1,visible,0.1,P1,0.0,20.0,13.9,15,16,4,0.2580645161290322,-0.4758445093521791,0.7257274272572742,0.4110588941105889,1
20170706_11_12_03,20170706_11_12_03,1,visible,0.1,P2,20.0,60.0,40.0,43,45,10,0.2272727272727272,-1.4781893305438218,0.9577042295770424,0.0760923907609239,1
20170706_11_12_03,20170706_11_12_03,1,visible,0.1,P3,60.0,180.0,119.3,113,135,38,0.3064516129032258,-0.0532619556233208,0.557044295570443,0.5238476152384761,1
20170710_01_02_01,20170710_01_02_01,1,visible,0.1,P1,0.0,20.0,15.0,20,23,8,0.3720930232558139,-0.4296648269504711,0.7201279872012799,0.3976602339766023,1
