a_id,b_id,is_real,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,n_matched,S,z_S,p_right,p_left,sufficient
20170706_01_02_01,20170706_01_02_01,1,visible,0.1,P1,0.0,20.0,20.0,32,20,9,0.34615384615384615,-0.1548493957653273,0.6468353164683531,0.5002499750024998,1
20170706_01_02_01,20170706_01_02_01,1,visible,0.1,P2,20.0,60.0,40.0,61,40,20,0.39603960396039606,0.543331732188595,0.3454654534546545,0.7514248575142486,1
20170706_01_02_01,20170706_01_02_01,1,visible,0.1,P3,60.0,180.0,115.39999999999999,159,121,44,0.3142857142857143,-0.988010950298092,0.8657134286571343,0.19058094190580943,1
20170706_01_02_02,20170706_01_02_02,1,visible,0.1,P1,0.0,20.0,20.0,30,28,14,0.4827586206896552,0.6403398629403874,0.29187081291870814,0.7954204579542046,1
20170706_01_02_02,20170706_01_02_02,1,visible,0.1,P2,20.0,60.0,40.0,57,38,21,0.4421052631578947,1.5291714347932488,0.0766923307669233,0.9537046295370463,1
20170706_01_02_02,20170706_01_02_02,1,visible,0.1,P3,60.0,180.0,114.6,157,127,50,0.352112676056338,-0.2814606445204733,0.6383361663833617,0.41585841415858416,1
20170706_01_02_03,20170706_01_02_03,1,visible,0.1,P1,0.0,20.0,20.0,31,25,6,0.21428571428571427,-1.9275924356233067,0.9843015698430156,0.0410958904109589,1
20170706_01_02_03,20170706_01_02_03,1,visible,0.1,P2,20.0,60.0,40.0,57,41,19,0.3877551020408163,0.46752033161108775,0.37946205379462056,0.7315268473152685,1
20170706_01_02_03,20170706_01_02_03,1,visible,0.1,P3,60.0,180.0,114.5,146,101,39,0.3157894736842105,0.10390008061073988,0.4874512548745126,0.5858414158584142,1
20170706_03_04_01,20170706_03_04_01,1,visible,0.1,P1,0.0,20.0,20.0,27,27,11,0.4074074074074074,0.11135671156593839,0.5425457454254574,0.5765423457654234,1
20170706_03_04_01,20170706_03_04_01,1,visible,0.1,P2,20.0,60.0,40.00000000000001,51,51,17,0.3333333333333333,-0.7231513487740581,0.7989201079892011,0.27107289271072893,1
20170706_03_04_01,20170706_03_04_01,1,visible,0.1,P3,60.0,180.0,113.79999999999998,147,148,67,0.4542372881355932,1.4811326072021376,0.0842915708429157,0.9306069393060694,1
20170706_03_04_02,20170706_03_04_02,1,visible,0.1,P1,0.0,20.0,20.0,28,30,13,0.4482758620689655,0.19545570348599012,0.4507549245075492,0.6295370462953704,1
20170706_03_04_02,20170706_03_04_02,1,visible,0.1,P2,20.0,60.0,39.99999999999999,52,49,18,0.3564356435643564,-0.29144713290772983,0.6732326767323268,0.44425557444255576,1
20170706_03_04_02,20170706_03_04_02,1,visible,0.1,P3,60.0,180.0,114.20000000000002,148,151,60,0.4013377926421405,0.2000128113376578,0.45565443455654436,0.5894410558944105,1
20170706_03_04_03,20170706_03_04_03,1,visible,0.1,P1,0.0,20.0,20.0,28,35,15,0.47619047619047616,0.32277028326746066,0.4443555644435556,0.6865313468653135,1
20170706_03_04_03,20170706_03_04_03,1,visible,0.1,P2,20.0,60.0,40.0,55,62,27,0.46153846153846156,0.3575764631879993,0.40815918408159185,0.6714328567143286,1
